system:index,cart_estimatefAPAR,estimatefAPAR,rf_estimatefAPAR,.geo
1128,574.0,571,565.7386500721501,"{""type"":""MultiPoint"",""coordinates"":[]}"
1129,444.0,411,391.9882847321761,"{""type"":""MultiPoint"",""coordinates"":[]}"
1131,446.0,447,454.53608016456315,"{""type"":""MultiPoint"",""coordinates"":[]}"
1132,450.0,516,490.8811176305819,"{""type"":""MultiPoint"",""coordinates"":[]}"
1133,426.0,442,429.8144001412197,"{""type"":""MultiPoint"",""coordinates"":[]}"
1134,394.5,436,398.58336270975406,"{""type"":""MultiPoint"",""coordinates"":[]}"
1136,494.3333333333333,492,478.9130087038554,"{""type"":""MultiPoint"",""coordinates"":[]}"
1137,503.5,490,506.8002359058223,"{""type"":""MultiPoint"",""coordinates"":[]}"
1138,448.0,429,434.8285121696405,"{""type"":""MultiPoint"",""coordinates"":[]}"
1139,302.5,243,277.3275512820513,"{""type"":""MultiPoint"",""coordinates"":[]}"
1140,425.0,405,405.7510534107498,"{""type"":""MultiPoint"",""coordinates"":[]}"
1141,437.5,435,426.33977304037927,"{""type"":""MultiPoint"",""coordinates"":[]}"
1142,287.3333333333333,269,279.8036446331446,"{""type"":""MultiPoint"",""coordinates"":[]}"
1143,506.0,522,478.61576632726405,"{""type"":""MultiPoint"",""coordinates"":[]}"
1144,682.6666666666666,690,700.7091666666668,"{""type"":""MultiPoint"",""coordinates"":[]}"
1145,818.0,680,754.1966666666668,"{""type"":""MultiPoint"",""coordinates"":[]}"
1147,479.0,529,507.03617595088355,"{""type"":""MultiPoint"",""coordinates"":[]}"
1148,497.0,464,498.2082811773245,"{""type"":""MultiPoint"",""coordinates"":[]}"
1150,358.0,442,394.6466347904513,"{""type"":""MultiPoint"",""coordinates"":[]}"
1151,442.0,453,453.9030144748184,"{""type"":""MultiPoint"",""coordinates"":[]}"
1153,403.0,409,400.66540701987947,"{""type"":""MultiPoint"",""coordinates"":[]}"
1154,515.6666666666666,433,508.4039841233725,"{""type"":""MultiPoint"",""coordinates"":[]}"
1155,426.0,441,429.8144001412197,"{""type"":""MultiPoint"",""coordinates"":[]}"
