system:index,cart_estimatefCOVER,estimatefCOVER,rf_estimatefCOVER,.geo
1128,568.3333333333334,582,573.2522904040402,"{""type"":""MultiPoint"",""coordinates"":[]}"
1129,436.3333333333333,403,392.51724740468643,"{""type"":""MultiPoint"",""coordinates"":[]}"
1131,447.0,447,454.2542760704221,"{""type"":""MultiPoint"",""coordinates"":[]}"
1132,495.0,529,496.2370962937088,"{""type"":""MultiPoint"",""coordinates"":[]}"
1133,424.0,442,429.1490120059478,"{""type"":""MultiPoint"",""coordinates"":[]}"
1134,388.5,432,392.09575312963784,"{""type"":""MultiPoint"",""coordinates"":[]}"
1136,499.6666666666667,497,485.45029253406983,"{""type"":""MultiPoint"",""coordinates"":[]}"
1137,510.5,490,513.312307526248,"{""type"":""MultiPoint"",""coordinates"":[]}"
1138,450.0,428,437.0875587617344,"{""type"":""MultiPoint"",""coordinates"":[]}"
1139,299.0,240,273.51866673141683,"{""type"":""MultiPoint"",""coordinates"":[]}"
1140,422.3333333333333,403,404.5968459112807,"{""type"":""MultiPoint"",""coordinates"":[]}"
1141,442.0,432,428.3556368596759,"{""type"":""MultiPoint"",""coordinates"":[]}"
1142,284.3333333333333,266,278.550170608803,"{""type"":""MultiPoint"",""coordinates"":[]}"
1143,485.0,529,480.97904047638303,"{""type"":""MultiPoint"",""coordinates"":[]}"
1144,697.0,713,709.8516666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1145,819.3333333333334,706,773.5616666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1147,513.5,533,510.1758495190531,"{""type"":""MultiPoint"",""coordinates"":[]}"
1148,500.5,464,501.59971462739514,"{""type"":""MultiPoint"",""coordinates"":[]}"
1150,350.6666666666667,437,391.9230019708362,"{""type"":""MultiPoint"",""coordinates"":[]}"
1151,457.0,452,456.73618833481333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1153,398.5,407,398.5820264349817,"{""type"":""MultiPoint"",""coordinates"":[]}"
1154,526.0,435,519.6521600523185,"{""type"":""MultiPoint"",""coordinates"":[]}"
1155,424.0,440,429.1490120059478,"{""type"":""MultiPoint"",""coordinates"":[]}"
1156,595.6666666666666,656,581.0159242424243,"{""type"":""MultiPoint"",""coordinates"":[]}"
1157,426.3333333333333,384,435.279690765882,"{""type"":""MultiPoint"",""coordinates"":[]}"
1159,408.0,432,421.57359971460806,"{""type"":""MultiPoint"",""coordinates"":[]}"
1160,348.5,341,326.02392388167397,"{""type"":""MultiPoint"",""coordinates"":[]}"
1161,440.0,445,451.991426153215,"{""type"":""MultiPoint"",""coordinates"":[]}"
1162,511.0,520,511.2829797910074,"{""type"":""MultiPoint"",""coordinates"":[]}"
1163,430.3333333333333,423,417.6292197161284,"{""type"":""MultiPoint"",""coordinates"":[]}"
1165,447.0,516,453.0766094037555,"{""type"":""MultiPoint"",""coordinates"":[]}"
1166,356.5,301,310.5055822253431,"{""type"":""MultiPoint"",""coordinates"":[]}"
1167,515.0,521,523.5762480024384,"{""type"":""MultiPoint"",""coordinates"":[]}"
1168,445.0,412,446.14382948116986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1169,432.0,419,422.29496116911986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1170,471.5,480,475.68491341333544,"{""type"":""MultiPoint"",""coordinates"":[]}"
1171,492.0,508,481.4916395673244,"{""type"":""MultiPoint"",""coordinates"":[]}"
1172,606.0,627,601.6500030454043,"{""type"":""MultiPoint"",""coordinates"":[]}"
1174,307.0,280,337.8239280992405,"{""type"":""MultiPoint"",""coordinates"":[]}"
1177,470.5,368,467.9827024444054,"{""type"":""MultiPoint"",""coordinates"":[]}"
1178,440.5,518,456.95894895130425,"{""type"":""MultiPoint"",""coordinates"":[]}"
1179,584.6666666666666,599,566.1038333333335,"{""type"":""MultiPoint"",""coordinates"":[]}"
1180,540.0,524,531.1383344363969,"{""type"":""MultiPoint"",""coordinates"":[]}"
1181,247.5,351,259.2025720668221,"{""type"":""MultiPoint"",""coordinates"":[]}"
1182,494.6666666666667,506,498.85219550005803,"{""type"":""MultiPoint"",""coordinates"":[]}"
1183,307.0,297,338.3989280992405,"{""type"":""MultiPoint"",""coordinates"":[]}"
1186,249.5,354,295.1525180469289,"{""type"":""MultiPoint"",""coordinates"":[]}"
1187,606.0,592,601.7716844179533,"{""type"":""MultiPoint"",""coordinates"":[]}"
1188,421.3333333333333,434,406.0455133751177,"{""type"":""MultiPoint"",""coordinates"":[]}"
1189,390.5,407,393.53658363169734,"{""type"":""MultiPoint"",""coordinates"":[]}"
1190,455.0,425,432.4707358256638,"{""type"":""MultiPoint"",""coordinates"":[]}"
1191,430.5,430,413.88147210776106,"{""type"":""MultiPoint"",""coordinates"":[]}"
1192,466.3333333333333,498,468.201658103441,"{""type"":""MultiPoint"",""coordinates"":[]}"
1193,424.0,435,430.47567867261444,"{""type"":""MultiPoint"",""coordinates"":[]}"
1194,289.3333333333333,291,305.6424193465552,"{""type"":""MultiPoint"",""coordinates"":[]}"
1195,436.5,437,425.478949319857,"{""type"":""MultiPoint"",""coordinates"":[]}"
1196,421.3333333333333,388,406.3388864710149,"{""type"":""MultiPoint"",""coordinates"":[]}"
1197,279.5,315,339.3670432208222,"{""type"":""MultiPoint"",""coordinates"":[]}"
1198,382.3333333333333,382,387.06595843104265,"{""type"":""MultiPoint"",""coordinates"":[]}"
1199,425.5,412,394.0053632491678,"{""type"":""MultiPoint"",""coordinates"":[]}"
1201,425.5,416,389.11003474675226,"{""type"":""MultiPoint"",""coordinates"":[]}"
1203,498.6666666666667,524,495.6229390054672,"{""type"":""MultiPoint"",""coordinates"":[]}"
1206,394.0,412,400.0792937934639,"{""type"":""MultiPoint"",""coordinates"":[]}"
1207,299.3333333333333,290,310.95637112163206,"{""type"":""MultiPoint"",""coordinates"":[]}"
1208,533.0,476,483.14646789720706,"{""type"":""MultiPoint"",""coordinates"":[]}"
1210,362.0,395,374.4389168322601,"{""type"":""MultiPoint"",""coordinates"":[]}"
1211,356.5,404,390.2250407919754,"{""type"":""MultiPoint"",""coordinates"":[]}"
1212,266.6666666666667,297,282.00683727546965,"{""type"":""MultiPoint"",""coordinates"":[]}"
1213,325.0,312,340.7330015433085,"{""type"":""MultiPoint"",""coordinates"":[]}"
1214,540.0,545,559.0219633438775,"{""type"":""MultiPoint"",""coordinates"":[]}"
1215,432.0,411,421.6988913812747,"{""type"":""MultiPoint"",""coordinates"":[]}"
1217,445.3333333333333,459,463.3418356201364,"{""type"":""MultiPoint"",""coordinates"":[]}"
1218,350.6666666666667,387,390.64984046567463,"{""type"":""MultiPoint"",""coordinates"":[]}"
1219,513.5,482,489.34235541563277,"{""type"":""MultiPoint"",""coordinates"":[]}"
1220,481.6666666666667,393,472.87819367176286,"{""type"":""MultiPoint"",""coordinates"":[]}"
1221,279.5,398,317.50981983746743,"{""type"":""MultiPoint"",""coordinates"":[]}"
1222,568.3333333333334,568,572.5762904040403,"{""type"":""MultiPoint"",""coordinates"":[]}"
1223,480.0,502,481.68719259889,"{""type"":""MultiPoint"",""coordinates"":[]}"
1224,307.0,357,306.4026369946478,"{""type"":""MultiPoint"",""coordinates"":[]}"
1225,480.0,485,484.4413409561452,"{""type"":""MultiPoint"",""coordinates"":[]}"
1226,433.5,457,437.316787054174,"{""type"":""MultiPoint"",""coordinates"":[]}"
1227,445.3333333333333,460,461.3134739117964,"{""type"":""MultiPoint"",""coordinates"":[]}"
1228,489.5,509,485.369130862149,"{""type"":""MultiPoint"",""coordinates"":[]}"
1229,266.6666666666667,270,284.84216341430664,"{""type"":""MultiPoint"",""coordinates"":[]}"
1230,348.0,354,325.0708625638239,"{""type"":""MultiPoint"",""coordinates"":[]}"
1231,526.0,561,521.7574623779,"{""type"":""MultiPoint"",""coordinates"":[]}"
1232,484.0,486,487.2008236435545,"{""type"":""MultiPoint"",""coordinates"":[]}"
1233,432.0,420,422.29496116911986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1235,274.5,301,287.0952900175509,"{""type"":""MultiPoint"",""coordinates"":[]}"
1236,266.5,533,289.43566880542966,"{""type"":""MultiPoint"",""coordinates"":[]}"
1237,431.0,442,449.4428654736988,"{""type"":""MultiPoint"",""coordinates"":[]}"
1238,448.6666666666667,456,449.34253824537154,"{""type"":""MultiPoint"",""coordinates"":[]}"
1239,233.5,257,280.0740795482296,"{""type"":""MultiPoint"",""coordinates"":[]}"
1240,515.6666666666666,499,492.507930642709,"{""type"":""MultiPoint"",""coordinates"":[]}"
1241,531.0,512,522.2121076298238,"{""type"":""MultiPoint"",""coordinates"":[]}"
1242,512.3333333333334,548,522.3824817279478,"{""type"":""MultiPoint"",""coordinates"":[]}"
1243,350.6666666666667,342,392.7191859535202,"{""type"":""MultiPoint"",""coordinates"":[]}"
1244,574.3333333333334,534,565.244157788322,"{""type"":""MultiPoint"",""coordinates"":[]}"
1245,445.3333333333333,475,464.71199901882915,"{""type"":""MultiPoint"",""coordinates"":[]}"
1247,429.0,416,434.29359545427974,"{""type"":""MultiPoint"",""coordinates"":[]}"
1248,436.5,402,423.8375997146081,"{""type"":""MultiPoint"",""coordinates"":[]}"
1249,499.6666666666667,509,489.7873554156327,"{""type"":""MultiPoint"",""coordinates"":[]}"
1250,387.6666666666667,362,400.45412268287276,"{""type"":""MultiPoint"",""coordinates"":[]}"
1251,433.5,460,435.63414419703105,"{""type"":""MultiPoint"",""coordinates"":[]}"
1252,480.0,480,475.4141216030215,"{""type"":""MultiPoint"",""coordinates"":[]}"
1253,477.0,499,490.0095452639681,"{""type"":""MultiPoint"",""coordinates"":[]}"
1254,274.5,293,289.74279001755093,"{""type"":""MultiPoint"",""coordinates"":[]}"
1255,444.6666666666667,436,433.95316193693463,"{""type"":""MultiPoint"",""coordinates"":[]}"
1256,526.0,503,524.6464315836477,"{""type"":""MultiPoint"",""coordinates"":[]}"
1257,529.5,509,510.0484510015105,"{""type"":""MultiPoint"",""coordinates"":[]}"
1259,432.0,419,420.0729587112234,"{""type"":""MultiPoint"",""coordinates"":[]}"
1260,502.0,518,478.78697935071483,"{""type"":""MultiPoint"",""coordinates"":[]}"
1261,524.0,430,487.0710211259902,"{""type"":""MultiPoint"",""coordinates"":[]}"
1262,499.6666666666667,498,490.1816814229587,"{""type"":""MultiPoint"",""coordinates"":[]}"
1263,399.0,385,397.45172138360596,"{""type"":""MultiPoint"",""coordinates"":[]}"
1264,513.0,536,515.4766493436769,"{""type"":""MultiPoint"",""coordinates"":[]}"
1265,373.0,415,398.93971109504525,"{""type"":""MultiPoint"",""coordinates"":[]}"
1266,447.0,437,456.2883072598402,"{""type"":""MultiPoint"",""coordinates"":[]}"
1267,527.0,595,532.9803049156725,"{""type"":""MultiPoint"",""coordinates"":[]}"
1268,449.5,508,455.04593044455544,"{""type"":""MultiPoint"",""coordinates"":[]}"
1269,454.25,502,457.67767260864423,"{""type"":""MultiPoint"",""coordinates"":[]}"
1270,447.0,450,466.5961819432661,"{""type"":""MultiPoint"",""coordinates"":[]}"
1271,452.5,497,474.6142353434037,"{""type"":""MultiPoint"",""coordinates"":[]}"
1272,512.3333333333334,502,523.6855928390589,"{""type"":""MultiPoint"",""coordinates"":[]}"
