system:index,cart_estimatefAPAR,estimatefAPAR,rf_estimatefAPAR,.geo
1813,645.0,653,660.1436237506281,"{""type"":""MultiPoint"",""coordinates"":[]}"
1817,12.0,9,104.02994548783914,"{""type"":""MultiPoint"",""coordinates"":[]}"
1819,564.5,524,574.249117898657,"{""type"":""MultiPoint"",""coordinates"":[]}"
1820,336.5,337,391.8379085280087,"{""type"":""MultiPoint"",""coordinates"":[]}"
1823,666.5,642,621.5038358775686,"{""type"":""MultiPoint"",""coordinates"":[]}"
1824,647.3333333333334,635,606.4123818044228,"{""type"":""MultiPoint"",""coordinates"":[]}"
1826,336.5,213,340.2514900238029,"{""type"":""MultiPoint"",""coordinates"":[]}"
1828,658.0,677,643.7174988732127,"{""type"":""MultiPoint"",""coordinates"":[]}"
1829,647.5,537,626.1881248970087,"{""type"":""MultiPoint"",""coordinates"":[]}"
1832,449.0,458,498.4917230421683,"{""type"":""MultiPoint"",""coordinates"":[]}"
1836,686.0,642,649.9525609983225,"{""type"":""MultiPoint"",""coordinates"":[]}"
1837,312.0,277,312.88040294903453,"{""type"":""MultiPoint"",""coordinates"":[]}"
1838,714.5,744,684.4137346848128,"{""type"":""MultiPoint"",""coordinates"":[]}"
1839,608.3333333333334,613,602.4717706933117,"{""type"":""MultiPoint"",""coordinates"":[]}"
1841,677.3333333333334,649,661.644088130196,"{""type"":""MultiPoint"",""coordinates"":[]}"
1843,192.5,139,209.84521737661646,"{""type"":""MultiPoint"",""coordinates"":[]}"
1844,710.5,757,690.1156745553268,"{""type"":""MultiPoint"",""coordinates"":[]}"
1845,539.6666666666666,565,593.8541161752529,"{""type"":""MultiPoint"",""coordinates"":[]}"
1846,434.5,436,481.4026169815111,"{""type"":""MultiPoint"",""coordinates"":[]}"
1847,580.0,523,546.0888194173358,"{""type"":""MultiPoint"",""coordinates"":[]}"
1848,539.6666666666666,553,590.2666196456161,"{""type"":""MultiPoint"",""coordinates"":[]}"
1851,563.0,548,555.817505113584,"{""type"":""MultiPoint"",""coordinates"":[]}"
1852,100.66666666666667,350,181.21904804475759,"{""type"":""MultiPoint"",""coordinates"":[]}"
