system:index,cart_estimatefCOVER,estimatefCOVER,rf_estimatefCOVER,.geo
1813,661.5,670,653.3110523885821,"{""type"":""MultiPoint"",""coordinates"":[]}"
1817,-49.5,-44,172.34262077209553,"{""type"":""MultiPoint"",""coordinates"":[]}"
1819,515.0,531,589.5771069055237,"{""type"":""MultiPoint"",""coordinates"":[]}"
1820,330.5,324,418.0891974198728,"{""type"":""MultiPoint"",""coordinates"":[]}"
1823,680.6666666666666,644,620.1019327143896,"{""type"":""MultiPoint"",""coordinates"":[]}"
1824,649.6666666666666,649,605.2617700001414,"{""type"":""MultiPoint"",""coordinates"":[]}"
1826,330.5,197,375.81497842249433,"{""type"":""MultiPoint"",""coordinates"":[]}"
1828,599.0,681,629.3254431726656,"{""type"":""MultiPoint"",""coordinates"":[]}"
1829,670.0,536,626.2160972349293,"{""type"":""MultiPoint"",""coordinates"":[]}"
1832,484.5,466,560.2183788347846,"{""type"":""MultiPoint"",""coordinates"":[]}"
1836,660.6666666666666,658,651.4144979976528,"{""type"":""MultiPoint"",""coordinates"":[]}"
1837,300.6666666666667,269,333.33469416649706,"{""type"":""MultiPoint"",""coordinates"":[]}"
1838,739.3333333333334,770,670.5335864961468,"{""type"":""MultiPoint"",""coordinates"":[]}"
1839,624.0,620,606.0281607458336,"{""type"":""MultiPoint"",""coordinates"":[]}"
1841,694.5,655,654.0778482374526,"{""type"":""MultiPoint"",""coordinates"":[]}"
1843,154.0,106,252.15152327930858,"{""type"":""MultiPoint"",""coordinates"":[]}"
1844,748.3333333333334,772,659.7423802778626,"{""type"":""MultiPoint"",""coordinates"":[]}"
1845,552.3333333333334,581,595.2563568776525,"{""type"":""MultiPoint"",""coordinates"":[]}"
1846,419.6666666666667,442,544.4607140789284,"{""type"":""MultiPoint"",""coordinates"":[]}"
1847,579.5,525,572.1466366472234,"{""type"":""MultiPoint"",""coordinates"":[]}"
1848,552.3333333333334,565,587.3185986741328,"{""type"":""MultiPoint"",""coordinates"":[]}"
1851,572.0,559,577.8065162877456,"{""type"":""MultiPoint"",""coordinates"":[]}"
1852,90.33333333333333,335,235.30225657304302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1856,743.5,758,681.252172985571,"{""type"":""MultiPoint"",""coordinates"":[]}"
1857,725.5,747,677.1223092017287,"{""type"":""MultiPoint"",""coordinates"":[]}"
1860,778.5,780,689.363209024396,"{""type"":""MultiPoint"",""coordinates"":[]}"
1866,680.6666666666666,739,623.0876781771198,"{""type"":""MultiPoint"",""coordinates"":[]}"
1867,-19.0,54,180.8545043699791,"{""type"":""MultiPoint"",""coordinates"":[]}"
1868,476.5,509,585.5272115231284,"{""type"":""MultiPoint"",""coordinates"":[]}"
1870,807.5,817,698.5135670720707,"{""type"":""MultiPoint"",""coordinates"":[]}"
1872,269.0,208,335.49411641091933,"{""type"":""MultiPoint"",""coordinates"":[]}"
1873,468.5,569,569.712951255983,"{""type"":""MultiPoint"",""coordinates"":[]}"
1878,557.0,628,577.2910048684687,"{""type"":""MultiPoint"",""coordinates"":[]}"
1879,727.5,717,666.3878746175116,"{""type"":""MultiPoint"",""coordinates"":[]}"
1881,294.0,454,348.98594546271545,"{""type"":""MultiPoint"",""coordinates"":[]}"
1885,350.6666666666667,239,325.68685549128344,"{""type"":""MultiPoint"",""coordinates"":[]}"
1886,414.3333333333333,531,428.4796672753097,"{""type"":""MultiPoint"",""coordinates"":[]}"
1887,765.5,819,686.3657014943428,"{""type"":""MultiPoint"",""coordinates"":[]}"
1888,808.3333333333334,738,691.1075959290995,"{""type"":""MultiPoint"",""coordinates"":[]}"
1889,265.0,289,349.9515287960488,"{""type"":""MultiPoint"",""coordinates"":[]}"
1891,170.33333333333334,92,245.10236454914983,"{""type"":""MultiPoint"",""coordinates"":[]}"
1892,501.3333333333333,388,507.9900060558352,"{""type"":""MultiPoint"",""coordinates"":[]}"
1893,634.0,683,630.3357551384776,"{""type"":""MultiPoint"",""coordinates"":[]}"
1895,774.0,719,678.8824660644739,"{""type"":""MultiPoint"",""coordinates"":[]}"
1896,-94.0,-59,167.51404934352405,"{""type"":""MultiPoint"",""coordinates"":[]}"
1899,580.0,592,601.5656838645505,"{""type"":""MultiPoint"",""coordinates"":[]}"
1901,695.0,741,664.8417747822941,"{""type"":""MultiPoint"",""coordinates"":[]}"
1902,889.0,908,706.2585502061537,"{""type"":""MultiPoint"",""coordinates"":[]}"
1903,-49.5,-32,172.70595410542887,"{""type"":""MultiPoint"",""coordinates"":[]}"
1904,265.0,246,341.30266457109246,"{""type"":""MultiPoint"",""coordinates"":[]}"
1905,806.0,785,688.5264503654647,"{""type"":""MultiPoint"",""coordinates"":[]}"
1906,753.0,681,663.8141341862978,"{""type"":""MultiPoint"",""coordinates"":[]}"
1907,476.5,513,583.6497115231283,"{""type"":""MultiPoint"",""coordinates"":[]}"
1908,756.5,838,686.3206660780684,"{""type"":""MultiPoint"",""coordinates"":[]}"
1909,882.5,870,700.8547905682258,"{""type"":""MultiPoint"",""coordinates"":[]}"
1911,765.5,797,687.1476474402889,"{""type"":""MultiPoint"",""coordinates"":[]}"
1912,716.6666666666666,712,666.1203544618262,"{""type"":""MultiPoint"",""coordinates"":[]}"
1914,670.0,641,658.2267575933809,"{""type"":""MultiPoint"",""coordinates"":[]}"
1915,633.0,560,627.2859545967985,"{""type"":""MultiPoint"",""coordinates"":[]}"
1916,533.5,550,590.9457180166348,"{""type"":""MultiPoint"",""coordinates"":[]}"
1918,633.0,615,629.6752601128036,"{""type"":""MultiPoint"",""coordinates"":[]}"
1919,727.5,740,666.7728746175115,"{""type"":""MultiPoint"",""coordinates"":[]}"
1920,96.0,57,221.07675241798594,"{""type"":""MultiPoint"",""coordinates"":[]}"
1921,649.6666666666666,565,599.8019648927884,"{""type"":""MultiPoint"",""coordinates"":[]}"
1922,631.0,647,640.1161863070067,"{""type"":""MultiPoint"",""coordinates"":[]}"
1923,694.3333333333334,646,652.0338503808996,"{""type"":""MultiPoint"",""coordinates"":[]}"
1924,685.5,696,655.2758984916833,"{""type"":""MultiPoint"",""coordinates"":[]}"
1925,154.0,158,246.86723756502283,"{""type"":""MultiPoint"",""coordinates"":[]}"
1926,352.0,390,349.88543896920896,"{""type"":""MultiPoint"",""coordinates"":[]}"
1928,495.6666666666667,515,587.9949678300886,"{""type"":""MultiPoint"",""coordinates"":[]}"
1930,748.3333333333334,745,661.0167304983335,"{""type"":""MultiPoint"",""coordinates"":[]}"
1933,673.0,700,665.4515115555824,"{""type"":""MultiPoint"",""coordinates"":[]}"
1934,832.0,830,698.0439505000772,"{""type"":""MultiPoint"",""coordinates"":[]}"
1935,-47.0,-42,177.33604549552024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1936,661.5,694,654.791530045587,"{""type"":""MultiPoint"",""coordinates"":[]}"
1940,492.5,508,589.45524326916,"{""type"":""MultiPoint"",""coordinates"":[]}"
1941,634.0,571,629.5307551384775,"{""type"":""MultiPoint"",""coordinates"":[]}"
1943,735.5,721,667.8067934268859,"{""type"":""MultiPoint"",""coordinates"":[]}"
1944,590.6666666666666,512,611.4328309041477,"{""type"":""MultiPoint"",""coordinates"":[]}"
1946,789.6666666666666,743,677.6147013203362,"{""type"":""MultiPoint"",""coordinates"":[]}"
1947,369.6666666666667,367,424.3540836648447,"{""type"":""MultiPoint"",""coordinates"":[]}"
1951,-14.5,0,184.0389329414077,"{""type"":""MultiPoint"",""coordinates"":[]}"
1952,785.0,739,678.9868139329488,"{""type"":""MultiPoint"",""coordinates"":[]}"
1953,662.3333333333334,705,653.7327424771997,"{""type"":""MultiPoint"",""coordinates"":[]}"
1954,202.0,187,291.25610362418485,"{""type"":""MultiPoint"",""coordinates"":[]}"
1955,419.6666666666667,355,562.3858926963271,"{""type"":""MultiPoint"",""coordinates"":[]}"
1962,265.0,298,349.9515287960488,"{""type"":""MultiPoint"",""coordinates"":[]}"
1963,771.6666666666666,738,675.4269030576221,"{""type"":""MultiPoint"",""coordinates"":[]}"
1965,492.5,427,565.2897968548284,"{""type"":""MultiPoint"",""coordinates"":[]}"
1966,807.5,860,689.0520777019857,"{""type"":""MultiPoint"",""coordinates"":[]}"
1967,583.0,599,606.1132368378927,"{""type"":""MultiPoint"",""coordinates"":[]}"
1968,727.5,768,667.1600174746543,"{""type"":""MultiPoint"",""coordinates"":[]}"
1970,831.0,847,699.9455363703164,"{""type"":""MultiPoint"",""coordinates"":[]}"
1971,633.0,645,628.8702601128036,"{""type"":""MultiPoint"",""coordinates"":[]}"
1977,365.6666666666667,215,341.26086641091933,"{""type"":""MultiPoint"",""coordinates"":[]}"
1979,346.0,447,425.4991639564064,"{""type"":""MultiPoint"",""coordinates"":[]}"
1980,694.5,715,654.6227584938628,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981,572.0,557,577.2065162877457,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983,-10.5,1,190.59101663549137,"{""type"":""MultiPoint"",""coordinates"":[]}"
1984,414.3333333333333,357,430.892930623073,"{""type"":""MultiPoint"",""coordinates"":[]}"
1985,889.0,802,704.8112515048551,"{""type"":""MultiPoint"",""coordinates"":[]}"
1986,712.0,652,632.9371562618351,"{""type"":""MultiPoint"",""coordinates"":[]}"
1987,750.0,724,664.8220702969645,"{""type"":""MultiPoint"",""coordinates"":[]}"
1990,371.0,266,345.14656283949074,"{""type"":""MultiPoint"",""coordinates"":[]}"
1992,889.0,807,706.2632168728205,"{""type"":""MultiPoint"",""coordinates"":[]}"
1994,581.0,509,570.493606107512,"{""type"":""MultiPoint"",""coordinates"":[]}"
1995,702.5,652,662.6750297694032,"{""type"":""MultiPoint"",""coordinates"":[]}"
1998,743.5,733,682.0271729855709,"{""type"":""MultiPoint"",""coordinates"":[]}"
