system:index,EVI2,MSR,NDGI,NDVI,RDVI,estimateLAI,.geo
0_18,0.619995748600581,0.4566382089574857,-8.019246190858059E-4,0.3593429158110883,15.860013905030533,0.417,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22,0.7700430764083477,0.585520297755295,0.007142857142857143,0.43082772740567415,25.191451773737814,0.672,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_31,0.9119973077570251,0.7184740769511635,0.035621198957428324,0.49407474931631723,32.72848998224293,1.109,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_36,1.08610435252771,0.9007914483396912,0.06321401370906321,0.5664434261543885,30.170757130541194,1.011,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_39,1.0315153587507837,0.8410428957236139,0.09281437125748503,0.544360902255639,28.075515782727223,0.966,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_60,0.46012269938650313,0.3294051074105426,-0.0035650623885918,0.2772785622593068,10.944603185863823,0.266,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_62,0.4729941906107709,0.3392659817688051,0.004371584699453552,0.28408644400785854,14.331590945100327,0.339,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_76,0.7748798172691297,0.5898071930252311,0.014193548387096775,0.43302411873840446,31.791166904274462,0.982,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_80,0.9680597562093302,0.774859776563519,0.08391608391608392,0.5180870631514408,20.9232781457153,0.677,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_90,0.7290390337826012,0.5491933384829667,0.0016778523489932886,0.4117647058823529,26.19160170741759,0.741,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_95,0.5297050270045699,0.38359771230010054,-0.008538422903063787,0.3137388926862611,16.970925239537994,0.615,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_120,0.9278249829084873,0.7340825394199455,0.06347897774113767,0.5008787346221442,33.79354250353888,1.057,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_133,0.8366120218579234,0.6463944014541791,0.026115342763873776,0.4610057211683228,26.566892161272875,0.8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_139,0.7635930844399899,0.5797802130272401,0.030339083878643664,0.4278694278694279,22.837969099130344,0.589,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_148,1.0637557421929378,0.8759612920395691,0.045871559633027525,0.5574468085106383,31.974324806139546,1.05,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_178,0.6286249504665155,0.4636903789286342,0.01610305958132045,0.36354166666666665,22.52785313043981,0.584,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_186,0.44223327805417356,0.3156612280541964,-0.017430600387346677,0.26765799256505574,12.416561670505734,0.246,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_194,0.7089137024672882,0.5316931117905895,0.031746031746031744,0.40228633641807293,24.38399485781425,0.616,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_212,0.5589550482466463,0.40690491622531805,0.006656426011264721,0.328719723183391,17.671551630352706,0.265,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_233,0.6602040256677454,0.490145066559506,-0.004455760661998727,0.3789846517119244,19.10398439066006,0.554,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_236,0.6372098913972707,0.47081433148030655,-0.005083514887436456,0.3677478300593878,24.332570895727695,0.698,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_249,0.8918877839058498,0.6989224652861475,0.02244668911335578,0.4853766617429838,28.23957958687987,0.875,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_273,0.9766321798073494,0.7834389079946292,0.0,0.5216059884314392,28.27758794991886,0.875,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_322,0.8571500075078832,0.6657164821672777,0.07930828861061419,0.47014413177762526,25.37907524980661,1.009,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_332,0.8815559007237517,0.6889140166259369,0.026204564666103127,0.4808472284812979,32.03323251841889,0.965,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_342,0.7627118644067797,0.5789310484672704,-0.012558869701726845,0.4274300932090546,28.69199120870908,0.807,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_349,0.9057347052998665,0.7123848189243748,0.03650442477876106,0.4913868613138686,28.757678758746174,0.89,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_369,0.41485475734910415,0.2948342537486607,-0.021739130434782608,0.2527821939586645,15.529140769423336,0.198,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_372,0.6163092151779401,0.4535356746385032,0.020323084940072955,0.3574846206425154,19.337241612806906,0.675,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_374,0.9732247516811647,0.7799957527266985,0.090625,0.5201978565539983,25.622054854580767,1.013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_376,0.4210419520113631,0.29953710239374287,0.01782985226693836,0.25617283950617287,13.04219174188521,0.166,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_383,1.1618432143860635,0.9883589787992079,0.09385113268608414,0.5962509012256669,31.403805352651975,1.016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_388,0.6119147053129408,0.4498679460630787,0.0031036623215394167,0.3552790044158972,25.07675891769385,0.551,"{""type"":""MultiPoint"",""coordinates"":[]}"
