system:index,cart_estimatefAPAR,estimatefAPAR,rf_estimatefAPAR,.geo
1103,466.0,485,476.2853579498603,"{""type"":""MultiPoint"",""coordinates"":[]}"
1104,481.0,507,463.33817557584376,"{""type"":""MultiPoint"",""coordinates"":[]}"
1105,424.0,478,453.52998290514785,"{""type"":""MultiPoint"",""coordinates"":[]}"
1106,542.3333333333334,621,544.801173491198,"{""type"":""MultiPoint"",""coordinates"":[]}"
1107,479.3333333333333,460,474.4135958682179,"{""type"":""MultiPoint"",""coordinates"":[]}"
1110,376.5,373,389.5538134595824,"{""type"":""MultiPoint"",""coordinates"":[]}"
1111,424.0,438,451.5052234337537,"{""type"":""MultiPoint"",""coordinates"":[]}"
1112,589.6666666666666,534,560.4820866811156,"{""type"":""MultiPoint"",""coordinates"":[]}"
1113,390.5,351,377.7356202546757,"{""type"":""MultiPoint"",""coordinates"":[]}"
1114,71.0,53,129.08170988640012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1115,480.5,450,478.22060831542325,"{""type"":""MultiPoint"",""coordinates"":[]}"
1116,610.6666666666666,657,590.9132788703091,"{""type"":""MultiPoint"",""coordinates"":[]}"
1117,419.0,418,416.15240213324955,"{""type"":""MultiPoint"",""coordinates"":[]}"
1118,510.6666666666667,525,516.4234499939645,"{""type"":""MultiPoint"",""coordinates"":[]}"
1119,435.0,437,432.6058487570084,"{""type"":""MultiPoint"",""coordinates"":[]}"
1120,459.5,438,473.8968703678729,"{""type"":""MultiPoint"",""coordinates"":[]}"
1121,401.5,390,396.17545329420494,"{""type"":""MultiPoint"",""coordinates"":[]}"
1122,372.5,381,390.87356412106595,"{""type"":""MultiPoint"",""coordinates"":[]}"
1123,365.0,344,373.6311994588326,"{""type"":""MultiPoint"",""coordinates"":[]}"
1124,492.0,484,471.13501111467696,"{""type"":""MultiPoint"",""coordinates"":[]}"
1125,453.0,444,427.15048002111524,"{""type"":""MultiPoint"",""coordinates"":[]}"
1126,428.5,462,432.3610967429349,"{""type"":""MultiPoint"",""coordinates"":[]}"
1127,388.0,449,436.54653096936374,"{""type"":""MultiPoint"",""coordinates"":[]}"
1128,290.0,371,372.2354098907394,"{""type"":""MultiPoint"",""coordinates"":[]}"
1129,348.0,402,384.64980572597057,"{""type"":""MultiPoint"",""coordinates"":[]}"
1130,453.0,394,438.45558159645117,"{""type"":""MultiPoint"",""coordinates"":[]}"
1131,447.0,429,436.7647799057833,"{""type"":""MultiPoint"",""coordinates"":[]}"
1132,362.5,398,391.19534084471246,"{""type"":""MultiPoint"",""coordinates"":[]}"
1133,523.5,518,491.1578691822926,"{""type"":""MultiPoint"",""coordinates"":[]}"
1134,356.5,349,374.5271167124267,"{""type"":""MultiPoint"",""coordinates"":[]}"
1135,586.5,547,529.8954914000457,"{""type"":""MultiPoint"",""coordinates"":[]}"
1136,565.0,563,510.4120066328773,"{""type"":""MultiPoint"",""coordinates"":[]}"
1137,464.3333333333333,474,451.18988916930533,"{""type"":""MultiPoint"",""coordinates"":[]}"
1138,448.0,489,454.7080019526388,"{""type"":""MultiPoint"",""coordinates"":[]}"
1139,464.0,438,453.15649652490146,"{""type"":""MultiPoint"",""coordinates"":[]}"
1140,403.5,442,405.13445791053243,"{""type"":""MultiPoint"",""coordinates"":[]}"
1143,432.5,471,409.6182979419232,"{""type"":""MultiPoint"",""coordinates"":[]}"
1144,473.0,427,437.6596679200879,"{""type"":""MultiPoint"",""coordinates"":[]}"
1145,385.3333333333333,389,387.2513103239418,"{""type"":""MultiPoint"",""coordinates"":[]}"
1146,423.5,426,417.4686812142598,"{""type"":""MultiPoint"",""coordinates"":[]}"
1147,464.3333333333333,422,450.8893686280169,"{""type"":""MultiPoint"",""coordinates"":[]}"
1148,348.0,381,383.45258822328384,"{""type"":""MultiPoint"",""coordinates"":[]}"
1149,409.5,418,405.18080540322376,"{""type"":""MultiPoint"",""coordinates"":[]}"
1150,381.0,320,379.42428264478224,"{""type"":""MultiPoint"",""coordinates"":[]}"
1151,409.0,419,430.75978861652794,"{""type"":""MultiPoint"",""coordinates"":[]}"
1152,466.3333333333333,455,479.747609009576,"{""type"":""MultiPoint"",""coordinates"":[]}"
1154,388.5,391,394.4450708052786,"{""type"":""MultiPoint"",""coordinates"":[]}"
1155,420.5,396,421.65495874584116,"{""type"":""MultiPoint"",""coordinates"":[]}"
1156,451.0,470,430.2829712121308,"{""type"":""MultiPoint"",""coordinates"":[]}"
1157,254.5,330,341.40923551717793,"{""type"":""MultiPoint"",""coordinates"":[]}"
1158,455.3333333333333,381,436.33002572265036,"{""type"":""MultiPoint"",""coordinates"":[]}"
1159,578.0,515,516.5859532913523,"{""type"":""MultiPoint"",""coordinates"":[]}"
1161,271.6666666666667,255,300.0521276108813,"{""type"":""MultiPoint"",""coordinates"":[]}"
1162,530.6666666666666,509,512.7645440740412,"{""type"":""MultiPoint"",""coordinates"":[]}"
1163,410.3333333333333,376,421.27752033397644,"{""type"":""MultiPoint"",""coordinates"":[]}"
1164,453.0,434,447.09071179060163,"{""type"":""MultiPoint"",""coordinates"":[]}"
1165,386.5,392,394.53970929072784,"{""type"":""MultiPoint"",""coordinates"":[]}"
1166,431.5,407,423.93671642969196,"{""type"":""MultiPoint"",""coordinates"":[]}"
1167,348.0,335,387.2482699963033,"{""type"":""MultiPoint"",""coordinates"":[]}"
1168,401.5,415,402.366659793351,"{""type"":""MultiPoint"",""coordinates"":[]}"
1170,458.5,483,456.9729888974852,"{""type"":""MultiPoint"",""coordinates"":[]}"
1171,454.0,448,456.84034930174346,"{""type"":""MultiPoint"",""coordinates"":[]}"
1172,413.3333333333333,361,401.72884273997414,"{""type"":""MultiPoint"",""coordinates"":[]}"
1173,492.0,482,467.2020609161827,"{""type"":""MultiPoint"",""coordinates"":[]}"
1174,449.0,415,422.3946436042044,"{""type"":""MultiPoint"",""coordinates"":[]}"
1175,414.0,422,422.80715737351574,"{""type"":""MultiPoint"",""coordinates"":[]}"
1176,303.0,375,386.847088689281,"{""type"":""MultiPoint"",""coordinates"":[]}"
1177,409.5,431,463.582969227699,"{""type"":""MultiPoint"",""coordinates"":[]}"
1178,432.5,409,408.91150565638503,"{""type"":""MultiPoint"",""coordinates"":[]}"
1179,384.5,336,396.98358049643235,"{""type"":""MultiPoint"",""coordinates"":[]}"
1180,349.0,358,379.4358917594088,"{""type"":""MultiPoint"",""coordinates"":[]}"
1181,446.0,422,435.4471684710616,"{""type"":""MultiPoint"",""coordinates"":[]}"
1182,441.6666666666667,402,430.65349517589163,"{""type"":""MultiPoint"",""coordinates"":[]}"
1184,525.0,566,529.4032450232341,"{""type"":""MultiPoint"",""coordinates"":[]}"
1185,634.0,505,571.6710927487217,"{""type"":""MultiPoint"",""coordinates"":[]}"
1186,530.6666666666666,510,510.06279638166734,"{""type"":""MultiPoint"",""coordinates"":[]}"
1187,421.5,428,415.0201942083758,"{""type"":""MultiPoint"",""coordinates"":[]}"
1188,372.5,407,390.24559654562984,"{""type"":""MultiPoint"",""coordinates"":[]}"
