system:index,cart_estimatefCOVER,estimatefCOVER,rf_estimatefCOVER,.geo
1103,475.0,495,488.854846495695,"{""type"":""MultiPoint"",""coordinates"":[]}"
1104,488.5,521,473.94914096771777,"{""type"":""MultiPoint"",""coordinates"":[]}"
1105,423.5,493,449.2252590368428,"{""type"":""MultiPoint"",""coordinates"":[]}"
1106,551.6666666666666,635,574.1488690476191,"{""type"":""MultiPoint"",""coordinates"":[]}"
1107,473.0,474,470.4989056975787,"{""type"":""MultiPoint"",""coordinates"":[]}"
1110,375.0,371,374.0469992438957,"{""type"":""MultiPoint"",""coordinates"":[]}"
1111,423.5,449,452.99604831282556,"{""type"":""MultiPoint"",""coordinates"":[]}"
1112,665.6666666666666,555,625.6487380952381,"{""type"":""MultiPoint"",""coordinates"":[]}"
1113,388.5,347,360.52717063421966,"{""type"":""MultiPoint"",""coordinates"":[]}"
1114,43.0,42,91.32713285448212,"{""type"":""MultiPoint"",""coordinates"":[]}"
1115,478.0,456,489.6529657952527,"{""type"":""MultiPoint"",""coordinates"":[]}"
1116,630.6666666666666,678,668.3916666666665,"{""type"":""MultiPoint"",""coordinates"":[]}"
1117,421.0,420,413.9823923663154,"{""type"":""MultiPoint"",""coordinates"":[]}"
1118,527.3333333333334,549,522.4672900049637,"{""type"":""MultiPoint"",""coordinates"":[]}"
1119,429.5,441,454.84021269015216,"{""type"":""MultiPoint"",""coordinates"":[]}"
1120,492.0,450,478.83981642951085,"{""type"":""MultiPoint"",""coordinates"":[]}"
1121,361.6666666666667,388,379.82062428026643,"{""type"":""MultiPoint"",""coordinates"":[]}"
1122,370.0,378,377.1650192144353,"{""type"":""MultiPoint"",""coordinates"":[]}"
1123,360.6666666666667,339,354.18220671198134,"{""type"":""MultiPoint"",""coordinates"":[]}"
1124,511.0,496,493.6031271619224,"{""type"":""MultiPoint"",""coordinates"":[]}"
1125,411.0,446,429.8880899023926,"{""type"":""MultiPoint"",""coordinates"":[]}"
1126,434.0,467,443.91074277758554,"{""type"":""MultiPoint"",""coordinates"":[]}"
1127,480.3333333333333,461,438.7807020386819,"{""type"":""MultiPoint"",""coordinates"":[]}"
1128,321.3333333333333,367,357.23253795428434,"{""type"":""MultiPoint"",""coordinates"":[]}"
1129,343.6666666666667,400,371.4138343734449,"{""type"":""MultiPoint"",""coordinates"":[]}"
1130,437.0,395,444.6265718882431,"{""type"":""MultiPoint"",""coordinates"":[]}"
1131,453.6666666666667,431,443.25600045967155,"{""type"":""MultiPoint"",""coordinates"":[]}"
1132,359.0,395,382.33992027932584,"{""type"":""MultiPoint"",""coordinates"":[]}"
1133,510.3333333333333,525,519.5467121212121,"{""type"":""MultiPoint"",""coordinates"":[]}"
1134,351.5,345,357.887773602353,"{""type"":""MultiPoint"",""coordinates"":[]}"
1135,605.5,565,574.3788596635052,"{""type"":""MultiPoint"",""coordinates"":[]}"
1136,583.5,579,548.5975749898455,"{""type"":""MultiPoint"",""coordinates"":[]}"
1137,471.6666666666667,478,456.65646930773437,"{""type"":""MultiPoint"",""coordinates"":[]}"
1138,455.3333333333333,498,470.3028850024195,"{""type"":""MultiPoint"",""coordinates"":[]}"
1139,463.3333333333333,441,461.86614255754864,"{""type"":""MultiPoint"",""coordinates"":[]}"
