system:index,EVI2,GNDVI,GVI,MSR,RDVI,estimateLAI,.geo
0_31,1.267317882908766,0.6021969399764614,3.0276134122287965,1.1208011120395505,31.785438530309797,1.139,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_57,1.0531421435261585,0.5880239520958084,2.854651162790698,0.864337309660988,32.32485637520902,1.372,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_58,1.1535491344359352,0.548854041013269,2.4331550802139037,0.978543440600045,29.162248276937714,1.378,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_67,1.3035536366655598,0.6075268817204301,3.095890410958904,1.1699450263365738,24.738131950771727,1.287,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_96,1.1032903189765935,0.5240773286467487,2.202363367799114,0.9201757289196145,30.096603051498644,0.967,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_100,0.7191058625052721,0.41214057507987223,1.402173913043478,0.5405045804593076,28.85987111482009,0.969,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_105,0.759111080051714,0.40511830033800095,1.362012987012987,0.5757332114236908,27.202778916752763,0.983,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_170,0.7475874667407967,0.40707964601769914,1.373134328358209,0.5655245293584898,25.16298629727769,0.853,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_200,1.1766513553729703,0.5849365534179288,2.8185404339250493,1.0062273113852342,29.59543093922234,1.365,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_239,0.8867711544305995,0.5348837209302325,2.3,0.6939791077198396,28.097342830903127,1.257,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_243,0.9085507748675546,0.4631578947368421,1.7254901960784315,0.7151673218082666,26.891679309916338,1.11,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_255,1.2877504939316964,0.5764546684709067,2.7220447284345046,1.147990080549399,34.275700330656505,1.382,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_293,1.0777631795040237,0.5222841225626741,2.186588921282799,0.8914918470690381,29.780660450381593,1.152,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_335,1.2548696433922688,0.5657418576598311,2.6055555555555556,1.1047646257225134,25.195963580835983,1.286,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_353,1.0304919938698938,0.5401739130434783,2.34947049924357,0.839924210644947,29.12963379195757,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_354,1.2190963341858483,0.598576512455516,2.982269503546099,1.0585761703314753,32.56923461224819,1.206,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_356,0.8635982146263304,0.4714322984607357,1.7838104639684107,0.6717794060691701,29.266835540848707,0.934,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_361,0.9844552724961603,0.5254237288135594,2.2142857142857144,0.7915104404514802,27.937509056531834,0.924,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_386,1.1738233102103997,0.5344585091420534,2.29607250755287,1.0027554548083761,31.372633185406354,1.296,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_438,0.968828441165924,0.4685222001325381,1.7630922693266835,0.7754449685685453,28.004116811826336,1.222,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_455,0.708970419458739,0.3671274961597542,1.1601941747572817,0.5317380458566602,24.826202612047897,1.054,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_469,1.1566444872831292,0.5679497250589159,2.629090909090909,0.9822042927679571,29.736220531560452,0.894,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_490,1.0875755717164637,0.5944218477629285,2.9312320916905446,0.9026436267595014,23.730461017975237,1.218,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_492,0.9526032888443492,0.47626157061809493,1.8187001140250856,0.7589392639223531,29.25200701489158,0.891,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_500,1.162755806277381,0.532323605467307,2.2764612954186414,0.9894761288277808,30.40969923468933,1.3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_566,1.3290377502495156,0.6193181818181818,3.253731343283582,1.2048599160642726,34.54069567998704,1.29,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_567,0.7069328060760128,0.42546443135478024,1.4810725552050474,0.5299587607265136,26.892527174242513,0.858,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_595,1.051927948212778,0.5753938484621155,2.7102473498233217,0.8630819574471996,28.744685275858092,1.124,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_650,1.114673152037733,0.5388914764788076,2.3373737373737375,0.9332761212734132,26.442166262203504,0.69,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_651,1.1454278987074145,0.6042446941323346,3.0536277602523656,0.9688371590034306,33.538824790481726,1.319,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_675,0.9028826580865454,0.4928571428571429,1.943661971830986,0.7097008285302207,23.2210182006412,0.679,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_698,1.2869705552993873,0.6090286174929463,3.115463917525773,1.14702113847375,31.71357637207009,1.082,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_730,0.8339878467198546,0.4393258426966292,1.5671342685370742,0.6439378472343837,27.24268897455063,1.063,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_760,1.0156766095838203,0.521970705725699,2.183844011142061,0.8241466270644385,29.325877029888627,1.289,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_801,1.1455028819087618,0.5347029428095502,2.2983293556085918,0.968902699503508,34.78270192463528,1.333,"{""type"":""MultiPoint"",""coordinates"":[]}"
