system:index,cart_estimatefAPAR,estimatefAPAR,rf_estimatefAPAR,.geo
1839,406.0,453,451.81908810460635,"{""type"":""MultiPoint"",""coordinates"":[]}"
1841,604.0,574,577.0845500033696,"{""type"":""MultiPoint"",""coordinates"":[]}"
1846,422.3333333333333,374,440.0650652599722,"{""type"":""MultiPoint"",""coordinates"":[]}"
1847,510.0,506,496.8068618174602,"{""type"":""MultiPoint"",""coordinates"":[]}"
1850,422.3333333333333,457,439.92290595795544,"{""type"":""MultiPoint"",""coordinates"":[]}"
1851,486.3333333333333,475,460.5011164140699,"{""type"":""MultiPoint"",""coordinates"":[]}"
1853,460.5,457,456.28641371598934,"{""type"":""MultiPoint"",""coordinates"":[]}"
1854,425.0,424,444.4782999286471,"{""type"":""MultiPoint"",""coordinates"":[]}"
1858,443.6666666666667,447,457.5693906565919,"{""type"":""MultiPoint"",""coordinates"":[]}"
1859,576.5,570,530.4467493607357,"{""type"":""MultiPoint"",""coordinates"":[]}"
1861,466.3333333333333,480,456.12425115820815,"{""type"":""MultiPoint"",""coordinates"":[]}"
1863,679.6666666666666,619,633.673098284321,"{""type"":""MultiPoint"",""coordinates"":[]}"
1867,537.5,511,516.4836000057207,"{""type"":""MultiPoint"",""coordinates"":[]}"
1869,422.3333333333333,452,439.60526676381625,"{""type"":""MultiPoint"",""coordinates"":[]}"
1871,608.5,551,567.8598307372,"{""type"":""MultiPoint"",""coordinates"":[]}"
1872,502.0,528,481.9434129488446,"{""type"":""MultiPoint"",""coordinates"":[]}"
1874,527.6666666666666,544,516.8096025622392,"{""type"":""MultiPoint"",""coordinates"":[]}"
1876,508.5,508,532.2865369040167,"{""type"":""MultiPoint"",""coordinates"":[]}"
1877,258.0,299,330.28195554923076,"{""type"":""MultiPoint"",""coordinates"":[]}"
1880,456.0,444,444.588299928647,"{""type"":""MultiPoint"",""coordinates"":[]}"
1881,516.5,469,483.75915972059124,"{""type"":""MultiPoint"",""coordinates"":[]}"
1882,542.5,525,523.906518879301,"{""type"":""MultiPoint"",""coordinates"":[]}"
1883,445.5,465,451.86132224623753,"{""type"":""MultiPoint"",""coordinates"":[]}"
1884,462.3333333333333,550,462.07102310213776,"{""type"":""MultiPoint"",""coordinates"":[]}"
1885,670.0,675,627.3856220938449,"{""type"":""MultiPoint"",""coordinates"":[]}"
1887,401.5,454,449.7465219152016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1891,516.5,494,468.9297621430904,"{""type"":""MultiPoint"",""coordinates"":[]}"
