system:index,cart_estimatefCOVER,estimatefCOVER,rf_estimatefCOVER,.geo
1839,404.0,451,450.2595427111753,"{""type"":""MultiPoint"",""coordinates"":[]}"
1841,618.0,584,582.5752671920047,"{""type"":""MultiPoint"",""coordinates"":[]}"
1846,406.3333333333333,366,436.0891088030774,"{""type"":""MultiPoint"",""coordinates"":[]}"
1847,509.3333333333333,508,497.2472785701333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1850,427.0,454,437.9796449474885,"{""type"":""MultiPoint"",""coordinates"":[]}"
1851,484.0,472,464.55397436919645,"{""type"":""MultiPoint"",""coordinates"":[]}"
1853,458.6666666666667,462,452.0708508148951,"{""type"":""MultiPoint"",""coordinates"":[]}"
1854,419.0,417,440.64139818449905,"{""type"":""MultiPoint"",""coordinates"":[]}"
1858,445.5,446,457.62059739622106,"{""type"":""MultiPoint"",""coordinates"":[]}"
1859,583.0,577,532.9141302375707,"{""type"":""MultiPoint"",""coordinates"":[]}"
1861,465.0,475,451.70975752072127,"{""type"":""MultiPoint"",""coordinates"":[]}"
1863,693.6666666666666,631,643.5897221469897,"{""type"":""MultiPoint"",""coordinates"":[]}"
1867,547.5,511,519.052865440737,"{""type"":""MultiPoint"",""coordinates"":[]}"
1869,427.0,448,435.7376449474885,"{""type"":""MultiPoint"",""coordinates"":[]}"
1871,623.0,561,577.432493382481,"{""type"":""MultiPoint"",""coordinates"":[]}"
1872,501.5,530,488.2263991735356,"{""type"":""MultiPoint"",""coordinates"":[]}"
1874,528.3333333333334,542,519.4380311877943,"{""type"":""MultiPoint"",""coordinates"":[]}"
1876,521.0,516,530.1484672306374,"{""type"":""MultiPoint"",""coordinates"":[]}"
1877,246.0,287,314.4357459719111,"{""type"":""MultiPoint"",""coordinates"":[]}"
1880,453.0,439,440.38627480787574,"{""type"":""MultiPoint"",""coordinates"":[]}"
1881,517.5,466,487.6599261970496,"{""type"":""MultiPoint"",""coordinates"":[]}"
1882,551.5,533,529.3852091886395,"{""type"":""MultiPoint"",""coordinates"":[]}"
1883,442.0,462,446.98727757365225,"{""type"":""MultiPoint"",""coordinates"":[]}"
1884,459.6666666666667,551,460.45085542307174,"{""type"":""MultiPoint"",""coordinates"":[]}"
1885,684.0,688,632.6442698594079,"{""type"":""MultiPoint"",""coordinates"":[]}"
1887,444.0,449,447.8858578474246,"{""type"":""MultiPoint"",""coordinates"":[]}"
1891,527.3333333333334,500,475.3154111931975,"{""type"":""MultiPoint"",""coordinates"":[]}"
