system:index,cart_estimatefAPAR,estimatefAPAR,rf_estimatefAPAR,.geo
1061,419.6666666666667,401,412.1863239446339,"{""type"":""MultiPoint"",""coordinates"":[]}"
1062,548.1,588,546.8949775748368,"{""type"":""MultiPoint"",""coordinates"":[]}"
1063,562.25,570,578.9379120388545,"{""type"":""MultiPoint"",""coordinates"":[]}"
1064,531.6666666666666,584,545.1854310238526,"{""type"":""MultiPoint"",""coordinates"":[]}"
1065,280.0,280,315.4504949603063,"{""type"":""MultiPoint"",""coordinates"":[]}"
1068,623.0,582,607.2138039126542,"{""type"":""MultiPoint"",""coordinates"":[]}"
1069,566.0,601,562.1150571228732,"{""type"":""MultiPoint"",""coordinates"":[]}"
1070,576.5,596,564.6672536056477,"{""type"":""MultiPoint"",""coordinates"":[]}"
1071,356.57142857142856,342,359.37635765762224,"{""type"":""MultiPoint"",""coordinates"":[]}"
1072,410.0,385,428.5920555034237,"{""type"":""MultiPoint"",""coordinates"":[]}"
1073,494.8888888888889,594,476.46493938724086,"{""type"":""MultiPoint"",""coordinates"":[]}"
1074,632.25,604,625.1400555156483,"{""type"":""MultiPoint"",""coordinates"":[]}"
1075,403.72222222222223,356,401.3577799179916,"{""type"":""MultiPoint"",""coordinates"":[]}"
1076,612.0,632,613.880931278774,"{""type"":""MultiPoint"",""coordinates"":[]}"
1077,605.0,596,570.5686074913131,"{""type"":""MultiPoint"",""coordinates"":[]}"
1078,403.72222222222223,374,401.3577799179916,"{""type"":""MultiPoint"",""coordinates"":[]}"
1079,582.5,622,592.2351427008482,"{""type"":""MultiPoint"",""coordinates"":[]}"
1080,686.0,686,643.2963119475419,"{""type"":""MultiPoint"",""coordinates"":[]}"
1081,529.25,512,498.4663703903665,"{""type"":""MultiPoint"",""coordinates"":[]}"
1082,612.3333333333334,614,607.4729213136487,"{""type"":""MultiPoint"",""coordinates"":[]}"
1083,333.14285714285717,324,354.7444229446576,"{""type"":""MultiPoint"",""coordinates"":[]}"
1084,630.5,587,587.5401669295959,"{""type"":""MultiPoint"",""coordinates"":[]}"
1085,607.0,627,599.5542355552893,"{""type"":""MultiPoint"",""coordinates"":[]}"
1086,417.15384615384613,409,414.66140378335496,"{""type"":""MultiPoint"",""coordinates"":[]}"
1087,395.14285714285717,435,401.4121184141827,"{""type"":""MultiPoint"",""coordinates"":[]}"
1088,446.5,448,452.4046948918156,"{""type"":""MultiPoint"",""coordinates"":[]}"
1089,521.3846153846154,520,520.7564946682768,"{""type"":""MultiPoint"",""coordinates"":[]}"
1090,531.6666666666666,547,545.1854310238526,"{""type"":""MultiPoint"",""coordinates"":[]}"
1091,475.5,443,471.14542247998907,"{""type"":""MultiPoint"",""coordinates"":[]}"
1092,639.0,678,543.7405529771526,"{""type"":""MultiPoint"",""coordinates"":[]}"
1093,547.25,562,553.5011802404774,"{""type"":""MultiPoint"",""coordinates"":[]}"
