system:index,cart_estimatefCOVER,estimatefCOVER,rf_estimatefCOVER,.geo
1061,414.1111111111111,396,404.57940748779384,"{""type"":""MultiPoint"",""coordinates"":[]}"
1062,548.6,593,547.3798304454369,"{""type"":""MultiPoint"",""coordinates"":[]}"
1063,560.0,579,579.2989637908685,"{""type"":""MultiPoint"",""coordinates"":[]}"
1064,540.0,588,549.5220454826411,"{""type"":""MultiPoint"",""coordinates"":[]}"
1065,276.0,276,314.3956831219522,"{""type"":""MultiPoint"",""coordinates"":[]}"
1068,629.0,588,610.6941033939653,"{""type"":""MultiPoint"",""coordinates"":[]}"
1069,590.0,610,573.8681716981622,"{""type"":""MultiPoint"",""coordinates"":[]}"
1070,576.5,597,568.5436660305216,"{""type"":""MultiPoint"",""coordinates"":[]}"
1071,350.35714285714283,336,353.5487822958718,"{""type"":""MultiPoint"",""coordinates"":[]}"
1072,403.0,377,421.8126130392967,"{""type"":""MultiPoint"",""coordinates"":[]}"
1073,505.8,600,478.6494694814298,"{""type"":""MultiPoint"",""coordinates"":[]}"
1074,635.75,604,629.0267548966136,"{""type"":""MultiPoint"",""coordinates"":[]}"
1075,396.72222222222223,350,395.3142793531164,"{""type"":""MultiPoint"",""coordinates"":[]}"
1076,618.5,634,619.1562366337464,"{""type"":""MultiPoint"",""coordinates"":[]}"
1077,620.25,602,583.9590633211196,"{""type"":""MultiPoint"",""coordinates"":[]}"
1078,396.72222222222223,367,395.3142793531164,"{""type"":""MultiPoint"",""coordinates"":[]}"
1079,569.6,622,595.3833153119872,"{""type"":""MultiPoint"",""coordinates"":[]}"
1080,699.0,702,648.9526065860846,"{""type"":""MultiPoint"",""coordinates"":[]}"
1081,555.3333333333334,525,504.3339211741846,"{""type"":""MultiPoint"",""coordinates"":[]}"
1082,612.6666666666666,615,610.2687851489703,"{""type"":""MultiPoint"",""coordinates"":[]}"
1083,327.7142857142857,317,352.81312456113847,"{""type"":""MultiPoint"",""coordinates"":[]}"
1084,638.0,595,598.1775032439677,"{""type"":""MultiPoint"",""coordinates"":[]}"
1085,611.0,640,604.2149860633232,"{""type"":""MultiPoint"",""coordinates"":[]}"
1086,410.7692307692308,404,407.88880807054807,"{""type"":""MultiPoint"",""coordinates"":[]}"
1087,391.7142857142857,433,397.548801699232,"{""type"":""MultiPoint"",""coordinates"":[]}"
1088,445.75,448,453.88307603583434,"{""type"":""MultiPoint"",""coordinates"":[]}"
1089,517.3076923076923,514,516.1269261721686,"{""type"":""MultiPoint"",""coordinates"":[]}"
1090,540.0,552,549.5220454826411,"{""type"":""MultiPoint"",""coordinates"":[]}"
1091,468.125,435,465.131145289977,"{""type"":""MultiPoint"",""coordinates"":[]}"
1092,656.6666666666666,704,559.6775949750717,"{""type"":""MultiPoint"",""coordinates"":[]}"
1093,553.75,569,560.911524430107,"{""type"":""MultiPoint"",""coordinates"":[]}"
1094,572.5,637,522.2684398391298,"{""type"":""MultiPoint"",""coordinates"":[]}"
1095,410.3333333333333,413,406.1065373152072,"{""type"":""MultiPoint"",""coordinates"":[]}"
1096,443.3333333333333,388,436.9012482385309,"{""type"":""MultiPoint"",""coordinates"":[]}"
1097,410.3333333333333,373,406.1065373152072,"{""type"":""MultiPoint"",""coordinates"":[]}"
1098,433.57142857142856,416,423.2963062452312,"{""type"":""MultiPoint"",""coordinates"":[]}"
1099,530.125,534,509.0989612277787,"{""type"":""MultiPoint"",""coordinates"":[]}"
1100,638.0,605,591.5459185723901,"{""type"":""MultiPoint"",""coordinates"":[]}"
1101,424.125,309,428.0172966481589,"{""type"":""MultiPoint"",""coordinates"":[]}"
1102,517.3076923076923,510,516.1269261721686,"{""type"":""MultiPoint"",""coordinates"":[]}"
1103,603.2,618,613.4857580604191,"{""type"":""MultiPoint"",""coordinates"":[]}"
1104,327.1875,297,344.0892060245702,"{""type"":""MultiPoint"",""coordinates"":[]}"
1105,429.7142857142857,431,432.9090724330903,"{""type"":""MultiPoint"",""coordinates"":[]}"
1106,429.7142857142857,412,432.9090724330903,"{""type"":""MultiPoint"",""coordinates"":[]}"
1107,410.3333333333333,396,406.1065373152072,"{""type"":""MultiPoint"",""coordinates"":[]}"
1108,452.1818181818182,433,449.481191384445,"{""type"":""MultiPoint"",""coordinates"":[]}"
1109,335.6666666666667,317,351.3121308041216,"{""type"":""MultiPoint"",""coordinates"":[]}"
1110,341.7,395,362.8690137862151,"{""type"":""MultiPoint"",""coordinates"":[]}"
1111,442.72727272727275,442,440.1338919106222,"{""type"":""MultiPoint"",""coordinates"":[]}"
1112,335.6666666666667,368,351.3121308041216,"{""type"":""MultiPoint"",""coordinates"":[]}"
1113,442.72727272727275,454,440.1338919106222,"{""type"":""MultiPoint"",""coordinates"":[]}"
1114,422.8,411,420.3125367130823,"{""type"":""MultiPoint"",""coordinates"":[]}"
1115,620.25,570,583.9590633211196,"{""type"":""MultiPoint"",""coordinates"":[]}"
1116,517.3076923076923,461,516.1269261721686,"{""type"":""MultiPoint"",""coordinates"":[]}"
1118,366.25,409,369.37871301181667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1119,555.3333333333334,566,504.3339211741846,"{""type"":""MultiPoint"",""coordinates"":[]}"
1120,460.5,481,454.69501125989154,"{""type"":""MultiPoint"",""coordinates"":[]}"
1121,603.2,615,613.4857580604191,"{""type"":""MultiPoint"",""coordinates"":[]}"
1122,481.38461538461536,472,482.88492668831424,"{""type"":""MultiPoint"",""coordinates"":[]}"
1123,358.77777777777777,334,305.4717908441293,"{""type"":""MultiPoint"",""coordinates"":[]}"
1124,629.0,632,601.7474621396764,"{""type"":""MultiPoint"",""coordinates"":[]}"
1125,422.8,415,420.3125367130823,"{""type"":""MultiPoint"",""coordinates"":[]}"
1126,635.75,690,629.0267548966136,"{""type"":""MultiPoint"",""coordinates"":[]}"
1127,410.3333333333333,428,406.1065373152072,"{""type"":""MultiPoint"",""coordinates"":[]}"
1128,376.8666666666667,355,384.5021776418644,"{""type"":""MultiPoint"",""coordinates"":[]}"
1129,433.57142857142856,423,423.2963062452312,"{""type"":""MultiPoint"",""coordinates"":[]}"
1130,548.6,551,547.3798304454369,"{""type"":""MultiPoint"",""coordinates"":[]}"
1131,460.5,465,454.69501125989154,"{""type"":""MultiPoint"",""coordinates"":[]}"
1132,376.8666666666667,374,384.5021776418644,"{""type"":""MultiPoint"",""coordinates"":[]}"
1133,485.5,549,517.0268132685003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1134,478.07142857142856,415,463.43616536287294,"{""type"":""MultiPoint"",""coordinates"":[]}"
1135,308.25,299,334.0678201273066,"{""type"":""MultiPoint"",""coordinates"":[]}"
1136,341.7,359,362.8690137862151,"{""type"":""MultiPoint"",""coordinates"":[]}"
1138,663.5,711,648.2127714676003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1139,420.5,424,417.5484856799404,"{""type"":""MultiPoint"",""coordinates"":[]}"
1140,503.57142857142856,467,502.05127230768977,"{""type"":""MultiPoint"",""coordinates"":[]}"
1141,342.6666666666667,316,349.1830951590663,"{""type"":""MultiPoint"",""coordinates"":[]}"
1142,445.75,438,453.88307603583434,"{""type"":""MultiPoint"",""coordinates"":[]}"
1143,581.9090909090909,588,562.7746405639732,"{""type"":""MultiPoint"",""coordinates"":[]}"
1144,508.75,480,507.03918502952854,"{""type"":""MultiPoint"",""coordinates"":[]}"
1145,445.75,459,453.88307603583434,"{""type"":""MultiPoint"",""coordinates"":[]}"
1146,376.8666666666667,373,384.5021776418644,"{""type"":""MultiPoint"",""coordinates"":[]}"
1147,537.6666666666666,591,532.8160579687247,"{""type"":""MultiPoint"",""coordinates"":[]}"
1148,506.4,416,483.8205541224831,"{""type"":""MultiPoint"",""coordinates"":[]}"
1149,376.8666666666667,383,384.5021776418644,"{""type"":""MultiPoint"",""coordinates"":[]}"
1150,587.3333333333334,533,589.029343414834,"{""type"":""MultiPoint"",""coordinates"":[]}"
1151,519.5,478,479.932666150214,"{""type"":""MultiPoint"",""coordinates"":[]}"
1152,253.0,246,262.3564001732299,"{""type"":""MultiPoint"",""coordinates"":[]}"
1153,555.3333333333334,490,504.3339211741846,"{""type"":""MultiPoint"",""coordinates"":[]}"
1154,540.0,586,549.5220454826411,"{""type"":""MultiPoint"",""coordinates"":[]}"
1155,523.0,491,525.404616242029,"{""type"":""MultiPoint"",""coordinates"":[]}"
1156,350.35714285714283,353,353.5487822958718,"{""type"":""MultiPoint"",""coordinates"":[]}"
1157,481.38461538461536,436,482.88492668831424,"{""type"":""MultiPoint"",""coordinates"":[]}"
1158,575.5,531,559.9965693981957,"{""type"":""MultiPoint"",""coordinates"":[]}"
1159,572.5,620,525.2064293773693,"{""type"":""MultiPoint"",""coordinates"":[]}"
1160,546.75,564,540.8395671340755,"{""type"":""MultiPoint"",""coordinates"":[]}"
1161,437.5,449,440.95147281898994,"{""type"":""MultiPoint"",""coordinates"":[]}"
1162,600.8,561,606.8622162456514,"{""type"":""MultiPoint"",""coordinates"":[]}"
1163,471.42857142857144,475,462.5602563157796,"{""type"":""MultiPoint"",""coordinates"":[]}"
1164,488.46153846153845,470,495.2245856975236,"{""type"":""MultiPoint"",""coordinates"":[]}"
1165,295.0,170,258.21790017322985,"{""type"":""MultiPoint"",""coordinates"":[]}"
1166,341.7,382,362.8690137862151,"{""type"":""MultiPoint"",""coordinates"":[]}"
1167,590.0,559,545.6291567116203,"{""type"":""MultiPoint"",""coordinates"":[]}"
1168,404.8181818181818,376,405.8897721513868,"{""type"":""MultiPoint"",""coordinates"":[]}"
1169,443.3333333333333,423,436.9012482385309,"{""type"":""MultiPoint"",""coordinates"":[]}"
1170,511.0,597,544.1901868634054,"{""type"":""MultiPoint"",""coordinates"":[]}"
1171,410.7692307692308,444,407.88880807054807,"{""type"":""MultiPoint"",""coordinates"":[]}"
1172,404.8181818181818,405,405.8897721513868,"{""type"":""MultiPoint"",""coordinates"":[]}"
1173,581.9090909090909,581,533.5179607364244,"{""type"":""MultiPoint"",""coordinates"":[]}"
1174,429.7142857142857,435,432.9090724330903,"{""type"":""MultiPoint"",""coordinates"":[]}"
1175,404.8181818181818,380,405.8897721513868,"{""type"":""MultiPoint"",""coordinates"":[]}"
1176,600.6666666666666,589,593.002924672539,"{""type"":""MultiPoint"",""coordinates"":[]}"
1177,468.125,472,465.131145289977,"{""type"":""MultiPoint"",""coordinates"":[]}"
1178,26.333333333333332,35,89.67308982683983,"{""type"":""MultiPoint"",""coordinates"":[]}"
1179,253.0,286,299.70167495226,"{""type"":""MultiPoint"",""coordinates"":[]}"
1180,433.57142857142856,444,423.2963062452312,"{""type"":""MultiPoint"",""coordinates"":[]}"
1181,504.5,521,495.3729132588509,"{""type"":""MultiPoint"",""coordinates"":[]}"
1182,349.5,406,363.93536947731474,"{""type"":""MultiPoint"",""coordinates"":[]}"
1183,530.125,555,518.9093291999737,"{""type"":""MultiPoint"",""coordinates"":[]}"
1184,553.75,622,560.911524430107,"{""type"":""MultiPoint"",""coordinates"":[]}"
1185,578.375,612,569.3298722683426,"{""type"":""MultiPoint"",""coordinates"":[]}"
1186,360.45454545454544,385,370.69584579120686,"{""type"":""MultiPoint"",""coordinates"":[]}"
1187,442.3333333333333,452,432.3871019884435,"{""type"":""MultiPoint"",""coordinates"":[]}"
1188,445.75,346,453.88307603583434,"{""type"":""MultiPoint"",""coordinates"":[]}"
1189,553.7272727272727,582,542.7759199234747,"{""type"":""MultiPoint"",""coordinates"":[]}"
1190,424.125,386,432.42293684320117,"{""type"":""MultiPoint"",""coordinates"":[]}"
1191,537.75,584,526.3488505281333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1192,638.0,618,591.5459185723901,"{""type"":""MultiPoint"",""coordinates"":[]}"
1193,575.5,591,583.2297131839538,"{""type"":""MultiPoint"",""coordinates"":[]}"
1194,488.46153846153845,543,513.0096321907615,"{""type"":""MultiPoint"",""coordinates"":[]}"
1195,540.0,563,549.5220454826411,"{""type"":""MultiPoint"",""coordinates"":[]}"
1196,578.375,643,571.1787278639795,"{""type"":""MultiPoint"",""coordinates"":[]}"
1197,560.0,527,579.2989637908685,"{""type"":""MultiPoint"",""coordinates"":[]}"
1198,511.35714285714283,572,510.93754080087245,"{""type"":""MultiPoint"",""coordinates"":[]}"
1199,413.0,403,402.67189936177704,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200,308.25,288,334.0678201273066,"{""type"":""MultiPoint"",""coordinates"":[]}"
1201,253.0,255,262.3564001732299,"{""type"":""MultiPoint"",""coordinates"":[]}"
1202,695.0,705,659.2137210319249,"{""type"":""MultiPoint"",""coordinates"":[]}"
1203,463.6666666666667,438,468.66832504772583,"{""type"":""MultiPoint"",""coordinates"":[]}"
1204,406.38461538461536,384,414.94411027798424,"{""type"":""MultiPoint"",""coordinates"":[]}"
1206,410.3333333333333,388,406.1065373152072,"{""type"":""MultiPoint"",""coordinates"":[]}"
1207,389.8,434,418.4546167164567,"{""type"":""MultiPoint"",""coordinates"":[]}"
1208,553.75,592,560.911524430107,"{""type"":""MultiPoint"",""coordinates"":[]}"
1209,406.38461538461536,368,414.94411027798424,"{""type"":""MultiPoint"",""coordinates"":[]}"
1210,579.75,595,568.8927834828592,"{""type"":""MultiPoint"",""coordinates"":[]}"
1212,276.0,290,368.6016914640084,"{""type"":""MultiPoint"",""coordinates"":[]}"
1213,433.4,406,442.55818229284944,"{""type"":""MultiPoint"",""coordinates"":[]}"
1214,349.5,358,363.93536947731474,"{""type"":""MultiPoint"",""coordinates"":[]}"
1215,590.0,620,573.8681716981622,"{""type"":""MultiPoint"",""coordinates"":[]}"
1216,366.25,330,369.37871301181667,"{""type"":""MultiPoint"",""coordinates"":[]}"
