system:index,cart_estimatefAPAR,estimatefAPAR,rf_estimatefAPAR,.geo
1078,422.3333333333333,441,414.9642383724706,"{""type"":""MultiPoint"",""coordinates"":[]}"
1079,585.0,512,583.4821972459197,"{""type"":""MultiPoint"",""coordinates"":[]}"
1080,526.3333333333334,470,526.5488564425771,"{""type"":""MultiPoint"",""coordinates"":[]}"
1081,702.6666666666666,663,685.1214027639026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1082,709.6666666666666,668,697.8549285714284,"{""type"":""MultiPoint"",""coordinates"":[]}"
1083,584.3333333333334,582,586.4479605795484,"{""type"":""MultiPoint"",""coordinates"":[]}"
1084,430.25,461,434.44912703503127,"{""type"":""MultiPoint"",""coordinates"":[]}"
1085,666.5,643,662.4048250678986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1086,632.5,623,618.2680240286849,"{""type"":""MultiPoint"",""coordinates"":[]}"
1087,757.6666666666666,741,746.8813095238095,"{""type"":""MultiPoint"",""coordinates"":[]}"
1088,590.5,610,567.5228115448325,"{""type"":""MultiPoint"",""coordinates"":[]}"
1089,691.0,694,696.0183205128203,"{""type"":""MultiPoint"",""coordinates"":[]}"
1090,422.3333333333333,470,415.956525974026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1091,430.14285714285717,426,439.37430671625356,"{""type"":""MultiPoint"",""coordinates"":[]}"
1092,702.6666666666666,681,688.1981774891773,"{""type"":""MultiPoint"",""coordinates"":[]}"
1093,596.6666666666666,638,591.5101493408553,"{""type"":""MultiPoint"",""coordinates"":[]}"
1094,702.6666666666666,645,671.0106162171162,"{""type"":""MultiPoint"",""coordinates"":[]}"
1095,672.6666666666666,655,674.4334404761904,"{""type"":""MultiPoint"",""coordinates"":[]}"
1096,437.0,451,437.6447652973536,"{""type"":""MultiPoint"",""coordinates"":[]}"
1098,411.0,416,411.0428531606551,"{""type"":""MultiPoint"",""coordinates"":[]}"
1099,677.4285714285714,587,674.2132998398587,"{""type"":""MultiPoint"",""coordinates"":[]}"
1100,514.5,562,522.9924837418012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1101,453.3333333333333,459,448.9044061176775,"{""type"":""MultiPoint"",""coordinates"":[]}"
1102,489.6666666666667,435,481.46257462556605,"{""type"":""MultiPoint"",""coordinates"":[]}"
1103,635.0,659,649.1537386196497,"{""type"":""MultiPoint"",""coordinates"":[]}"
1104,456.6666666666667,433,451.2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1105,628.5,613,620.0496504329004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1106,508.6666666666667,513,498.65154339316547,"{""type"":""MultiPoint"",""coordinates"":[]}"
1107,619.0,630,641.994925203058,"{""type"":""MultiPoint"",""coordinates"":[]}"
1108,707.5,646,687.9652628134864,"{""type"":""MultiPoint"",""coordinates"":[]}"
1109,445.5,482,473.7379351403073,"{""type"":""MultiPoint"",""coordinates"":[]}"
1110,569.0,535,529.6997310282086,"{""type"":""MultiPoint"",""coordinates"":[]}"
1111,532.5,483,484.51505555555576,"{""type"":""MultiPoint"",""coordinates"":[]}"
1112,709.6666666666666,704,704.5784633699633,"{""type"":""MultiPoint"",""coordinates"":[]}"
1113,673.5,677,681.221410989011,"{""type"":""MultiPoint"",""coordinates"":[]}"
1114,730.3333333333334,736,729.0758015873017,"{""type"":""MultiPoint"",""coordinates"":[]}"
1115,483.0,530,512.4675816006353,"{""type"":""MultiPoint"",""coordinates"":[]}"
1117,556.6666666666666,583,558.8233116339375,"{""type"":""MultiPoint"",""coordinates"":[]}"
1118,539.0,484,511.5002710437711,"{""type"":""MultiPoint"",""coordinates"":[]}"
1119,445.5,499,479.7261383260105,"{""type"":""MultiPoint"",""coordinates"":[]}"
1121,704.0,713,707.5624870129869,"{""type"":""MultiPoint"",""coordinates"":[]}"
1122,718.6666666666666,689,710.1940952380952,"{""type"":""MultiPoint"",""coordinates"":[]}"
1123,457.75,520,473.2041402358307,"{""type"":""MultiPoint"",""coordinates"":[]}"
1124,508.6666666666667,489,505.1718307313602,"{""type"":""MultiPoint"",""coordinates"":[]}"
1125,399.6666666666667,409,412.7592929289785,"{""type"":""MultiPoint"",""coordinates"":[]}"
1126,522.5,503,547.0393653324917,"{""type"":""MultiPoint"",""coordinates"":[]}"
1127,463.6,452,450.5997297682241,"{""type"":""MultiPoint"",""coordinates"":[]}"
1128,543.0,546,548.4992468593498,"{""type"":""MultiPoint"",""coordinates"":[]}"
1129,636.0,700,661.6474645191411,"{""type"":""MultiPoint"",""coordinates"":[]}"
1130,400.3333333333333,425,402.3523976588789,"{""type"":""MultiPoint"",""coordinates"":[]}"
1131,583.0,592,586.2178677306185,"{""type"":""MultiPoint"",""coordinates"":[]}"
1132,576.25,551,582.6314765612577,"{""type"":""MultiPoint"",""coordinates"":[]}"
1133,656.0,653,650.6809901381228,"{""type"":""MultiPoint"",""coordinates"":[]}"
1134,638.6666666666666,644,606.0088035232742,"{""type"":""MultiPoint"",""coordinates"":[]}"
1135,686.0,681,675.8776272175537,"{""type"":""MultiPoint"",""coordinates"":[]}"
1136,705.0,634,686.8973203463204,"{""type"":""MultiPoint"",""coordinates"":[]}"
1137,535.5,514,515.3363784860022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1138,439.6666666666667,433,426.11623049984547,"{""type"":""MultiPoint"",""coordinates"":[]}"
1139,385.5,403,375.801738095238,"{""type"":""MultiPoint"",""coordinates"":[]}"
1140,623.0,677,614.708867063492,"{""type"":""MultiPoint"",""coordinates"":[]}"
1141,583.0,603,578.5395074847006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1142,530.6666666666666,460,534.570465651995,"{""type"":""MultiPoint"",""coordinates"":[]}"
1143,662.0,585,643.9051462894054,"{""type"":""MultiPoint"",""coordinates"":[]}"
1144,516.25,521,527.8256710504573,"{""type"":""MultiPoint"",""coordinates"":[]}"
1145,432.5,430,441.01541812301383,"{""type"":""MultiPoint"",""coordinates"":[]}"
1146,400.3333333333333,398,400.9932726588788,"{""type"":""MultiPoint"",""coordinates"":[]}"
1147,663.6666666666666,710,706.7919761904761,"{""type"":""MultiPoint"",""coordinates"":[]}"
1148,403.0,411,405.82237507035643,"{""type"":""MultiPoint"",""coordinates"":[]}"
1149,499.5,590,553.9459999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1150,551.2,544,567.2641802906528,"{""type"":""MultiPoint"",""coordinates"":[]}"
1152,412.6666666666667,497,440.05787121212137,"{""type"":""MultiPoint"",""coordinates"":[]}"
1153,638.6666666666666,606,629.7765952380954,"{""type"":""MultiPoint"",""coordinates"":[]}"
1154,457.75,482,473.8949331651236,"{""type"":""MultiPoint"",""coordinates"":[]}"
1156,665.0,649,619.6645595175896,"{""type"":""MultiPoint"",""coordinates"":[]}"
1157,449.0,412,440.4001273905566,"{""type"":""MultiPoint"",""coordinates"":[]}"
1158,558.0,620,584.4767277022046,"{""type"":""MultiPoint"",""coordinates"":[]}"
1159,591.75,568,574.8990582980791,"{""type"":""MultiPoint"",""coordinates"":[]}"
1160,584.6666666666666,618,594.352059894591,"{""type"":""MultiPoint"",""coordinates"":[]}"
1162,494.0,506,476.3711844253012,"{""type"":""MultiPoint"",""coordinates"":[]}"
