system:index,cart_estimatefCOVER,estimatefCOVER,rf_estimatefCOVER,.geo
1078,406.9375,435,406.000511963983,"{""type"":""MultiPoint"",""coordinates"":[]}"
1079,605.0,513,584.0636569525465,"{""type"":""MultiPoint"",""coordinates"":[]}"
1080,519.1428571428571,464,518.8994975131412,"{""type"":""MultiPoint"",""coordinates"":[]}"
1081,669.5,676,696.6856545117313,"{""type"":""MultiPoint"",""coordinates"":[]}"
1082,716.0,680,708.6739051764116,"{""type"":""MultiPoint"",""coordinates"":[]}"
1083,586.0,582,588.8035276260312,"{""type"":""MultiPoint"",""coordinates"":[]}"
1084,431.1764705882353,455,432.3491041178232,"{""type"":""MultiPoint"",""coordinates"":[]}"
1085,668.5,649,666.8332833380078,"{""type"":""MultiPoint"",""coordinates"":[]}"
1086,631.4,633,621.6589876632502,"{""type"":""MultiPoint"",""coordinates"":[]}"
1087,775.3333333333334,763,758.491889664726,"{""type"":""MultiPoint"",""coordinates"":[]}"
1088,581.25,616,572.7899309112377,"{""type"":""MultiPoint"",""coordinates"":[]}"
1089,727.5,710,710.9017539221104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1090,402.8333333333333,466,401.82360889505946,"{""type"":""MultiPoint"",""coordinates"":[]}"
1091,422.22222222222223,419,426.276785970117,"{""type"":""MultiPoint"",""coordinates"":[]}"
1092,669.5,693,697.1048225658993,"{""type"":""MultiPoint"",""coordinates"":[]}"
1093,600.0,658,598.1041972145827,"{""type"":""MultiPoint"",""coordinates"":[]}"
1094,694.0,658,681.9661915273473,"{""type"":""MultiPoint"",""coordinates"":[]}"
1095,708.0,668,689.2839917377968,"{""type"":""MultiPoint"",""coordinates"":[]}"
1096,431.1764705882353,444,432.3491041178232,"{""type"":""MultiPoint"",""coordinates"":[]}"
1098,406.9375,409,406.000511963983,"{""type"":""MultiPoint"",""coordinates"":[]}"
1099,692.0,587,682.3261431669047,"{""type"":""MultiPoint"",""coordinates"":[]}"
1100,511.5,559,513.2474384370853,"{""type"":""MultiPoint"",""coordinates"":[]}"
1101,444.0,452,445.30042121812295,"{""type"":""MultiPoint"",""coordinates"":[]}"
1102,473.2,429,471.58072561319716,"{""type"":""MultiPoint"",""coordinates"":[]}"
1103,650.5,678,659.2643156202363,"{""type"":""MultiPoint"",""coordinates"":[]}"
1104,498.0,428,429.8015556906974,"{""type"":""MultiPoint"",""coordinates"":[]}"
1105,650.6666666666666,612,621.1374224255611,"{""type"":""MultiPoint"",""coordinates"":[]}"
1106,515.0,514,508.6397888305954,"{""type"":""MultiPoint"",""coordinates"":[]}"
1107,636.0,633,646.6149779384081,"{""type"":""MultiPoint"",""coordinates"":[]}"
1108,720.6666666666666,653,692.8701985288473,"{""type"":""MultiPoint"",""coordinates"":[]}"
1109,440.5,477,479.2935246864246,"{""type"":""MultiPoint"",""coordinates"":[]}"
1110,595.0,543,534.768347857122,"{""type"":""MultiPoint"",""coordinates"":[]}"
1111,473.2,484,480.30826525770493,"{""type"":""MultiPoint"",""coordinates"":[]}"
1112,731.0,720,720.09707351918,"{""type"":""MultiPoint"",""coordinates"":[]}"
1113,646.5,675,685.4839183358813,"{""type"":""MultiPoint"",""coordinates"":[]}"
1114,748.0,745,736.7304053680635,"{""type"":""MultiPoint"",""coordinates"":[]}"
1115,515.0,529,517.3134188093428,"{""type"":""MultiPoint"",""coordinates"":[]}"
1117,551.0,579,553.129424346378,"{""type"":""MultiPoint"",""coordinates"":[]}"
1118,494.875,476,498.6932137671632,"{""type"":""MultiPoint"",""coordinates"":[]}"
1119,440.5,495,479.2935246864246,"{""type"":""MultiPoint"",""coordinates"":[]}"
1121,717.0,729,718.8641158920368,"{""type"":""MultiPoint"",""coordinates"":[]}"
1122,735.0,707,719.2081868946931,"{""type"":""MultiPoint"",""coordinates"":[]}"
