system:index,cart_estimatefAPAR,estimatefAPAR,rf_estimatefAPAR,.geo
1033,298.3333333333333,277,332.3548501781684,"{""type"":""MultiPoint"",""coordinates"":[]}"
1034,688.6666666666666,770,656.5718512750692,"{""type"":""MultiPoint"",""coordinates"":[]}"
1035,373.5,369,368.52138715194997,"{""type"":""MultiPoint"",""coordinates"":[]}"
1036,711.0,721,701.2040720115599,"{""type"":""MultiPoint"",""coordinates"":[]}"
1037,326.0,250,449.24263516439527,"{""type"":""MultiPoint"",""coordinates"":[]}"
1038,145.5,226,141.170066026788,"{""type"":""MultiPoint"",""coordinates"":[]}"
1039,145.66666666666666,59,178.9705472546194,"{""type"":""MultiPoint"",""coordinates"":[]}"
1040,654.5,463,617.8684023568082,"{""type"":""MultiPoint"",""coordinates"":[]}"
1041,815.3333333333334,815,791.323122902006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1042,77.66666666666667,104,93.57212572532256,"{""type"":""MultiPoint"",""coordinates"":[]}"
1043,686.5,771,759.2530625862971,"{""type"":""MultiPoint"",""coordinates"":[]}"
1045,660.0,674,629.979748341479,"{""type"":""MultiPoint"",""coordinates"":[]}"
1046,566.0,643,592.6843427013523,"{""type"":""MultiPoint"",""coordinates"":[]}"
1047,269.0,185,238.4830834112577,"{""type"":""MultiPoint"",""coordinates"":[]}"
1048,603.3333333333334,660,629.7011634995984,"{""type"":""MultiPoint"",""coordinates"":[]}"
1049,348.0,274,301.6795018922715,"{""type"":""MultiPoint"",""coordinates"":[]}"
1050,146.0,255,143.04616771790646,"{""type"":""MultiPoint"",""coordinates"":[]}"
1051,101.33333333333333,148,116.97193994165194,"{""type"":""MultiPoint"",""coordinates"":[]}"
1052,656.3333333333334,667,661.5091412905803,"{""type"":""MultiPoint"",""coordinates"":[]}"
1053,529.6666666666666,393,402.36837878841186,"{""type"":""MultiPoint"",""coordinates"":[]}"
1054,815.3333333333334,857,793.500622902006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1055,86.5,77,91.52895884644981,"{""type"":""MultiPoint"",""coordinates"":[]}"
1056,791.6666666666666,806,788.8150396443203,"{""type"":""MultiPoint"",""coordinates"":[]}"
1057,165.0,203,194.21957874283194,"{""type"":""MultiPoint"",""coordinates"":[]}"
1058,500.5,606,527.4872519688583,"{""type"":""MultiPoint"",""coordinates"":[]}"
1059,188.0,171,180.6005939033322,"{""type"":""MultiPoint"",""coordinates"":[]}"
1060,356.3333333333333,320,434.76495118549605,"{""type"":""MultiPoint"",""coordinates"":[]}"
1061,271.5,206,269.1245555294472,"{""type"":""MultiPoint"",""coordinates"":[]}"
1062,151.5,116,190.2622327808517,"{""type"":""MultiPoint"",""coordinates"":[]}"
1063,733.0,710,723.9805392942769,"{""type"":""MultiPoint"",""coordinates"":[]}"
1064,412.5,495,494.4732463848619,"{""type"":""MultiPoint"",""coordinates"":[]}"
