system:index,cart_estimatefCOVER,estimatefCOVER,rf_estimatefCOVER,.geo
1033,285.3333333333333,267,316.6956785168358,"{""type"":""MultiPoint"",""coordinates"":[]}"
1034,720.5,774,665.1454521034374,"{""type"":""MultiPoint"",""coordinates"":[]}"
1035,366.0,365,355.65369108880697,"{""type"":""MultiPoint"",""coordinates"":[]}"
1036,756.0,740,720.2837436115753,"{""type"":""MultiPoint"",""coordinates"":[]}"
1037,316.3333333333333,240,456.1763647494257,"{""type"":""MultiPoint"",""coordinates"":[]}"
1038,131.33333333333334,203,112.60350250065144,"{""type"":""MultiPoint"",""coordinates"":[]}"
1039,137.66666666666666,48,154.17468113086136,"{""type"":""MultiPoint"",""coordinates"":[]}"
1040,672.0,456,634.4561048256896,"{""type"":""MultiPoint"",""coordinates"":[]}"
1041,823.6666666666666,821,805.1826484825793,"{""type"":""MultiPoint"",""coordinates"":[]}"
1042,26.5,64,65.98895589766464,"{""type"":""MultiPoint"",""coordinates"":[]}"
1043,850.3333333333334,791,786.956482485612,"{""type"":""MultiPoint"",""coordinates"":[]}"
1045,674.5,675,645.3406253126752,"{""type"":""MultiPoint"",""coordinates"":[]}"
1046,588.5,656,606.4672348817588,"{""type"":""MultiPoint"",""coordinates"":[]}"
1047,283.5,164,223.87433882453624,"{""type"":""MultiPoint"",""coordinates"":[]}"
1048,621.3333333333334,677,639.251661479019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1049,288.0,264,281.3128198107079,"{""type"":""MultiPoint"",""coordinates"":[]}"
1050,84.33333333333333,234,111.77087385064999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1051,61.666666666666664,115,84.34805409885342,"{""type"":""MultiPoint"",""coordinates"":[]}"
1052,681.6666666666666,691,683.1199450746653,"{""type"":""MultiPoint"",""coordinates"":[]}"
1053,532.6666666666666,393,407.6317048887548,"{""type"":""MultiPoint"",""coordinates"":[]}"
1054,823.6666666666666,868,807.7790770540081,"{""type"":""MultiPoint"",""coordinates"":[]}"
1055,34.5,29,66.85680446576322,"{""type"":""MultiPoint"",""coordinates"":[]}"
1056,822.5,826,813.9366548258919,"{""type"":""MultiPoint"",""coordinates"":[]}"
1057,151.33333333333334,179,167.41082204511807,"{""type"":""MultiPoint"",""coordinates"":[]}"
1058,506.0,618,529.8648536266388,"{""type"":""MultiPoint"",""coordinates"":[]}"
1059,158.0,134,149.05312879814895,"{""type"":""MultiPoint"",""coordinates"":[]}"
1060,351.3333333333333,312,432.0485905952135,"{""type"":""MultiPoint"",""coordinates"":[]}"
1061,250.5,188,251.24873789085763,"{""type"":""MultiPoint"",""coordinates"":[]}"
1062,115.66666666666667,89,159.28501871756353,"{""type"":""MultiPoint"",""coordinates"":[]}"
1063,758.3333333333334,725,744.574693480547,"{""type"":""MultiPoint"",""coordinates"":[]}"
1064,417.0,489,484.09444918630055,"{""type"":""MultiPoint"",""coordinates"":[]}"
1065,533.6666666666666,504,560.9942575824416,"{""type"":""MultiPoint"",""coordinates"":[]}"
1067,137.66666666666666,62,156.62107490375513,"{""type"":""MultiPoint"",""coordinates"":[]}"
1068,516.6666666666666,552,542.6309418741735,"{""type"":""MultiPoint"",""coordinates"":[]}"
1069,915.0,927,904.5469774307145,"{""type"":""MultiPoint"",""coordinates"":[]}"
1070,79.0,-15,66.90079737201154,"{""type"":""MultiPoint"",""coordinates"":[]}"
1071,79.0,-46,67.49947810794228,"{""type"":""MultiPoint"",""coordinates"":[]}"
1072,707.6666666666666,756,756.855787764899,"{""type"":""MultiPoint"",""coordinates"":[]}"
1074,758.3333333333334,767,747.2617914852594,"{""type"":""MultiPoint"",""coordinates"":[]}"
