system:index,B4,EVI2,MSR,NDGI,RDVI,estimateLAI,.geo
0_11,1228.0,0.5427243073000638,0.3939141805258349,-0.06412478336221837,19.26258132472498,0.863,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_46,1292.0,0.43127801423782447,0.3072789787085902,-0.20018578727357175,15.483225946626424,0.298,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_73,597.0,1.2407609504439705,1.0860869574324674,0.02926829268292683,35.40068432536616,1.002,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_137,1070.0,0.8849636073140422,0.6922031207479671,-0.06256206554121152,31.012724264076386,1.031,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_203,860.0,0.8429639700883752,0.6523415379816411,-0.08312342569269521,26.27155331752789,0.753,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_243,752.0,1.0306080242658209,0.8400104070010964,-0.014844804318488529,31.23899927660163,1.236,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_307,1050.0,0.4185124737701096,0.29761686325722664,-0.1583011583011583,13.52551934408895,0.085,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_342,957.0,0.8790190844256744,0.6865067803501974,-0.057458563535911604,29.09911734163971,1.081,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_376,907.0,0.8153479837476518,0.6266794391627775,0.009284543965046422,25.96227287704687,0.763,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_404,980.0,0.6674730591598856,0.49625382546013286,-0.00667693888032871,21.54840976622303,0.681,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_408,729.0,1.1108994756420023,0.9287728246357833,-0.0013736263736263737,33.80495622520415,1.168,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_432,838.0,0.8002957874147226,0.612895526965997,0.00297441998810232,24.428280496287524,1.142,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_463,894.0,1.051156939732398,0.8621389640015581,-0.04806565064478312,34.90611200037142,1.239,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_486,729.0,1.0423035319569205,0.8525924445036741,-0.1095890410958904,31.191787005583237,0.792,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_514,1176.0,0.6281124798741904,0.4632691012199478,-0.13733075435203096,22.080254269072576,0.427,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_577,976.0,0.7166802767868656,0.538441834678362,-0.10282485875706214,23.271375294445928,0.692,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_617,675.0,1.1231710242264332,0.9428882661683906,-0.03132161955691368,32.991922591021265,0.893,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_618,1044.0,0.8055587370671553,0.6176706208458793,-0.07297019527235354,27.469860216953837,0.797,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_628,1334.0,0.42985434235023545,0.3061955927565871,-0.1605045672031318,15.678239767782175,0.2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_629,769.0,1.0214579659024101,0.8302472350702909,-0.16250944822373395,31.243529673954804,1.199,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_670,696.0,1.179908105455681,1.0100323094561119,0.019027484143763214,35.72612151167292,1.213,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_690,833.0,1.0275040538854934,0.8366679993226577,-0.10477453580901856,32.75496077533762,1.025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_701,1270.0,0.5364611747590471,0.38893263273195383,-0.13646532438478748,19.346862155626614,0.431,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_780,877.0,0.9180491323348468,0.7244634615817966,-0.11862244897959184,29.32214092371278,0.998,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_788,1130.0,0.44930629669156885,0.32103472451061327,-0.14314618108244814,15.117890478107695,0.39,"{""type"":""MultiPoint"",""coordinates"":[]}"
