system:index,cart_estimateLAI,estimateLAI,rf_estimateLAI,.geo
1956,3292.3333333333335,2801,3211.853489262931,"{""type"":""MultiPoint"",""coordinates"":[]}"
1957,3395.5,2764,3223.751945967843,"{""type"":""MultiPoint"",""coordinates"":[]}"
1959,2324.6666666666665,2585,2387.86633261717,"{""type"":""MultiPoint"",""coordinates"":[]}"
1960,2577.5,2271,2371.455062610012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1963,1527.5,1232,1659.3802986459716,"{""type"":""MultiPoint"",""coordinates"":[]}"
1964,2432.3333333333335,2674,2528.6350656031764,"{""type"":""MultiPoint"",""coordinates"":[]}"
1966,2159.0,2096,2008.265693235448,"{""type"":""MultiPoint"",""coordinates"":[]}"
1969,2866.3333333333335,3003,2964.2491556921973,"{""type"":""MultiPoint"",""coordinates"":[]}"
1972,2943.0,2709,2586.23673510681,"{""type"":""MultiPoint"",""coordinates"":[]}"
1973,939.0,944,1218.3670597750458,"{""type"":""MultiPoint"",""coordinates"":[]}"
1974,3549.6666666666665,3258,3247.3078870184154,"{""type"":""MultiPoint"",""coordinates"":[]}"
1975,2981.5,3368,3252.2758896272994,"{""type"":""MultiPoint"",""coordinates"":[]}"
1976,3238.75,3522,3043.0921608859976,"{""type"":""MultiPoint"",""coordinates"":[]}"
1977,104.5,185,342.2147630562821,"{""type"":""MultiPoint"",""coordinates"":[]}"
1978,1809.6666666666667,2392,1918.8806142454775,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983,3797.0,3595,3425.7666174161386,"{""type"":""MultiPoint"",""coordinates"":[]}"
1985,915.6666666666666,960,850.5146108026377,"{""type"":""MultiPoint"",""coordinates"":[]}"
1986,2909.0,3136,3059.986761634664,"{""type"":""MultiPoint"",""coordinates"":[]}"
1988,1709.0,1255,1647.5160554363217,"{""type"":""MultiPoint"",""coordinates"":[]}"
1989,28.5,126,201.01345020246933,"{""type"":""MultiPoint"",""coordinates"":[]}"
1991,1573.0,1661,1510.3992579937446,"{""type"":""MultiPoint"",""coordinates"":[]}"
1992,2116.5,2123,2005.4992550088305,"{""type"":""MultiPoint"",""coordinates"":[]}"
1993,2648.3333333333335,2454,2542.370777904763,"{""type"":""MultiPoint"",""coordinates"":[]}"
1995,2808.0,3260,3000.0136146436625,"{""type"":""MultiPoint"",""coordinates"":[]}"
1997,407.3333333333333,363,554.7383407979848,"{""type"":""MultiPoint"",""coordinates"":[]}"
1999,2683.5,2623,2697.9020011558223,"{""type"":""MultiPoint"",""coordinates"":[]}"
