system:index,cart_estimatefAPAR,estimatefAPAR,rf_estimatefAPAR,.geo
1956,741.75,719,738.048937152879,"{""type"":""MultiPoint"",""coordinates"":[]}"
1957,724.0,661,707.6635430875056,"{""type"":""MultiPoint"",""coordinates"":[]}"
1959,629.6666666666666,587,622.5656210352062,"{""type"":""MultiPoint"",""coordinates"":[]}"
1960,572.6666666666666,563,592.5400335706069,"{""type"":""MultiPoint"",""coordinates"":[]}"
1963,453.3333333333333,372,484.2916018597821,"{""type"":""MultiPoint"",""coordinates"":[]}"
1964,585.375,597,577.018550779224,"{""type"":""MultiPoint"",""coordinates"":[]}"
1966,542.6666666666666,595,545.1687828090467,"{""type"":""MultiPoint"",""coordinates"":[]}"
1969,677.0,696,675.2767906624987,"{""type"":""MultiPoint"",""coordinates"":[]}"
1972,572.6666666666666,574,592.5400335706069,"{""type"":""MultiPoint"",""coordinates"":[]}"
1973,356.5,290,351.59058663412617,"{""type"":""MultiPoint"",""coordinates"":[]}"
1974,750.0,757,738.9553817130698,"{""type"":""MultiPoint"",""coordinates"":[]}"
1975,787.6666666666666,796,749.9820440883246,"{""type"":""MultiPoint"",""coordinates"":[]}"
1976,717.6,747,710.2270834183853,"{""type"":""MultiPoint"",""coordinates"":[]}"
1977,139.0,111,162.03905340467256,"{""type"":""MultiPoint"",""coordinates"":[]}"
1978,530.0,561,521.8243983659079,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983,798.0,786,759.4634058623889,"{""type"":""MultiPoint"",""coordinates"":[]}"
1985,259.3333333333333,302,243.9361417454253,"{""type"":""MultiPoint"",""coordinates"":[]}"
1986,722.0,738,717.9643767701571,"{""type"":""MultiPoint"",""coordinates"":[]}"
1988,539.0,400,512.708359672279,"{""type"":""MultiPoint"",""coordinates"":[]}"
1989,158.0,115,111.78765833556032,"{""type"":""MultiPoint"",""coordinates"":[]}"
1991,422.6,481,446.5083031589874,"{""type"":""MultiPoint"",""coordinates"":[]}"
1992,539.0,513,512.708359672279,"{""type"":""MultiPoint"",""coordinates"":[]}"
1993,602.6666666666666,606,601.6763325371631,"{""type"":""MultiPoint"",""coordinates"":[]}"
1995,704.3636363636364,725,707.2616910454519,"{""type"":""MultiPoint"",""coordinates"":[]}"
1997,139.0,147,164.52999365302068,"{""type"":""MultiPoint"",""coordinates"":[]}"
1999,650.6666666666666,657,667.6868659455523,"{""type"":""MultiPoint"",""coordinates"":[]}"
