system:index,cart_estimatefCOVER,estimatefCOVER,rf_estimatefCOVER,.geo
1956,779.0,741,755.7227433243077,"{""type"":""MultiPoint"",""coordinates"":[]}"
1957,738.0,677,725.2339027832627,"{""type"":""MultiPoint"",""coordinates"":[]}"
1959,649.3333333333334,594,641.2048734976993,"{""type"":""MultiPoint"",""coordinates"":[]}"
1960,580.0,571,595.8072223870756,"{""type"":""MultiPoint"",""coordinates"":[]}"
1963,458.6666666666667,374,486.2461328662071,"{""type"":""MultiPoint"",""coordinates"":[]}"
1964,595.5,604,588.6494673982141,"{""type"":""MultiPoint"",""coordinates"":[]}"
1966,564.3333333333334,619,563.002714951452,"{""type"":""MultiPoint"",""coordinates"":[]}"
1969,692.7142857142857,716,691.7427524798907,"{""type"":""MultiPoint"",""coordinates"":[]}"
1972,580.0,574,595.8072223870756,"{""type"":""MultiPoint"",""coordinates"":[]}"
1973,350.4,282,351.52488289376606,"{""type"":""MultiPoint"",""coordinates"":[]}"
1974,769.5,782,760.4291733518819,"{""type"":""MultiPoint"",""coordinates"":[]}"
1975,812.3333333333334,827,766.1308264928193,"{""type"":""MultiPoint"",""coordinates"":[]}"
1976,737.8,765,729.1409110058299,"{""type"":""MultiPoint"",""coordinates"":[]}"
1977,68.5,81,138.39206232467075,"{""type"":""MultiPoint"",""coordinates"":[]}"
1978,545.5,559,534.504358476543,"{""type"":""MultiPoint"",""coordinates"":[]}"
1983,818.3333333333334,806,774.0005463578306,"{""type"":""MultiPoint"",""coordinates"":[]}"
1985,247.33333333333334,293,238.58669626885685,"{""type"":""MultiPoint"",""coordinates"":[]}"
1986,740.0,760,737.1391390308345,"{""type"":""MultiPoint"",""coordinates"":[]}"
1988,556.3333333333334,409,526.1283014897236,"{""type"":""MultiPoint"",""coordinates"":[]}"
1989,232.5,85,103.0701454915039,"{""type"":""MultiPoint"",""coordinates"":[]}"
1991,422.2,481,448.1563957702736,"{""type"":""MultiPoint"",""coordinates"":[]}"
1992,556.3333333333334,518,526.1283014897236,"{""type"":""MultiPoint"",""coordinates"":[]}"
1993,604.6666666666666,615,604.5442537307318,"{""type"":""MultiPoint"",""coordinates"":[]}"
1995,723.6363636363636,743,725.692969103417,"{""type"":""MultiPoint"",""coordinates"":[]}"
1997,232.5,137,140.888155564764,"{""type"":""MultiPoint"",""coordinates"":[]}"
1999,667.6666666666666,671,685.1567149481608,"{""type"":""MultiPoint"",""coordinates"":[]}"
