system:index,cart_estimatefAPAR,estimatefAPAR,rf_estimatefAPAR,.geo
1295,733.5,739,768.3266904761906,"{""type"":""MultiPoint"",""coordinates"":[]}"
1296,704.6666666666666,664,689.9559444444444,"{""type"":""MultiPoint"",""coordinates"":[]}"
1297,735.5,760,758.310523809524,"{""type"":""MultiPoint"",""coordinates"":[]}"
1299,337.0,457,396.07619047619045,"{""type"":""MultiPoint"",""coordinates"":[]}"
1300,787.0,787,760.7294848484847,"{""type"":""MultiPoint"",""coordinates"":[]}"
1301,830.0,825,821.8991666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1304,516.6666666666666,601,580.3107756753049,"{""type"":""MultiPoint"",""coordinates"":[]}"
1306,346.5,366,410.77553679653676,"{""type"":""MultiPoint"",""coordinates"":[]}"
1307,778.6666666666666,760,749.6016233766234,"{""type"":""MultiPoint"",""coordinates"":[]}"
1308,504.5,646,571.1774496124789,"{""type"":""MultiPoint"",""coordinates"":[]}"
1310,247.5,219,269.61853479853477,"{""type"":""MultiPoint"",""coordinates"":[]}"
1311,823.0,796,809.6741666666665,"{""type"":""MultiPoint"",""coordinates"":[]}"
1312,532.5,527,494.45158919022157,"{""type"":""MultiPoint"",""coordinates"":[]}"
1313,755.5,737,748.721833333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1315,237.0,403,318.721762071262,"{""type"":""MultiPoint"",""coordinates"":[]}"
1316,473.0,546,487.3833135491958,"{""type"":""MultiPoint"",""coordinates"":[]}"
1317,693.0,701,708.474,"{""type"":""MultiPoint"",""coordinates"":[]}"
1319,713.0,696,701.3610755875197,"{""type"":""MultiPoint"",""coordinates"":[]}"
1320,742.5,750,745.970075757576,"{""type"":""MultiPoint"",""coordinates"":[]}"
1321,644.6666666666666,645,639.5637559663512,"{""type"":""MultiPoint"",""coordinates"":[]}"
1322,473.0,349,470.6953135491959,"{""type"":""MultiPoint"",""coordinates"":[]}"
1323,520.0,528,553.9584910367411,"{""type"":""MultiPoint"",""coordinates"":[]}"
1325,420.5,534,495.04678205128204,"{""type"":""MultiPoint"",""coordinates"":[]}"
1326,411.5,419,443.3184932306257,"{""type"":""MultiPoint"",""coordinates"":[]}"
1327,431.5,510,475.6766468825292,"{""type"":""MultiPoint"",""coordinates"":[]}"
1328,285.0,278,201.40983333333338,"{""type"":""MultiPoint"",""coordinates"":[]}"
1330,465.5,421,460.5882175895999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1332,808.6666666666666,877,825.0683333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
1334,330.0,323,319.17,"{""type"":""MultiPoint"",""coordinates"":[]}"
1335,431.5,443,489.68665878729104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1336,597.3333333333334,592,625.1000132275132,"{""type"":""MultiPoint"",""coordinates"":[]}"
1337,473.0,477,467.5628135491959,"{""type"":""MultiPoint"",""coordinates"":[]}"
1339,660.0,725,671.3491448064607,"{""type"":""MultiPoint"",""coordinates"":[]}"
1340,483.3333333333333,547,551.4483140694874,"{""type"":""MultiPoint"",""coordinates"":[]}"
1343,718.5,607,688.1584781397938,"{""type"":""MultiPoint"",""coordinates"":[]}"
1344,694.0,699,710.8963647186148,"{""type"":""MultiPoint"",""coordinates"":[]}"
1345,624.0,654,628.189816158042,"{""type"":""MultiPoint"",""coordinates"":[]}"
1346,753.5,729,726.8892738095236,"{""type"":""MultiPoint"",""coordinates"":[]}"
1347,520.0,670,549.9466000111001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1348,607.6666666666666,619,646.8478095377797,"{""type"":""MultiPoint"",""coordinates"":[]}"
1350,772.0,776,777.1734087301587,"{""type"":""MultiPoint"",""coordinates"":[]}"
1353,465.5,419,481.8220992634815,"{""type"":""MultiPoint"",""coordinates"":[]}"
1355,568.6666666666666,415,522.2319257703083,"{""type"":""MultiPoint"",""coordinates"":[]}"
1358,681.0,797,700.2941904761906,"{""type"":""MultiPoint"",""coordinates"":[]}"
1360,573.0,523,541.6733891941391,"{""type"":""MultiPoint"",""coordinates"":[]}"
1362,670.0,650,658.4557993270154,"{""type"":""MultiPoint"",""coordinates"":[]}"
1363,694.0,703,696.3438692973692,"{""type"":""MultiPoint"",""coordinates"":[]}"
