system:index,cart_estimatefCOVER,estimatefCOVER,rf_estimatefCOVER,.geo
1295,754.0,754,773.4700764330697,"{""type"":""MultiPoint"",""coordinates"":[]}"
1296,727.5,678,700.5771111111112,"{""type"":""MultiPoint"",""coordinates"":[]}"
1297,784.3333333333334,772,766.4575479242978,"{""type"":""MultiPoint"",""coordinates"":[]}"
1299,316.5,445,375.7423896103896,"{""type"":""MultiPoint"",""coordinates"":[]}"
1300,772.0,803,774.4559642857145,"{""type"":""MultiPoint"",""coordinates"":[]}"
1301,843.6666666666666,836,836.6598333333338,"{""type"":""MultiPoint"",""coordinates"":[]}"
1304,529.3333333333334,612,590.8784297176254,"{""type"":""MultiPoint"",""coordinates"":[]}"
1306,339.5,361,412.83424494949503,"{""type"":""MultiPoint"",""coordinates"":[]}"
1307,740.0,772,763.1832678571428,"{""type"":""MultiPoint"",""coordinates"":[]}"
1308,567.0,654,579.9663619520577,"{""type"":""MultiPoint"",""coordinates"":[]}"
1310,244.0,216,263.5858333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1311,842.0,810,827.1290476190479,"{""type"":""MultiPoint"",""coordinates"":[]}"
1312,494.0,515,485.71234392057215,"{""type"":""MultiPoint"",""coordinates"":[]}"
1313,782.0,748,766.1866665140415,"{""type"":""MultiPoint"",""coordinates"":[]}"
1315,223.5,398,314.38076010101014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1316,450.3333333333333,541,479.7798994761277,"{""type"":""MultiPoint"",""coordinates"":[]}"
1317,742.6666666666666,713,725.960119047619,"{""type"":""MultiPoint"",""coordinates"":[]}"
1319,713.3333333333334,694,705.7995872044621,"{""type"":""MultiPoint"",""coordinates"":[]}"
1320,747.6666666666666,764,758.1778093711844,"{""type"":""MultiPoint"",""coordinates"":[]}"
1321,659.0,659,651.3450460526315,"{""type"":""MultiPoint"",""coordinates"":[]}"
1322,494.0,341,466.43861376184196,"{""type"":""MultiPoint"",""coordinates"":[]}"
