system:index,cart_estimatefAPAR,estimatefAPAR,rf_estimatefAPAR,.geo
1001,0.0,0,0.3533742095742827,"{""type"":""MultiPoint"",""coordinates"":[]}"
1002,587.6666666666666,576,595.3841666666668,"{""type"":""MultiPoint"",""coordinates"":[]}"
1003,0.0,0,0.3533742095742827,"{""type"":""MultiPoint"",""coordinates"":[]}"
1004,485.5,496,487.1010783538227,"{""type"":""MultiPoint"",""coordinates"":[]}"
1005,0.0,0,0.3533742095742827,"{""type"":""MultiPoint"",""coordinates"":[]}"
1006,0.0,0,0.3533742095742827,"{""type"":""MultiPoint"",""coordinates"":[]}"
1007,0.0,0,0.3533742095742827,"{""type"":""MultiPoint"",""coordinates"":[]}"
1008,0.0,0,0.3533742095742827,"{""type"":""MultiPoint"",""coordinates"":[]}"
1009,0.0,0,0.3533742095742827,"{""type"":""MultiPoint"",""coordinates"":[]}"
1010,648.5,664,668.568,"{""type"":""MultiPoint"",""coordinates"":[]}"
1011,450.0,422,436.2035000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1012,536.3333333333334,510,541.0107777777778,"{""type"":""MultiPoint"",""coordinates"":[]}"
1013,0.0,0,0.3533742095742827,"{""type"":""MultiPoint"",""coordinates"":[]}"
1014,341.0,395,355.56950000000006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1015,0.0,0,0.3533742095742827,"{""type"":""MultiPoint"",""coordinates"":[]}"
1016,0.0,0,0.3533742095742827,"{""type"":""MultiPoint"",""coordinates"":[]}"
1017,0.0,0,0.3533742095742827,"{""type"":""MultiPoint"",""coordinates"":[]}"
1018,0.0,0,0.3533742095742827,"{""type"":""MultiPoint"",""coordinates"":[]}"
1019,418.6666666666667,441,427.5987857142858,"{""type"":""MultiPoint"",""coordinates"":[]}"
1020,587.6666666666666,588,596.4258333333335,"{""type"":""MultiPoint"",""coordinates"":[]}"
1021,0.0,0,0.3533742095742827,"{""type"":""MultiPoint"",""coordinates"":[]}"
1022,722.0,701,692.4193333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
1023,0.0,0,0.3533742095742827,"{""type"":""MultiPoint"",""coordinates"":[]}"
1024,630.5,689,645.5383333333332,"{""type"":""MultiPoint"",""coordinates"":[]}"
1025,479.0,466,469.0446664087116,"{""type"":""MultiPoint"",""coordinates"":[]}"
1026,498.0,457,470.1053056599833,"{""type"":""MultiPoint"",""coordinates"":[]}"
1027,473.0,506,494.84163372859047,"{""type"":""MultiPoint"",""coordinates"":[]}"
1028,370.5,415,399.8475,"{""type"":""MultiPoint"",""coordinates"":[]}"
1029,621.5,582,596.9300000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1030,485.5,471,485.6177453812397,"{""type"":""MultiPoint"",""coordinates"":[]}"
1031,0.0,0,0.3533742095742827,"{""type"":""MultiPoint"",""coordinates"":[]}"
1032,631.0,653,642.9224999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1033,0.0,0,0.3533742095742827,"{""type"":""MultiPoint"",""coordinates"":[]}"
1034,412.5,413,390.45495238095236,"{""type"":""MultiPoint"",""coordinates"":[]}"
1035,594.0,621,589.5270555555555,"{""type"":""MultiPoint"",""coordinates"":[]}"
1036,0.0,0,0.3533742095742827,"{""type"":""MultiPoint"",""coordinates"":[]}"
1037,663.6666666666666,667,651.2426666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1038,527.0,554,535.8345714285716,"{""type"":""MultiPoint"",""coordinates"":[]}"
1039,580.3333333333334,558,598.1345,"{""type"":""MultiPoint"",""coordinates"":[]}"
1040,690.6666666666666,677,687.5065000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1041,460.3333333333333,361,414.0396666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
1042,340.5,345,406.8266666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
1043,483.0,440,452.6106666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1044,418.6666666666667,423,428.79183333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1045,612.6666666666666,626,630.9842619047618,"{""type"":""MultiPoint"",""coordinates"":[]}"
1046,444.5,412,448.7366666666668,"{""type"":""MultiPoint"",""coordinates"":[]}"
1047,515.5,556,546.5209285714285,"{""type"":""MultiPoint"",""coordinates"":[]}"
1048,538.5,556,527.8849761904762,"{""type"":""MultiPoint"",""coordinates"":[]}"
1049,890.0,946,843.5679999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1050,453.0,454,459.89207142857157,"{""type"":""MultiPoint"",""coordinates"":[]}"
1051,0.0,0,0.3533742095742827,"{""type"":""MultiPoint"",""coordinates"":[]}"
1052,502.0,537,503.88318434343427,"{""type"":""MultiPoint"",""coordinates"":[]}"
1053,489.5,514,490.7230952380953,"{""type"":""MultiPoint"",""coordinates"":[]}"
1054,511.0,552,434.1302619047619,"{""type"":""MultiPoint"",""coordinates"":[]}"
1055,676.6666666666666,659,697.7841666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1056,0.0,0,0.3533742095742827,"{""type"":""MultiPoint"",""coordinates"":[]}"
1057,531.0,549,553.0285395622897,"{""type"":""MultiPoint"",""coordinates"":[]}"
1058,504.5,518,548.6127142857142,"{""type"":""MultiPoint"",""coordinates"":[]}"
1059,571.3333333333334,552,570.1450634920632,"{""type"":""MultiPoint"",""coordinates"":[]}"
1060,0.0,0,0.3533742095742827,"{""type"":""MultiPoint"",""coordinates"":[]}"
1061,544.3333333333334,491,548.8675277777779,"{""type"":""MultiPoint"",""coordinates"":[]}"
1062,505.5,427,439.03799999999995,"{""type"":""MultiPoint"",""coordinates"":[]}"
1063,0.0,0,0.3533742095742827,"{""type"":""MultiPoint"",""coordinates"":[]}"
1064,518.0,539,535.4199841269842,"{""type"":""MultiPoint"",""coordinates"":[]}"
1065,0.0,0,0.3533742095742827,"{""type"":""MultiPoint"",""coordinates"":[]}"
1066,0.0,0,0.3533742095742827,"{""type"":""MultiPoint"",""coordinates"":[]}"
1067,0.0,0,0.3533742095742827,"{""type"":""MultiPoint"",""coordinates"":[]}"
1068,538.5,542,528.0638095238096,"{""type"":""MultiPoint"",""coordinates"":[]}"
1069,414.3333333333333,414,416.19473015873007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1070,556.0,499,512.4716666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1071,464.3333333333333,504,464.8347378372831,"{""type"":""MultiPoint"",""coordinates"":[]}"
1072,663.6666666666666,669,661.2941666666669,"{""type"":""MultiPoint"",""coordinates"":[]}"
1073,541.0,540,534.4861825396825,"{""type"":""MultiPoint"",""coordinates"":[]}"
1074,491.0,473,473.47804690811427,"{""type"":""MultiPoint"",""coordinates"":[]}"
1075,520.0,537,532.6166825396825,"{""type"":""MultiPoint"",""coordinates"":[]}"
1076,418.6666666666667,417,417.7186190476189,"{""type"":""MultiPoint"",""coordinates"":[]}"
1077,587.6666666666666,594,594.7725,"{""type"":""MultiPoint"",""coordinates"":[]}"
