system:index,cart_estimatefCOVER,estimatefCOVER,rf_estimatefCOVER,.geo
1426,572.75,579,566.2809894091378,"{""type"":""MultiPoint"",""coordinates"":[]}"
1430,506.0,500,509.23261883191486,"{""type"":""MultiPoint"",""coordinates"":[]}"
1431,687.0,671,658.5066667055854,"{""type"":""MultiPoint"",""coordinates"":[]}"
1432,560.6,532,531.8945888721959,"{""type"":""MultiPoint"",""coordinates"":[]}"
1434,658.5,614,653.2813482685198,"{""type"":""MultiPoint"",""coordinates"":[]}"
1435,486.6,519,491.0157172083977,"{""type"":""MultiPoint"",""coordinates"":[]}"
1436,641.0,627,618.6505712703796,"{""type"":""MultiPoint"",""coordinates"":[]}"
1438,567.0,511,540.1024507438502,"{""type"":""MultiPoint"",""coordinates"":[]}"
1439,727.5,744,735.9454204173416,"{""type"":""MultiPoint"",""coordinates"":[]}"
1441,564.5,502,546.2362040086367,"{""type"":""MultiPoint"",""coordinates"":[]}"
1442,489.5,476,434.2196582378954,"{""type"":""MultiPoint"",""coordinates"":[]}"
1443,572.0,608,584.2556424466346,"{""type"":""MultiPoint"",""coordinates"":[]}"
1444,445.2857142857143,462,466.03697532710385,"{""type"":""MultiPoint"",""coordinates"":[]}"
1445,495.0,426,525.9399108965782,"{""type"":""MultiPoint"",""coordinates"":[]}"
1446,524.8,522,528.287387817379,"{""type"":""MultiPoint"",""coordinates"":[]}"
1448,559.0,542,546.2030954802646,"{""type"":""MultiPoint"",""coordinates"":[]}"
1451,665.5,665,640.8395359886455,"{""type"":""MultiPoint"",""coordinates"":[]}"
1452,502.5,503,507.67975887541905,"{""type"":""MultiPoint"",""coordinates"":[]}"
1455,496.8333333333333,451,506.6513247215347,"{""type"":""MultiPoint"",""coordinates"":[]}"
1457,459.25,487,489.25403323297127,"{""type"":""MultiPoint"",""coordinates"":[]}"
1458,517.6666666666666,511,509.94095998103097,"{""type"":""MultiPoint"",""coordinates"":[]}"
1463,492.25,495,505.31027951429115,"{""type"":""MultiPoint"",""coordinates"":[]}"
1464,613.3333333333334,592,592.8917740236951,"{""type"":""MultiPoint"",""coordinates"":[]}"
1465,572.75,563,566.2809894091378,"{""type"":""MultiPoint"",""coordinates"":[]}"
1467,792.0,767,778.0825265160665,"{""type"":""MultiPoint"",""coordinates"":[]}"
1468,689.5,702,643.2004626613983,"{""type"":""MultiPoint"",""coordinates"":[]}"
1469,568.6,535,561.9659666986591,"{""type"":""MultiPoint"",""coordinates"":[]}"
1470,459.25,515,489.25403323297127,"{""type"":""MultiPoint"",""coordinates"":[]}"
1472,432.6,381,454.7269873914232,"{""type"":""MultiPoint"",""coordinates"":[]}"
1474,506.0,405,509.23261883191486,"{""type"":""MultiPoint"",""coordinates"":[]}"
1475,570.5,552,619.4054052073715,"{""type"":""MultiPoint"",""coordinates"":[]}"
1478,432.6,446,454.7269873914232,"{""type"":""MultiPoint"",""coordinates"":[]}"
1481,652.6,586,614.3752092480582,"{""type"":""MultiPoint"",""coordinates"":[]}"
1482,541.6666666666666,525,530.6534839913064,"{""type"":""MultiPoint"",""coordinates"":[]}"
1483,434.4,501,463.11344256626086,"{""type"":""MultiPoint"",""coordinates"":[]}"
1484,576.0,611,566.5348329775214,"{""type"":""MultiPoint"",""coordinates"":[]}"
1485,575.8333333333334,582,576.9787546078652,"{""type"":""MultiPoint"",""coordinates"":[]}"
1486,452.0,447,465.8472992731529,"{""type"":""MultiPoint"",""coordinates"":[]}"
1487,493.0,502,508.22307355113975,"{""type"":""MultiPoint"",""coordinates"":[]}"
1490,584.3333333333334,595,573.1802306480809,"{""type"":""MultiPoint"",""coordinates"":[]}"
1491,560.25,576,556.7740182125503,"{""type"":""MultiPoint"",""coordinates"":[]}"
1492,572.0,598,584.2556424466346,"{""type"":""MultiPoint"",""coordinates"":[]}"
1494,415.0,484,505.09724034046803,"{""type"":""MultiPoint"",""coordinates"":[]}"
1496,436.0,412,465.8214773736792,"{""type"":""MultiPoint"",""coordinates"":[]}"
1497,511.1,476,511.49071429060007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1498,559.0,483,546.2030954802646,"{""type"":""MultiPoint"",""coordinates"":[]}"
1500,665.5,717,652.7568006289616,"{""type"":""MultiPoint"",""coordinates"":[]}"
1504,559.0,493,546.2030954802646,"{""type"":""MultiPoint"",""coordinates"":[]}"
1505,568.6,492,561.9659666986591,"{""type"":""MultiPoint"",""coordinates"":[]}"
