system:index,EVI2,GNDVI,GVI,NDVI,RDVI,estimateLAI,.geo
0_40,1.3331814038286236,0.617191404297851,3.224543080939948,0.6603386351975372,29.15228676277781,0.925,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_50,1.125500388361116,0.5772044666923373,2.7304189435336976,0.582078022402472,29.61742020771771,0.89,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_55,1.1608491691182317,0.5813953488372093,2.7777777777777777,0.5959183673469388,26.382430764833337,0.68,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_126,1.0333796940194715,0.47478991596638653,1.8079999999999998,0.5451210564930301,28.461375405075607,1.227,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_131,1.089670713386658,0.5227331107115335,2.1905274488697524,0.5678391959798995,34.91633935235543,1.301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_149,1.012054527019415,0.5159548355424645,2.13184584178499,0.536318407960199,34.00444805554398,1.089,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_197,1.0928503549667392,0.5231367008124338,2.194074074074074,0.5691411935953421,29.835160914315765,1.265,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_231,1.1725202121185778,0.571584699453552,2.6683673469387754,0.6004451864218141,25.453493987056817,0.662,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_248,1.243190766409579,0.5583061889250814,2.528023598820059,0.6272108843537415,34.00848233526894,1.284,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_283,1.2100687424181158,0.5426889106967615,2.3733905579399144,0.6147919876733436,27.127587604595295,1.256,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_287,0.9295302013422818,0.5775451950523312,2.734234234234234,0.5018115942028986,16.673440652379035,0.92,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_297,1.0687877018875267,0.555499110998222,2.4994285714285716,0.5594601476954418,35.05900661009786,1.3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_333,1.124849057594372,0.5298752462245568,2.2541899441340782,0.581805838424983,31.578714461808303,1.25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_339,1.1433410967605335,0.5428067078552515,2.3745173745173744,0.5890909090909091,27.63081283968711,0.841,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_350,1.3449725185903652,0.6086453106908529,3.110453648915187,0.6645367412140575,33.25340790626115,1.058,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_373,1.276201482426078,0.5895450145208132,2.8726415094339623,0.6395406889665501,28.622571906908554,1.288,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_401,0.9952147188647333,0.507434441741011,2.0603732162458837,0.5293472298409215,31.96310613180419,1.004,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_426,0.9491867245385593,0.4643061107938321,1.7334754797441363,0.5100117785630153,29.721043058263326,1.183,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_429,0.9524452850580925,0.5006002400960384,2.0048076923076925,0.5114873035066505,20.801881135287413,0.558,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_435,1.2321224736453367,0.5481781376518219,2.4265232974910393,0.6230899830220713,30.24394311389308,1.264,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_453,1.120536481916662,0.5318230852211435,2.271889400921659,0.5801186943620178,30.121514536659603,1.252,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_464,0.9839982816946786,0.4786532454009025,1.8362183754993344,0.5246957766642806,27.734527372750296,1.099,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_480,1.0225870741197685,0.5465994962216625,2.411111111111111,0.5407779171894604,21.590520248880406,0.543,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_485,0.9792976371125082,0.5822061917643523,2.78705035971223,0.5227075498987561,30.73324816330113,1.185,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_499,1.0098089608498244,0.5469107551487414,2.414141414141414,0.5354911981828506,22.47149749986476,0.977,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_507,0.889982957773149,0.47013782542113325,1.7745664739884393,0.4845360824742268,30.18158105619297,1.066,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_515,1.0437235543018337,0.5034731155132492,2.027979274611399,0.5493107104984093,33.73680174753831,1.271,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_521,1.1020521534540226,0.50814332247557,2.066225165562914,0.5728237791932059,27.79818839657784,1.191,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_531,1.0153003400075558,0.5257001063452676,2.216741405082212,0.5376920328688818,28.446906852374426,1.029,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_625,1.2843898520650645,0.5689724110355857,2.640074211502783,0.6425282544997907,31.405108989735712,1.308,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_662,1.0980548742228053,0.5336712527154236,2.2888198757763973,0.5712166172106825,29.659291807196794,1.273,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_665,1.0875034306101914,0.568019093078759,2.6298342541436464,0.5670840787119857,23.22276811353673,0.586,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_683,0.9956054465139579,0.48457243608580663,1.880273660205245,0.5295186194368756,30.432352281660638,1.23,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_686,0.9720128385935902,0.5006418485237484,2.005141388174807,0.5196620084497887,28.826022124310047,1.288,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_693,1.1026122741098587,0.5320754716981132,2.274193548387097,0.5730337078651685,29.112142723141908,0.861,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_727,0.8454354712634221,0.443701226309922,1.5951903807615229,0.4649321266968326,27.64685183324844,1.018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_739,1.093175581214726,0.5391735537190082,2.340028694404591,0.5692618806875632,31.00779444722398,1.149,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_741,1.154337361233913,0.5844318895166353,2.812688821752266,0.5934343434343434,23.618388658591485,1.041,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_749,0.8655899876344287,0.4746023601847101,1.806640625,0.47384615384615386,29.591682823180104,1.057,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_756,1.1983451973745032,0.6266349583828775,3.356687898089172,0.6103590347263096,25.15834491796277,1.172,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_785,1.0681501727605591,0.5112855740922473,2.0923694779116464,0.5592305096186297,30.440843523760467,1.286,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_788,1.1310932323710363,0.6240601503759399,3.3200000000000003,0.5843520782396088,23.63557883355231,1.032,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_804,0.9280035120238038,0.45454545454545453,1.6666666666666665,0.500987491770902,27.613456184898563,1.23,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_812,0.6874020941545057,0.42908871454435726,1.5031712473572938,0.3921222810111699,16.17237030971188,0.449,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_827,0.9652509652509653,0.5023126734505088,2.0185873605947955,0.5168119551681195,29.2900639394843,0.856,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_839,1.2652705061082024,0.635524798154556,3.4873417721518987,0.635524798154556,26.464095064186886,1.207,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_843,0.5997371015445284,0.41566265060240964,1.4226804123711339,0.3492822966507177,15.96797033298296,0.504,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_881,1.186693778992184,0.5456674473067916,2.402061855670103,0.6058394160583942,30.085280247842814,1.304,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_898,0.8122301838088033,0.40417910447761196,1.3567134268537075,0.45006165228113443,25.63376703355276,1.139,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_913,1.1162244844137348,0.5272727272727272,2.230769230769231,0.5784079262043047,31.29288447976453,1.284,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_915,0.9490447084150232,0.45981028457314027,1.7024029574861368,0.5099406145107153,31.735354317522006,1.211,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_917,1.1270179713676516,0.5325962638200534,2.278955954323002,0.5826771653543307,29.366004234904167,1.175,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_923,1.1990323843615414,0.6320346320346321,3.435294117647059,0.6105375578497686,32.35849056603774,1.218,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_930,0.9867057499851959,0.4888375673595073,1.9126506024096384,0.5258382642998027,26.475316925612752,1.199,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_967,1.4311483960705904,0.6263291139240507,3.3523035230352303,0.6949868073878628,30.253886119469268,1.225,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_982,1.1229925266338052,0.5352862849533955,2.303724928366762,0.5810764484058965,31.383508090205506,1.188,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_993,1.0873780133135138,0.5183673469387755,2.152542372881356,0.5669755686604886,27.62515367227878,1.216,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_997,1.202193011427439,0.5442834138486312,2.3886925795053005,0.611764705882353,29.845090245544675,1.276,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1012,1.3151382309269604,0.6336805555555556,3.459715639810427,0.6537785588752196,31.1901025263837,1.044,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1032,0.905748363375482,0.5637755102040817,2.584795321637427,0.49148418491484186,19.927850396146397,1.126,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1034,1.0634992373312242,0.5044690740078656,2.036075036075036,0.5573649148778682,28.972255034878966,1.256,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1045,0.762850511737625,0.4374664519592056,1.5553435114503817,0.4275053304904051,26.186228252778402,0.917,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1115,1.0018100169545892,0.4820482636845203,1.8613636363636363,0.5320961362944935,30.50632954616253,1.117,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1122,1.007750821183657,0.49016697588126157,1.922852983988355,0.534581581964081,27.347388050191363,1.15,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1131,1.147286214281983,0.5514754098360656,2.4590643274853803,0.5905882352941176,32.21278518557134,1.311,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1159,1.0507591114052868,0.5232,2.1946308724832213,0.5521739130434783,33.49652804850598,1.229,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1190,1.1162565662150954,0.5672791938352104,2.621917808219178,0.5785074626865672,23.676438316251954,0.688,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1225,1.1374420811701,0.5401816911250874,2.349544072948328,0.5867530597552196,30.925838507646123,1.232,"{""type"":""MultiPoint"",""coordinates"":[]}"
