system:index,cart_estimatefAPAR,estimatefAPAR,rf_estimatefAPAR,.geo
1289,480.0,524,501.85074492952305,"{""type"":""MultiPoint"",""coordinates"":[]}"
1293,412.0,383,409.1233492927389,"{""type"":""MultiPoint"",""coordinates"":[]}"
1295,405.14285714285717,423,408.15217592226736,"{""type"":""MultiPoint"",""coordinates"":[]}"
1298,407.5,446,396.6380277074253,"{""type"":""MultiPoint"",""coordinates"":[]}"
1300,403.0,424,414.16930307965674,"{""type"":""MultiPoint"",""coordinates"":[]}"
1301,369.625,385,373.16515830754184,"{""type"":""MultiPoint"",""coordinates"":[]}"
1302,416.5,383,420.29163146224784,"{""type"":""MultiPoint"",""coordinates"":[]}"
1303,366.57142857142856,355,381.142885692567,"{""type"":""MultiPoint"",""coordinates"":[]}"
1304,369.625,365,373.16515830754184,"{""type"":""MultiPoint"",""coordinates"":[]}"
1305,379.0,399,369.5953666621663,"{""type"":""MultiPoint"",""coordinates"":[]}"
1307,269.5,271,335.9420401905025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1308,269.5,343,335.9420401905025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1309,377.75,391,376.0887428746603,"{""type"":""MultiPoint"",""coordinates"":[]}"
1310,329.0,330,359.8261556906881,"{""type"":""MultiPoint"",""coordinates"":[]}"
1311,485.5,473,496.8797167768402,"{""type"":""MultiPoint"",""coordinates"":[]}"
1312,436.875,424,437.28962394033204,"{""type"":""MultiPoint"",""coordinates"":[]}"
1313,412.0,384,409.1233492927389,"{""type"":""MultiPoint"",""coordinates"":[]}"
1314,372.3333333333333,351,372.5024042755143,"{""type"":""MultiPoint"",""coordinates"":[]}"
1315,412.0,457,409.1233492927389,"{""type"":""MultiPoint"",""coordinates"":[]}"
1317,412.0,383,416.2092534762591,"{""type"":""MultiPoint"",""coordinates"":[]}"
1318,558.6666666666666,560,546.5883370508014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1319,407.5,391,396.6380277074253,"{""type"":""MultiPoint"",""coordinates"":[]}"
1321,437.5,453,424.2427154710962,"{""type"":""MultiPoint"",""coordinates"":[]}"
1322,363.6,395,374.5837793398678,"{""type"":""MultiPoint"",""coordinates"":[]}"
1324,379.4,430,395.4688626395454,"{""type"":""MultiPoint"",""coordinates"":[]}"
1326,374.3333333333333,443,391.1629575909047,"{""type"":""MultiPoint"",""coordinates"":[]}"
1327,449.6,455,422.44967729436974,"{""type"":""MultiPoint"",""coordinates"":[]}"
1328,379.4,362,383.2127392127069,"{""type"":""MultiPoint"",""coordinates"":[]}"
1329,421.75,424,417.99440692946877,"{""type"":""MultiPoint"",""coordinates"":[]}"
1332,370.0,371,372.1005722028127,"{""type"":""MultiPoint"",""coordinates"":[]}"
1333,389.09090909090907,374,386.28702967848557,"{""type"":""MultiPoint"",""coordinates"":[]}"
1335,421.14285714285717,417,428.08054324265976,"{""type"":""MultiPoint"",""coordinates"":[]}"
1336,361.625,352,376.6006527342021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1337,434.25,445,430.56634340110946,"{""type"":""MultiPoint"",""coordinates"":[]}"
1339,270.0,295,313.69225196055186,"{""type"":""MultiPoint"",""coordinates"":[]}"
1340,325.5,335,339.2040865807658,"{""type"":""MultiPoint"",""coordinates"":[]}"
1342,434.25,439,430.56634340110946,"{""type"":""MultiPoint"",""coordinates"":[]}"
1343,373.5,407,404.69722806169096,"{""type"":""MultiPoint"",""coordinates"":[]}"
1344,353.5,276,367.4447469892222,"{""type"":""MultiPoint"",""coordinates"":[]}"
1345,391.3333333333333,399,383.9931091956298,"{""type"":""MultiPoint"",""coordinates"":[]}"
1347,344.5,309,349.42884619125556,"{""type"":""MultiPoint"",""coordinates"":[]}"
1348,563.3333333333334,585,528.3197594983972,"{""type"":""MultiPoint"",""coordinates"":[]}"
1349,412.0,451,418.01912275348093,"{""type"":""MultiPoint"",""coordinates"":[]}"
1350,376.5,342,349.62414915705847,"{""type"":""MultiPoint"",""coordinates"":[]}"
1351,404.75,425,427.99637115839573,"{""type"":""MultiPoint"",""coordinates"":[]}"
1353,117.66666666666667,275,243.4280301082063,"{""type"":""MultiPoint"",""coordinates"":[]}"
1354,421.14285714285717,430,428.0445017982679,"{""type"":""MultiPoint"",""coordinates"":[]}"
1355,492.3333333333333,476,472.7779634688562,"{""type"":""MultiPoint"",""coordinates"":[]}"
1356,376.5,348,332.6142336535197,"{""type"":""MultiPoint"",""coordinates"":[]}"
1357,405.5,405,400.8871798846368,"{""type"":""MultiPoint"",""coordinates"":[]}"
1359,454.75,462,449.43957282735295,"{""type"":""MultiPoint"",""coordinates"":[]}"
1360,392.8,412,378.98696971654647,"{""type"":""MultiPoint"",""coordinates"":[]}"
1361,428.8,459,446.13974427028916,"{""type"":""MultiPoint"",""coordinates"":[]}"
1362,359.0,251,375.7050437065425,"{""type"":""MultiPoint"",""coordinates"":[]}"
1363,35.666666666666664,208,53.95296934090059,"{""type"":""MultiPoint"",""coordinates"":[]}"
1364,434.25,464,430.56634340110946,"{""type"":""MultiPoint"",""coordinates"":[]}"
1365,642.6666666666666,631,581.448121272327,"{""type"":""MultiPoint"",""coordinates"":[]}"
1366,407.5,387,396.6380277074253,"{""type"":""MultiPoint"",""coordinates"":[]}"
1367,468.7142857142857,376,468.1065984537969,"{""type"":""MultiPoint"",""coordinates"":[]}"
1369,423.75,441,417.26396558219824,"{""type"":""MultiPoint"",""coordinates"":[]}"
1372,436.90909090909093,435,435.99703117730604,"{""type"":""MultiPoint"",""coordinates"":[]}"
1374,360.0,367,376.1568794891976,"{""type"":""MultiPoint"",""coordinates"":[]}"
1375,355.75,301,373.82231221834553,"{""type"":""MultiPoint"",""coordinates"":[]}"
1376,392.8,312,378.98696971654647,"{""type"":""MultiPoint"",""coordinates"":[]}"
1377,342.375,367,352.03045340229124,"{""type"":""MultiPoint"",""coordinates"":[]}"
1378,472.5,458,455.65464199336805,"{""type"":""MultiPoint"",""coordinates"":[]}"
1380,484.6666666666667,516,472.3879262466346,"{""type"":""MultiPoint"",""coordinates"":[]}"
1381,382.5,392,399.65002959120693,"{""type"":""MultiPoint"",""coordinates"":[]}"
1382,530.3333333333334,497,507.2655285383607,"{""type"":""MultiPoint"",""coordinates"":[]}"
1383,398.875,402,386.08720734654094,"{""type"":""MultiPoint"",""coordinates"":[]}"
1385,355.75,376,373.82231221834553,"{""type"":""MultiPoint"",""coordinates"":[]}"
1386,485.75,493,484.37249635950883,"{""type"":""MultiPoint"",""coordinates"":[]}"
1387,558.6666666666666,610,565.2457392376949,"{""type"":""MultiPoint"",""coordinates"":[]}"
1388,436.875,447,437.28962394033204,"{""type"":""MultiPoint"",""coordinates"":[]}"
1389,527.6666666666666,500,501.0136213524245,"{""type"":""MultiPoint"",""coordinates"":[]}"
1390,398.875,406,380.8615421490476,"{""type"":""MultiPoint"",""coordinates"":[]}"
1391,412.0,368,409.1233492927389,"{""type"":""MultiPoint"",""coordinates"":[]}"
1393,477.0,460,452.2656089419734,"{""type"":""MultiPoint"",""coordinates"":[]}"
1394,344.5,322,350.57967952458887,"{""type"":""MultiPoint"",""coordinates"":[]}"
1395,421.14285714285717,459,428.08054324265976,"{""type"":""MultiPoint"",""coordinates"":[]}"
1396,427.7142857142857,437,405.7819400187676,"{""type"":""MultiPoint"",""coordinates"":[]}"
1397,379.0,354,370.63937509499084,"{""type"":""MultiPoint"",""coordinates"":[]}"
1398,342.5,383,328.58015032018636,"{""type"":""MultiPoint"",""coordinates"":[]}"
1400,390.5,390,385.67597359360036,"{""type"":""MultiPoint"",""coordinates"":[]}"
1401,423.75,417,417.26396558219824,"{""type"":""MultiPoint"",""coordinates"":[]}"
1402,421.75,434,417.99440692946877,"{""type"":""MultiPoint"",""coordinates"":[]}"
1403,342.5,315,342.1598259863268,"{""type"":""MultiPoint"",""coordinates"":[]}"
1404,398.875,398,387.55533418131796,"{""type"":""MultiPoint"",""coordinates"":[]}"
1405,395.75,384,392.59292792634034,"{""type"":""MultiPoint"",""coordinates"":[]}"
1406,524.6666666666666,497,488.79296922152537,"{""type"":""MultiPoint"",""coordinates"":[]}"
1407,416.5,411,424.62666057107003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1410,595.3333333333334,566,544.7690188246434,"{""type"":""MultiPoint"",""coordinates"":[]}"
1411,377.5,346,392.3312115900789,"{""type"":""MultiPoint"",""coordinates"":[]}"
1413,370.0,384,372.1005722028127,"{""type"":""MultiPoint"",""coordinates"":[]}"
1414,353.5,329,367.4447469892222,"{""type"":""MultiPoint"",""coordinates"":[]}"
1415,361.0,418,388.92259966233655,"{""type"":""MultiPoint"",""coordinates"":[]}"
1416,339.6666666666667,307,367.00158770554515,"{""type"":""MultiPoint"",""coordinates"":[]}"
1417,589.3333333333334,571,556.8434786633803,"{""type"":""MultiPoint"",""coordinates"":[]}"
1419,407.14285714285717,395,395.4309221775277,"{""type"":""MultiPoint"",""coordinates"":[]}"
1420,299.3333333333333,283,291.3575980864666,"{""type"":""MultiPoint"",""coordinates"":[]}"
1421,434.25,438,430.56634340110946,"{""type"":""MultiPoint"",""coordinates"":[]}"
1422,225.0,322,268.2106652558559,"{""type"":""MultiPoint"",""coordinates"":[]}"
1423,361.625,342,376.6006527342021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1425,395.75,467,392.59292792634034,"{""type"":""MultiPoint"",""coordinates"":[]}"
1426,327.0,231,348.0713601415331,"{""type"":""MultiPoint"",""coordinates"":[]}"
1427,449.6,425,422.44967729436974,"{""type"":""MultiPoint"",""coordinates"":[]}"
1428,377.5,389,392.3312115900789,"{""type"":""MultiPoint"",""coordinates"":[]}"
1429,349.5,363,366.43514954515194,"{""type"":""MultiPoint"",""coordinates"":[]}"
1431,453.5,440,443.31857918355644,"{""type"":""MultiPoint"",""coordinates"":[]}"
1434,388.5,372,392.3512041968534,"{""type"":""MultiPoint"",""coordinates"":[]}"
1435,370.0,372,372.1005722028127,"{""type"":""MultiPoint"",""coordinates"":[]}"
1436,595.3333333333334,556,545.1651577673998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1437,456.5,490,450.79853501951897,"{""type"":""MultiPoint"",""coordinates"":[]}"
1438,405.14285714285717,412,408.15217592226736,"{""type"":""MultiPoint"",""coordinates"":[]}"
1439,342.375,355,352.03045340229124,"{""type"":""MultiPoint"",""coordinates"":[]}"
1440,368.75,355,373.62174022551926,"{""type"":""MultiPoint"",""coordinates"":[]}"
1442,496.5,474,483.5148736271855,"{""type"":""MultiPoint"",""coordinates"":[]}"
1443,299.3333333333333,213,302.90670382373753,"{""type"":""MultiPoint"",""coordinates"":[]}"
1444,522.5,481,509.67137786307643,"{""type"":""MultiPoint"",""coordinates"":[]}"
1445,627.0,629,573.2752110159166,"{""type"":""MultiPoint"",""coordinates"":[]}"
1447,251.0,219,283.9493581740488,"{""type"":""MultiPoint"",""coordinates"":[]}"
1448,370.0,344,372.1005722028127,"{""type"":""MultiPoint"",""coordinates"":[]}"
1449,485.75,472,484.37249635950883,"{""type"":""MultiPoint"",""coordinates"":[]}"
1450,335.6666666666667,371,353.12454542104643,"{""type"":""MultiPoint"",""coordinates"":[]}"
1452,387.6666666666667,359,392.11118889901104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1454,339.2,389,363.97434385268866,"{""type"":""MultiPoint"",""coordinates"":[]}"
1455,586.5,616,561.9318711100141,"{""type"":""MultiPoint"",""coordinates"":[]}"
1456,477.6666666666667,430,470.71733742451494,"{""type"":""MultiPoint"",""coordinates"":[]}"
1457,190.66666666666666,218,150.15288811540225,"{""type"":""MultiPoint"",""coordinates"":[]}"
1458,520.6666666666666,490,478.4750707360584,"{""type"":""MultiPoint"",""coordinates"":[]}"
1459,363.6,289,374.5837793398678,"{""type"":""MultiPoint"",""coordinates"":[]}"
1460,382.875,383,382.86869217076776,"{""type"":""MultiPoint"",""coordinates"":[]}"
1462,436.875,428,437.28962394033204,"{""type"":""MultiPoint"",""coordinates"":[]}"
1463,372.3333333333333,371,372.5024042755143,"{""type"":""MultiPoint"",""coordinates"":[]}"
1465,363.6,372,374.5837793398678,"{""type"":""MultiPoint"",""coordinates"":[]}"
1466,490.5,529,479.5904884249076,"{""type"":""MultiPoint"",""coordinates"":[]}"
1467,421.75,394,417.99440692946877,"{""type"":""MultiPoint"",""coordinates"":[]}"
1468,421.14285714285717,458,428.0445017982679,"{""type"":""MultiPoint"",""coordinates"":[]}"
1469,506.5,544,477.8300077578377,"{""type"":""MultiPoint"",""coordinates"":[]}"
1470,327.0,354,348.37569347486635,"{""type"":""MultiPoint"",""coordinates"":[]}"
1472,700.0,719,621.1752028134862,"{""type"":""MultiPoint"",""coordinates"":[]}"
1474,421.14285714285717,411,428.0445017982679,"{""type"":""MultiPoint"",""coordinates"":[]}"
1475,360.0,387,376.1568794891976,"{""type"":""MultiPoint"",""coordinates"":[]}"
1476,436.875,484,437.28962394033204,"{""type"":""MultiPoint"",""coordinates"":[]}"
1477,474.0,477,495.5191246815434,"{""type"":""MultiPoint"",""coordinates"":[]}"
1478,642.6666666666666,636,579.6883776825833,"{""type"":""MultiPoint"",""coordinates"":[]}"
1480,380.75,474,390.04050598495235,"{""type"":""MultiPoint"",""coordinates"":[]}"
1481,513.3333333333334,473,492.66170988713765,"{""type"":""MultiPoint"",""coordinates"":[]}"
1482,477.6666666666667,488,470.71733742451494,"{""type"":""MultiPoint"",""coordinates"":[]}"
1485,429.25,445,445.8431957240422,"{""type"":""MultiPoint"",""coordinates"":[]}"
1486,379.4,393,383.2127392127069,"{""type"":""MultiPoint"",""coordinates"":[]}"
1487,349.5,339,366.43514954515194,"{""type"":""MultiPoint"",""coordinates"":[]}"
1488,424.57142857142856,433,411.62258393209356,"{""type"":""MultiPoint"",""coordinates"":[]}"
