system:index,cart_estimatefCOVER,estimatefCOVER,rf_estimatefCOVER,.geo
1289,567.0,537,513.512032051282,"{""type"":""MultiPoint"",""coordinates"":[]}"
1293,411.0,376,400.40994621971595,"{""type"":""MultiPoint"",""coordinates"":[]}"
1295,395.3333333333333,417,399.34341746541645,"{""type"":""MultiPoint"",""coordinates"":[]}"
1298,387.0,451,408.4640445942945,"{""type"":""MultiPoint"",""coordinates"":[]}"
1300,420.6666666666667,420,404.7769559246416,"{""type"":""MultiPoint"",""coordinates"":[]}"
1301,406.0,380,359.2901109950615,"{""type"":""MultiPoint"",""coordinates"":[]}"
1302,408.0,374,399.64158071408883,"{""type"":""MultiPoint"",""coordinates"":[]}"
1303,375.3333333333333,347,366.1056364979055,"{""type"":""MultiPoint"",""coordinates"":[]}"
1304,299.0,359,342.93551178871223,"{""type"":""MultiPoint"",""coordinates"":[]}"
1305,413.5,393,385.58565567765567,"{""type"":""MultiPoint"",""coordinates"":[]}"
1307,260.5,262,297.81096890547275,"{""type"":""MultiPoint"",""coordinates"":[]}"
1308,260.5,334,296.5851117626155,"{""type"":""MultiPoint"",""coordinates"":[]}"
1309,353.0,384,355.20542990444096,"{""type"":""MultiPoint"",""coordinates"":[]}"
1310,320.3333333333333,322,349.91723263792943,"{""type"":""MultiPoint"",""coordinates"":[]}"
1311,485.0,469,510.4361153846154,"{""type"":""MultiPoint"",""coordinates"":[]}"
1312,448.5,418,434.5521161883577,"{""type"":""MultiPoint"",""coordinates"":[]}"
1313,411.0,377,401.0749462197159,"{""type"":""MultiPoint"",""coordinates"":[]}"
1314,377.0,344,366.70730105500166,"{""type"":""MultiPoint"",""coordinates"":[]}"
1315,395.3333333333333,453,400.8521128863826,"{""type"":""MultiPoint"",""coordinates"":[]}"
1317,378.5,376,410.7820454702303,"{""type"":""MultiPoint"",""coordinates"":[]}"
1318,589.5,568,571.2186117216119,"{""type"":""MultiPoint"",""coordinates"":[]}"
1319,392.5,390,401.8227808857808,"{""type"":""MultiPoint"",""coordinates"":[]}"
1321,390.0,455,435.0764722222222,"{""type"":""MultiPoint"",""coordinates"":[]}"
1322,332.0,389,369.7213913129354,"{""type"":""MultiPoint"",""coordinates"":[]}"
1324,365.3333333333333,424,377.27476380948275,"{""type"":""MultiPoint"",""coordinates"":[]}"
1326,409.5,441,399.7367394957313,"{""type"":""MultiPoint"",""coordinates"":[]}"
1327,491.0,460,446.29664194139195,"{""type"":""MultiPoint"",""coordinates"":[]}"
1328,354.6666666666667,353,363.2864746319937,"{""type"":""MultiPoint"",""coordinates"":[]}"
1329,388.0,420,408.22465061327557,"{""type"":""MultiPoint"",""coordinates"":[]}"
1332,350.5,365,357.10781903701957,"{""type"":""MultiPoint"",""coordinates"":[]}"
1333,364.5,368,372.22994213154095,"{""type"":""MultiPoint"",""coordinates"":[]}"
1335,409.3333333333333,412,422.7793287094051,"{""type"":""MultiPoint"",""coordinates"":[]}"
1336,355.5,343,349.6460581007115,"{""type"":""MultiPoint"",""coordinates"":[]}"
1337,421.5,441,421.70853664036287,"{""type"":""MultiPoint"",""coordinates"":[]}"
1339,230.0,287,269.51563019823317,"{""type"":""MultiPoint"",""coordinates"":[]}"
1340,316.5,330,295.32683286647983,"{""type"":""MultiPoint"",""coordinates"":[]}"
1342,399.0,438,417.34582235464865,"{""type"":""MultiPoint"",""coordinates"":[]}"
1343,397.5,400,389.726671679198,"{""type"":""MultiPoint"",""coordinates"":[]}"
1344,369.0,270,351.89861690581745,"{""type"":""MultiPoint"",""coordinates"":[]}"
1345,377.5,391,370.8239745335414,"{""type"":""MultiPoint"",""coordinates"":[]}"
1347,333.6666666666667,304,328.88942309017676,"{""type"":""MultiPoint"",""coordinates"":[]}"
1348,584.5,596,557.4453809523811,"{""type"":""MultiPoint"",""coordinates"":[]}"
1349,414.0,447,409.2969074770259,"{""type"":""MultiPoint"",""coordinates"":[]}"
1350,301.5,334,331.18248290598297,"{""type"":""MultiPoint"",""coordinates"":[]}"
1351,456.3333333333333,427,418.5046398913953,"{""type"":""MultiPoint"",""coordinates"":[]}"
1353,122.0,265,191.32875274725274,"{""type"":""MultiPoint"",""coordinates"":[]}"
1354,464.5,424,422.72225805671764,"{""type"":""MultiPoint"",""coordinates"":[]}"
1355,466.3333333333333,473,493.5445331890332,"{""type"":""MultiPoint"",""coordinates"":[]}"
1356,370.0,338,348.05421428571424,"{""type"":""MultiPoint"",""coordinates"":[]}"
1357,399.3333333333333,402,417.808271090021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1359,439.5,466,445.58312198067614,"{""type"":""MultiPoint"",""coordinates"":[]}"
1360,413.5,412,398.6543484570985,"{""type"":""MultiPoint"",""coordinates"":[]}"
1361,439.5,457,441.7847680845723,"{""type"":""MultiPoint"",""coordinates"":[]}"
1362,340.5,246,349.21383798603085,"{""type"":""MultiPoint"",""coordinates"":[]}"
1363,93.0,204,67.24784523809524,"{""type"":""MultiPoint"",""coordinates"":[]}"
1364,421.5,462,421.7967314455577,"{""type"":""MultiPoint"",""coordinates"":[]}"
1365,653.0,651,659.7208974358975,"{""type"":""MultiPoint"",""coordinates"":[]}"
1366,392.5,381,401.8227808857808,"{""type"":""MultiPoint"",""coordinates"":[]}"
1367,481.5,369,469.92119001395025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1369,414.0,436,412.76548666173005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1372,450.5,432,435.0775404307819,"{""type"":""MultiPoint"",""coordinates"":[]}"
1374,344.3333333333333,360,350.64426841817186,"{""type"":""MultiPoint"",""coordinates"":[]}"
1375,360.3333333333333,294,360.61401831383483,"{""type"":""MultiPoint"",""coordinates"":[]}"
1376,369.3333333333333,305,376.7666512654013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1377,311.0,363,316.3311445547916,"{""type"":""MultiPoint"",""coordinates"":[]}"
1378,398.0,456,459.107365079365,"{""type"":""MultiPoint"",""coordinates"":[]}"
1380,476.6666666666667,519,490.11060990806595,"{""type"":""MultiPoint"",""coordinates"":[]}"
1381,398.0,384,383.92021531829573,"{""type"":""MultiPoint"",""coordinates"":[]}"
1382,497.0,503,522.0393534798535,"{""type"":""MultiPoint"",""coordinates"":[]}"
1383,406.0,396,393.7573270895771,"{""type"":""MultiPoint"",""coordinates"":[]}"
1385,360.3333333333333,369,363.7488516471682,"{""type"":""MultiPoint"",""coordinates"":[]}"
1386,456.5,491,484.20517274392296,"{""type"":""MultiPoint"",""coordinates"":[]}"
1387,589.5,614,581.1720641025643,"{""type"":""MultiPoint"",""coordinates"":[]}"
1388,448.5,444,433.65878285502436,"{""type"":""MultiPoint"",""coordinates"":[]}"
1389,537.5,499,512.0154941724942,"{""type"":""MultiPoint"",""coordinates"":[]}"
1390,406.0,401,389.16871645021644,"{""type"":""MultiPoint"",""coordinates"":[]}"
1391,354.5,360,391.1980474101921,"{""type"":""MultiPoint"",""coordinates"":[]}"
1393,464.0,465,474.26692207792223,"{""type"":""MultiPoint"",""coordinates"":[]}"
1394,333.6666666666667,316,331.9104230901767,"{""type"":""MultiPoint"",""coordinates"":[]}"
1395,464.5,455,424.8512434368346,"{""type"":""MultiPoint"",""coordinates"":[]}"
1396,428.0,441,421.061496031746,"{""type"":""MultiPoint"",""coordinates"":[]}"
1397,374.5,347,374.571223914974,"{""type"":""MultiPoint"",""coordinates"":[]}"
1398,340.3333333333333,379,335.07804761904765,"{""type"":""MultiPoint"",""coordinates"":[]}"
1400,360.6666666666667,384,376.5326702981971,"{""type"":""MultiPoint"",""coordinates"":[]}"
1401,437.0,412,424.3747843444395,"{""type"":""MultiPoint"",""coordinates"":[]}"
1402,400.3333333333333,429,414.3595553751804,"{""type"":""MultiPoint"",""coordinates"":[]}"
1403,316.5,307,304.8574794045824,"{""type"":""MultiPoint"",""coordinates"":[]}"
1404,406.0,391,391.4728690851632,"{""type"":""MultiPoint"",""coordinates"":[]}"
1405,354.0,377,377.4624356825854,"{""type"":""MultiPoint"",""coordinates"":[]}"
1406,514.6666666666666,503,516.577902874903,"{""type"":""MultiPoint"",""coordinates"":[]}"
1407,408.0,402,400.9739973807555,"{""type"":""MultiPoint"",""coordinates"":[]}"
1410,499.5,577,578.4680000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1411,350.5,341,379.1496430527699,"{""type"":""MultiPoint"",""coordinates"":[]}"
1413,332.5,377,352.94384904086013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1414,369.0,322,347.4838238116567,"{""type"":""MultiPoint"",""coordinates"":[]}"
1415,394.0,414,378.32063685602543,"{""type"":""MultiPoint"",""coordinates"":[]}"
1416,299.0,298,331.86512578582625,"{""type"":""MultiPoint"",""coordinates"":[]}"
1417,609.3333333333334,582,601.7171666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1419,422.0,392,400.9793942050174,"{""type"":""MultiPoint"",""coordinates"":[]}"
1420,314.0,278,259.5053855721393,"{""type"":""MultiPoint"",""coordinates"":[]}"
1421,412.3333333333333,435,421.3573158611421,"{""type"":""MultiPoint"",""coordinates"":[]}"
1422,224.0,316,226.92047165272535,"{""type"":""MultiPoint"",""coordinates"":[]}"
1423,355.5,334,349.27639143404485,"{""type"":""MultiPoint"",""coordinates"":[]}"
1425,406.0,464,389.73013098728075,"{""type"":""MultiPoint"",""coordinates"":[]}"
1426,318.3333333333333,229,319.2566869790657,"{""type"":""MultiPoint"",""coordinates"":[]}"
1427,491.0,419,449.389641941392,"{""type"":""MultiPoint"",""coordinates"":[]}"
1428,412.0,385,382.73653975084306,"{""type"":""MultiPoint"",""coordinates"":[]}"
1429,320.3333333333333,356,343.5663134741076,"{""type"":""MultiPoint"",""coordinates"":[]}"
1431,429.0,433,427.0762777777778,"{""type"":""MultiPoint"",""coordinates"":[]}"
1434,410.0,364,388.7904353539666,"{""type"":""MultiPoint"",""coordinates"":[]}"
1435,359.0,366,359.6939857036863,"{""type"":""MultiPoint"",""coordinates"":[]}"
1436,499.5,570,573.8008333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1437,464.0,496,470.0367673160174,"{""type"":""MultiPoint"",""coordinates"":[]}"
1438,395.3333333333333,407,398.98841746541643,"{""type"":""MultiPoint"",""coordinates"":[]}"
1439,330.5,348,319.28864455479163,"{""type"":""MultiPoint"",""coordinates"":[]}"
1440,372.0,348,363.7347765300377,"{""type"":""MultiPoint"",""coordinates"":[]}"
1442,496.5,490,510.4334101731603,"{""type"":""MultiPoint"",""coordinates"":[]}"
1443,314.0,211,266.4387189054727,"{""type"":""MultiPoint"",""coordinates"":[]}"
1444,527.0,482,499.96023076923086,"{""type"":""MultiPoint"",""coordinates"":[]}"
1445,642.3333333333334,652,622.6850641025642,"{""type"":""MultiPoint"",""coordinates"":[]}"
1447,250.66666666666666,215,248.87305498605866,"{""type"":""MultiPoint"",""coordinates"":[]}"
1448,391.3333333333333,338,358.4939857036862,"{""type"":""MultiPoint"",""coordinates"":[]}"
1449,456.5,471,483.8368394105896,"{""type"":""MultiPoint"",""coordinates"":[]}"
1450,331.0,365,324.3292564608594,"{""type"":""MultiPoint"",""coordinates"":[]}"
1452,364.0,350,383.94876457667635,"{""type"":""MultiPoint"",""coordinates"":[]}"
1454,343.5,381,342.7497223064833,"{""type"":""MultiPoint"",""coordinates"":[]}"
1455,601.0,635,614.4521666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1456,487.5,427,490.47433473748475,"{""type"":""MultiPoint"",""coordinates"":[]}"
1457,118.0,207,131.6473333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1458,523.0,495,503.31956192826794,"{""type"":""MultiPoint"",""coordinates"":[]}"
1459,380.6666666666667,281,376.8824212552154,"{""type"":""MultiPoint"",""coordinates"":[]}"
1460,394.5,377,374.403595145194,"{""type"":""MultiPoint"",""coordinates"":[]}"
1462,448.5,426,434.7121161883577,"{""type"":""MultiPoint"",""coordinates"":[]}"
1463,332.5,364,356.9436527371638,"{""type"":""MultiPoint"",""coordinates"":[]}"
1465,371.5,365,354.4920991883934,"{""type"":""MultiPoint"",""coordinates"":[]}"
1466,513.5,536,504.5927022977022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1467,411.0,386,407.8061506132757,"{""type"":""MultiPoint"",""coordinates"":[]}"
1468,409.3333333333333,456,417.488224281669,"{""type"":""MultiPoint"",""coordinates"":[]}"
1469,517.5,553,505.1477520812522,"{""type"":""MultiPoint"",""coordinates"":[]}"
1470,337.6666666666667,347,323.2222822171609,"{""type"":""MultiPoint"",""coordinates"":[]}"
1472,720.6666666666666,734,693.6658333333332,"{""type"":""MultiPoint"",""coordinates"":[]}"
1474,409.3333333333333,406,419.1820099959548,"{""type"":""MultiPoint"",""coordinates"":[]}"
1475,364.5,379,350.8762684181719,"{""type"":""MultiPoint"",""coordinates"":[]}"
1476,429.3333333333333,486,437.19009634708783,"{""type"":""MultiPoint"",""coordinates"":[]}"
1477,537.5,474,501.6594926739928,"{""type"":""MultiPoint"",""coordinates"":[]}"
1478,642.3333333333334,650,639.537564102564,"{""type"":""MultiPoint"",""coordinates"":[]}"
1480,386.3333333333333,474,376.9455963560082,"{""type"":""MultiPoint"",""coordinates"":[]}"
1481,517.0,472,508.5491886169386,"{""type"":""MultiPoint"",""coordinates"":[]}"
1482,487.5,497,484.8825847374848,"{""type"":""MultiPoint"",""coordinates"":[]}"
1485,493.0,449,461.12143333333336,"{""type"":""MultiPoint"",""coordinates"":[]}"
1486,354.6666666666667,384,360.4898956846253,"{""type"":""MultiPoint"",""coordinates"":[]}"
1487,358.0,333,337.8761281545252,"{""type"":""MultiPoint"",""coordinates"":[]}"
1488,445.6666666666667,429,419.69005467936773,"{""type"":""MultiPoint"",""coordinates"":[]}"
1489,420.6666666666667,416,417.87884902154576,"{""type"":""MultiPoint"",""coordinates"":[]}"
1490,469.5,542,496.740995948496,"{""type"":""MultiPoint"",""coordinates"":[]}"
1491,653.0,604,654.7049444444447,"{""type"":""MultiPoint"",""coordinates"":[]}"
1492,360.6666666666667,386,375.91980631271804,"{""type"":""MultiPoint"",""coordinates"":[]}"
1493,375.0,388,383.26644733536375,"{""type"":""MultiPoint"",""coordinates"":[]}"
1494,398.0,407,390.7384958272606,"{""type"":""MultiPoint"",""coordinates"":[]}"
1496,374.5,413,382.7148905816406,"{""type"":""MultiPoint"",""coordinates"":[]}"
1497,380.6666666666667,360,376.1987545885487,"{""type"":""MultiPoint"",""coordinates"":[]}"
1498,23.0,-2,63.163892857142876,"{""type"":""MultiPoint"",""coordinates"":[]}"
1499,354.5,410,389.97022723475357,"{""type"":""MultiPoint"",""coordinates"":[]}"
1500,391.3333333333333,367,372.3914745335414,"{""type"":""MultiPoint"",""coordinates"":[]}"
