system:index,B2,B8,GVI,RDVI,SGI,estimatefCOVER,.geo
0_5,266.0,1517.0,2.9921052631578946,25.36460453804648,3.745679012345679,0.279,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_38,235.0,1472.0,3.3040935672514617,25.194571151351994,3.8134715025906734,0.281,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_44,235.0,1482.0,3.4504504504504503,26.23382745806472,4.151260504201681,0.33,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_49,320.0,1935.0,2.9651639344262297,28.871027448840447,3.809055118110236,0.297,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_70,201.0,1344.0,3.3921568627450984,25.943726083138543,4.571428571428571,0.329,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_73,212.0,1276.0,2.6878612716763004,22.93231804282889,3.635327635327635,0.301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_82,234.0,1349.0,2.810734463276836,23.027476458284003,3.467866323907455,0.277,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_102,187.0,1481.0,3.6426332288401255,27.8270132276817,4.855737704918033,0.262,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_105,304.0,1665.0,2.7755102040816326,25.66886745266571,3.490566037735849,0.289,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_117,236.0,1404.0,3.153846153846154,25.697422301728395,4.216216216216216,0.278,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_119,236.0,1624.0,3.5875706214689265,28.377637720230435,4.511111111111111,0.331,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_128,158.0,1133.0,3.780590717299578,22.244339935959797,3.8668941979522184,0.249,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_163,219.0,1272.0,2.975,23.6,3.8780487804878048,0.264,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_207,248.0,1637.0,3.3537234042553195,26.890432817806296,3.916267942583732,0.312,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_221,270.0,1771.0,3.4054726368159205,29.424395071673903,4.4275,0.323,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_241,287.0,1748.0,3.1520190023752965,26.61906140419366,3.574642126789366,0.318,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_263,249.0,1578.0,3.347107438016529,26.80894197088675,4.056555269922879,0.339,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_313,199.0,1427.0,3.390769230769231,26.17102587467587,4.324242424242424,0.305,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_333,242.0,1482.0,3.3716814159292037,24.793038409543644,3.6592592592592594,0.264,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_345,267.0,1549.0,2.951530612244898,25.385200848540688,3.670616113744076,0.242,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_354,237.0,1257.0,2.891640866873065,21.83275332263567,3.352,0.246,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_364,302.0,1791.0,3.0612244897959187,28.026408505412455,3.8850325379609543,0.314,"{""type"":""MultiPoint"",""coordinates"":[]}"
