system:index,cart_estimatefCOVER,estimatefCOVER,rf_estimatefCOVER,.geo
1001,550.5,550,548.3367142857143,"{""type"":""MultiPoint"",""coordinates"":[]}"
1002,498.0,490,506.5530784313725,"{""type"":""MultiPoint"",""coordinates"":[]}"
1003,0.0,0,1.3032802871268143,"{""type"":""MultiPoint"",""coordinates"":[]}"
1004,0.0,0,1.3032802871268143,"{""type"":""MultiPoint"",""coordinates"":[]}"
1005,446.0,447,450.1969741019215,"{""type"":""MultiPoint"",""coordinates"":[]}"
1006,526.5,511,509.4915512820513,"{""type"":""MultiPoint"",""coordinates"":[]}"
1007,0.0,0,1.3032802871268143,"{""type"":""MultiPoint"",""coordinates"":[]}"
1008,456.0,456,449.2884047619048,"{""type"":""MultiPoint"",""coordinates"":[]}"
1009,465.0,481,483.3901428571428,"{""type"":""MultiPoint"",""coordinates"":[]}"
1010,616.0,615,605.6951666666669,"{""type"":""MultiPoint"",""coordinates"":[]}"
1011,386.0,426,401.64797971472973,"{""type"":""MultiPoint"",""coordinates"":[]}"
1012,0.0,0,1.3032802871268143,"{""type"":""MultiPoint"",""coordinates"":[]}"
1013,0.0,0,2.668280287126814,"{""type"":""MultiPoint"",""coordinates"":[]}"
1014,347.5,389,361.0149715007215,"{""type"":""MultiPoint"",""coordinates"":[]}"
1015,563.5,571,568.7008333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1016,0.0,0,1.3032802871268143,"{""type"":""MultiPoint"",""coordinates"":[]}"
1017,361.0,378,348.02262698412693,"{""type"":""MultiPoint"",""coordinates"":[]}"
1018,424.0,408,408.1250191409898,"{""type"":""MultiPoint"",""coordinates"":[]}"
1019,472.0,479,471.65372258297265,"{""type"":""MultiPoint"",""coordinates"":[]}"
1020,0.0,0,1.3032802871268143,"{""type"":""MultiPoint"",""coordinates"":[]}"
1021,0.0,0,1.3032802871268143,"{""type"":""MultiPoint"",""coordinates"":[]}"
1022,405.3333333333333,351,405.10141666666664,"{""type"":""MultiPoint"",""coordinates"":[]}"
1023,403.0,442,402.48744444444446,"{""type"":""MultiPoint"",""coordinates"":[]}"
1024,439.0,425,441.4170858161446,"{""type"":""MultiPoint"",""coordinates"":[]}"
1025,466.3333333333333,497,483.6625970695971,"{""type"":""MultiPoint"",""coordinates"":[]}"
1026,416.0,398,420.0298333333332,"{""type"":""MultiPoint"",""coordinates"":[]}"
1027,454.0,438,439.5588088235294,"{""type"":""MultiPoint"",""coordinates"":[]}"
1028,526.0,521,527.5731666666668,"{""type"":""MultiPoint"",""coordinates"":[]}"
1029,541.0,583,560.1796666666668,"{""type"":""MultiPoint"",""coordinates"":[]}"
1030,514.0,500,504.47218681318685,"{""type"":""MultiPoint"",""coordinates"":[]}"
1031,456.3333333333333,449,465.41105591630594,"{""type"":""MultiPoint"",""coordinates"":[]}"
1032,470.3333333333333,466,465.20415115440113,"{""type"":""MultiPoint"",""coordinates"":[]}"
1033,549.0,578,546.5266017316019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1034,445.5,440,442.4231810542398,"{""type"":""MultiPoint"",""coordinates"":[]}"
1035,495.3333333333333,497,495.6046324606766,"{""type"":""MultiPoint"",""coordinates"":[]}"
1036,441.5,418,423.3672302974802,"{""type"":""MultiPoint"",""coordinates"":[]}"
1037,294.0,309,317.9419325396825,"{""type"":""MultiPoint"",""coordinates"":[]}"
1038,424.0,399,410.20601914098995,"{""type"":""MultiPoint"",""coordinates"":[]}"
1039,304.0,328,328.2089613997114,"{""type"":""MultiPoint"",""coordinates"":[]}"
1040,428.0,430,442.14316666666656,"{""type"":""MultiPoint"",""coordinates"":[]}"
1041,410.6666666666667,429,422.55237111801245,"{""type"":""MultiPoint"",""coordinates"":[]}"
1042,445.0,412,436.15531435231424,"{""type"":""MultiPoint"",""coordinates"":[]}"
1043,459.0,446,470.57909523809525,"{""type"":""MultiPoint"",""coordinates"":[]}"
1044,427.0,427,437.79832142857134,"{""type"":""MultiPoint"",""coordinates"":[]}"
1045,530.3333333333334,532,520.1710000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
