system:index,cart_estimatefAPAR,estimatefAPAR,rf_estimatefAPAR,.geo
1001,0.0,0,29.956682044837795,"{""type"":""MultiPoint"",""coordinates"":[]}"
1002,462.0,475,464.9101050630698,"{""type"":""MultiPoint"",""coordinates"":[]}"
1003,675.0,692,610.5528559050316,"{""type"":""MultiPoint"",""coordinates"":[]}"
1004,474.3333333333333,436,460.22658799816554,"{""type"":""MultiPoint"",""coordinates"":[]}"
1005,79.33333333333333,114,176.6542133511773,"{""type"":""MultiPoint"",""coordinates"":[]}"
1006,436.0,481,447.4976889050004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1007,425.5,434,426.564544002789,"{""type"":""MultiPoint"",""coordinates"":[]}"
1008,429.5,415,419.4169578969047,"{""type"":""MultiPoint"",""coordinates"":[]}"
1009,438.3333333333333,429,421.8168839420926,"{""type"":""MultiPoint"",""coordinates"":[]}"
1010,399.0,399,407.54410688785407,"{""type"":""MultiPoint"",""coordinates"":[]}"
1011,352.3333333333333,363,385.20847380437726,"{""type"":""MultiPoint"",""coordinates"":[]}"
1012,420.5,404,399.4027366282702,"{""type"":""MultiPoint"",""coordinates"":[]}"
1014,458.5,423,417.4639583537124,"{""type"":""MultiPoint"",""coordinates"":[]}"
1015,0.0,0,29.956682044837795,"{""type"":""MultiPoint"",""coordinates"":[]}"
1016,435.3333333333333,419,413.4875778013174,"{""type"":""MultiPoint"",""coordinates"":[]}"
1017,390.3333333333333,389,414.8535201452811,"{""type"":""MultiPoint"",""coordinates"":[]}"
1018,387.0,355,386.80961094692117,"{""type"":""MultiPoint"",""coordinates"":[]}"
1019,187.0,151,238.85341649490954,"{""type"":""MultiPoint"",""coordinates"":[]}"
1020,427.0,434,418.79295351818604,"{""type"":""MultiPoint"",""coordinates"":[]}"
1021,417.6666666666667,389,400.1031305923075,"{""type"":""MultiPoint"",""coordinates"":[]}"
1022,474.0,435,468.6601748905521,"{""type"":""MultiPoint"",""coordinates"":[]}"
1023,573.0,611,563.1806430382513,"{""type"":""MultiPoint"",""coordinates"":[]}"
1024,0.0,0,29.956682044837795,"{""type"":""MultiPoint"",""coordinates"":[]}"
1025,426.5,421,426.5834757498142,"{""type"":""MultiPoint"",""coordinates"":[]}"
1026,380.3333333333333,385,359.0150092855701,"{""type"":""MultiPoint"",""coordinates"":[]}"
1027,458.5,469,466.8972887953082,"{""type"":""MultiPoint"",""coordinates"":[]}"
1028,389.0,424,405.01540064883795,"{""type"":""MultiPoint"",""coordinates"":[]}"
1029,474.3333333333333,493,461.32701430695846,"{""type"":""MultiPoint"",""coordinates"":[]}"
1030,515.5,563,511.9580052205223,"{""type"":""MultiPoint"",""coordinates"":[]}"
1031,428.6666666666667,432,406.78276154975777,"{""type"":""MultiPoint"",""coordinates"":[]}"
1032,430.5,448,452.447586105869,"{""type"":""MultiPoint"",""coordinates"":[]}"
1033,400.6666666666667,383,413.9883547185252,"{""type"":""MultiPoint"",""coordinates"":[]}"
1034,445.5,428,457.9430229284852,"{""type"":""MultiPoint"",""coordinates"":[]}"
1035,380.5,406,375.35529248836843,"{""type"":""MultiPoint"",""coordinates"":[]}"
1036,365.3333333333333,362,386.4076158183302,"{""type"":""MultiPoint"",""coordinates"":[]}"
