system:index,cart_estimatefCOVER,estimatefCOVER,rf_estimatefCOVER,.geo
1001,0.0,0,60.7107492281144,"{""type"":""MultiPoint"",""coordinates"":[]}"
1002,547.0,485,468.05053967614754,"{""type"":""MultiPoint"",""coordinates"":[]}"
1003,696.6666666666666,710,585.1870733158421,"{""type"":""MultiPoint"",""coordinates"":[]}"
1004,482.5,445,458.33799671843803,"{""type"":""MultiPoint"",""coordinates"":[]}"
1005,126.0,115,155.74401821090254,"{""type"":""MultiPoint"",""coordinates"":[]}"
1006,446.5,492,453.165168870127,"{""type"":""MultiPoint"",""coordinates"":[]}"
1007,423.0,431,423.0898074255041,"{""type"":""MultiPoint"",""coordinates"":[]}"
1008,471.5,421,435.81204955202594,"{""type"":""MultiPoint"",""coordinates"":[]}"
1009,445.5,433,427.0717721892966,"{""type"":""MultiPoint"",""coordinates"":[]}"
1010,393.5,401,402.58236025981336,"{""type"":""MultiPoint"",""coordinates"":[]}"
1011,344.0,360,378.7000357190121,"{""type"":""MultiPoint"",""coordinates"":[]}"
1012,410.0,402,406.02690276562265,"{""type"":""MultiPoint"",""coordinates"":[]}"
1014,453.0,427,421.35239443773736,"{""type"":""MultiPoint"",""coordinates"":[]}"
1015,0.0,0,60.7107492281144,"{""type"":""MultiPoint"",""coordinates"":[]}"
1016,438.0,420,417.79294519074006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1017,407.6666666666667,387,407.4003839294413,"{""type"":""MultiPoint"",""coordinates"":[]}"
1018,351.6666666666667,352,382.2192220699537,"{""type"":""MultiPoint"",""coordinates"":[]}"
1019,145.5,134,212.88399280530302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1020,433.0,438,428.40878292996547,"{""type"":""MultiPoint"",""coordinates"":[]}"
1021,388.0,388,401.5245927573466,"{""type"":""MultiPoint"",""coordinates"":[]}"
1022,478.3333333333333,443,468.2915594919508,"{""type"":""MultiPoint"",""coordinates"":[]}"
1023,592.0,632,532.8218010487543,"{""type"":""MultiPoint"",""coordinates"":[]}"
1024,0.0,0,60.7107492281144,"{""type"":""MultiPoint"",""coordinates"":[]}"
1025,453.6666666666667,427,437.13489168262623,"{""type"":""MultiPoint"",""coordinates"":[]}"
1026,343.0,384,371.5008461858803,"{""type"":""MultiPoint"",""coordinates"":[]}"
1027,466.5,476,463.1266237913228,"{""type"":""MultiPoint"",""coordinates"":[]}"
1028,385.6666666666667,425,405.87536922947965,"{""type"":""MultiPoint"",""coordinates"":[]}"
1029,447.0,503,459.19049671843794,"{""type"":""MultiPoint"",""coordinates"":[]}"
1030,532.5,586,502.5875024171699,"{""type"":""MultiPoint"",""coordinates"":[]}"
1031,431.0,435,411.53381506338684,"{""type"":""MultiPoint"",""coordinates"":[]}"
1032,457.0,454,449.56194551811774,"{""type"":""MultiPoint"",""coordinates"":[]}"
1033,388.0,380,402.95665826075486,"{""type"":""MultiPoint"",""coordinates"":[]}"
1034,462.5,434,458.1103925213479,"{""type"":""MultiPoint"",""coordinates"":[]}"
1035,377.5,404,378.0992025868483,"{""type"":""MultiPoint"",""coordinates"":[]}"
1036,388.0,359,387.2396144779152,"{""type"":""MultiPoint"",""coordinates"":[]}"
1037,445.5,424,413.4918187244291,"{""type"":""MultiPoint"",""coordinates"":[]}"
1038,490.0,451,452.23563838139523,"{""type"":""MultiPoint"",""coordinates"":[]}"
1039,420.5,429,425.48014129875645,"{""type"":""MultiPoint"",""coordinates"":[]}"
1040,517.3333333333334,497,477.32512914824923,"{""type"":""MultiPoint"",""coordinates"":[]}"
1041,404.0,382,416.1681265992009,"{""type"":""MultiPoint"",""coordinates"":[]}"
