system:index,B2,B8,GVI,RDVI,SGI,estimatefAPAR,.geo
0_6,322.0,1672.0,2.757303370786517,25.366081243148518,3.3983739837398375,0.315,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_67,221.0,1238.0,3.1129568106312293,24.961297181850618,4.602230483271375,0.258,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_96,434.0,2121.0,2.4320388349514563,30.92574185745529,4.00945179584121,0.305,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_127,257.0,1716.0,3.600536193029491,29.731789335037874,4.753462603878116,0.358,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_175,482.0,1728.0,1.2647444298820445,23.070460633592774,2.823529411764706,0.358,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_188,219.0,1409.0,3.909407665505227,27.960716597404694,5.316981132075472,0.302,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_228,286.0,1825.0,3.5625,32.17556777136991,5.513595166163142,0.322,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_242,315.0,1606.0,2.7090069284064664,25.409793402880638,3.5452538631346577,0.303,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_287,335.0,1766.0,2.574898785425101,30.37793244022251,4.851648351648351,0.364,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_293,678.0,2381.0,1.7978848413631021,28.18688196767889,3.0025220680958387,0.343,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_330,243.0,1440.0,3.056338028169014,29.442836089869562,6.127659574468085,0.303,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_335,263.0,1345.0,2.9910979228486645,26.05847289807964,4.621993127147766,0.272,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_361,554.0,2191.0,2.060055865921788,27.194512749427815,3.0304287690179805,0.273,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_469,399.0,1918.0,2.5917602996254683,27.97551677741965,3.598499061913696,0.251,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_482,227.0,1536.0,3.585074626865672,30.33342751885983,6.071146245059288,0.365,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_490,273.0,1337.0,2.943952802359882,23.654181576676663,3.6933701657458564,0.246,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_492,622.0,2377.0,1.8467065868263473,27.934139277057515,2.963840399002494,0.293,"{""type"":""MultiPoint"",""coordinates"":[]}"
