system:index,EVI2,GVI,MSR,RDVI,SGI,estimateLAI,.geo
0_11,1.4624110320284698,3.595180722891566,1.4075615430527681,33.37114432714349,5.796352583586626,1.387,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_23,1.3769016968987713,3.424170616113744,1.274147126365084,31.905633975109794,5.17174515235457,1.347,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_33,1.3963739675473024,3.5105566218809985,1.303202206998018,36.08404578461484,5.3047404063205414,1.407,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_54,0.865526535326959,1.7020933977455717,0.6737190801521749,22.612049597514137,2.8013355592654423,1.259,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_58,0.5109090909090909,1.2742138364779874,0.36878600574877257,16.008573703583956,1.8735751295336787,0.228,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_71,1.1881087662337662,2.6238317757009346,1.02029179757985,26.64806985761256,4.081578947368421,0.859,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_72,0.720485029691458,1.5846817691477884,0.5417471021487691,23.790013605629813,2.376984126984127,0.875,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_75,0.8362631203505554,1.8585164835164836,0.6460970252894166,24.599059415224072,2.7096354166666665,0.729,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_88,0.8167847725774556,1.79582875960483,0.6279939201220055,26.777707333418363,2.6503642039542146,1.04,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_101,1.4577865266841643,3.518207282913165,1.4001488049107051,30.637607100303068,5.760714285714286,1.426,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_103,1.5162174170616114,3.875,1.5,24.353007319779653,6.25,1.261,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_124,1.5060936201643433,4.009646302250804,1.481552491243822,30.66558729364323,6.158102766798419,1.457,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_144,1.3847190735861776,3.2188679245283023,1.2856725630370944,35.02928847480421,5.224299065420561,1.358,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_150,1.4964491038214405,3.6059782608695654,1.4648060404835714,31.87055887172913,6.075268817204301,1.383,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_152,0.6213519111278478,1.5972222222222223,0.45773797371132513,16.885496735364345,2.125,0.231,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_159,1.4348973856765734,3.5484764542936285,1.3632676559385826,30.636363636363637,5.585034013605442,1.504,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_173,1.4312773450005336,3.9007490636704123,1.3571727280025676,38.618115027667464,5.556263269639066,1.533,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_188,1.5133079847908746,3.7189054726368163,1.493927050085375,33.926136575816365,6.219672131147541,1.454,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_201,1.1554621848739497,1.61244019138756,0.9819327824012687,15.550670649982706,3.9280575539568345,1.375,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_233,1.4588189588189588,3.6589743589743593,1.4017189611305416,32.529420944998165,5.768253968253968,1.535,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_257,1.1832996266334785,2.111753371868979,1.01439542908626,27.124934040407783,4.057788944723618,1.372,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_264,0.9466878752116579,2.1710144927536232,0.7530070472947815,27.408631914932855,3.0730337078651684,0.68,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_273,1.430026641592227,3.3228155339805827,1.3554801218353278,31.8446514634968,5.548286604361371,1.299,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_277,1.409084365102217,3.6650485436893208,1.3235482358871706,23.200636514534324,5.398876404494382,1.292,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_278,1.3859735769848132,3.4400000000000004,1.2881977748008964,24.697933053710532,5.235849056603773,1.571,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_280,1.4574823616784256,3.460093896713615,1.399494896342928,33.2465986661787,5.757575757575758,1.503,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_302,0.6026937297215725,1.3663461538461537,0.44232600720972304,21.171014503426164,2.080304311073542,0.655,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_357,1.4631723716381417,3.845549738219895,1.4088395208046955,32.88735137076763,5.802507836990595,1.368,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_365,1.0920059861570122,2.443850267379679,0.9074637818569571,28.229678321302895,3.638418079096045,1.126,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_368,1.3118240198287516,3.571705426356589,1.1808366254941645,34.8666159912747,4.756048387096774,1.126,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_371,0.8624583927722301,1.7948084054388134,0.6707357734517322,26.183488250893838,2.791358024691358,0.818,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_394,1.3883291110087517,3.44589552238806,1.291047506799913,36.21617330728934,5.248898678414097,1.425,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_395,1.3078216989066442,3.365313653136531,1.1753160689885964,34.855678921882635,4.732,1.177,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_404,1.1715734211745328,2.799687010954617,1.0,33.054500450014366,4.0,1.147,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_407,1.402966801434998,3.5308411214953273,1.313221428545794,36.746560350618786,5.3509933774834435,1.398,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_410,1.5286016088404972,3.0407239819004523,1.5210854579170847,33.10291673364742,6.355871886120997,1.485,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_412,1.6031545014966615,3.821561338289963,1.6622230736715267,28.957051141489025,7.087431693989071,1.439,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_426,1.5625,3.978308026030369,1.5829269497813865,37.978479576611775,6.671511627906977,1.555,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_437,0.9323340330621883,2.2300380228136882,0.7387155237697353,23.91168514391943,3.0231316725978647,0.628,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_443,1.26028965773349,3.233870967741935,1.1115394209236658,32.12699058300751,4.45859872611465,1.186,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_452,1.5792922673656618,3.7637130801687766,1.6158027911951318,26.79846358833875,6.842424242424243,1.48,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_469,1.6400108430468963,3.920704845814978,1.7380000539265907,27.205612282256187,7.496644295302014,1.479,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_500,1.5895619153468554,4.044025157232705,1.635094484780943,32.05180581700179,6.9437229437229435,1.549,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_505,1.3311765404250266,3.2504708097928434,1.2078790776666806,34.39837974980456,4.874730021598272,1.101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_509,1.44782640894616,3.519047619047619,1.38382774766528,33.10469977138299,5.682634730538922,1.467,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_516,1.5828748021406498,3.830466830466831,1.621855425862737,35.40177916473152,6.874125874125874,1.563,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_543,0.8216989802617183,1.8182883939038685,0.6325404956896227,26.122726775826386,2.6651884700665187,1.063,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_550,1.5379858657243817,4.1141439205955335,1.5378386473532946,35.67952577359755,6.440625,1.531,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_573,0.5688919536266861,1.3161361141602637,0.4148842826206075,18.77351875171814,2.001897533206831,0.326,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_597,1.061090009208103,2.3113964686998396,0.8730999443063747,28.647528255356622,3.508503401360544,1.445,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_631,0.7203632203632204,1.605805243445693,0.5416229096505251,25.635789979450816,2.376601195559351,0.979,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_641,1.5075593952483801,3.815028901734104,1.4840230213044263,31.727272727272727,6.17037037037037,1.47,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_651,1.5440924167905754,3.745353159851301,1.5487611120124363,39.79581285735469,6.4961832061068705,1.559,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_653,1.3319672131147542,2.8883495145631066,1.2100104844691153,20.505755542351867,4.884146341463414,1.466,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_660,1.360638112396118,3.549707602339181,1.2500903814095847,35.428019191429044,5.06290672451193,1.48,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_739,1.316906532988357,3.1802030456852792,1.1881020766121535,29.20174375396485,4.787790697674419,1.41,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_743,1.1275078759741337,2.7181208053691277,0.9479529121478285,30.841900997552944,3.7945205479452055,1.182,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_763,1.1437274677132294,2.6344086021505375,0.9668206336278079,34.370306294035444,3.8683834048640917,1.213,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_775,1.2761983814069309,3.1582417582417586,1.1326220769458717,30.723341997589824,4.548076923076923,1.136,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_803,1.573349217154527,3.7565789473684212,1.6034832436564672,37.06162546301264,6.778125,1.46,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_833,1.0350460350460349,2.457092819614711,0.8448436995751343,27.583687710696363,3.4034482758620688,0.93,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_840,1.4673913043478262,3.7682926829268295,1.4157443771066482,33.853008741814406,5.835820895522388,1.276,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_846,0.8906829010058231,2.553448275862069,0.6977978332291164,25.5467306457378,2.8825174825174824,0.746,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_847,0.9893971150289731,2.369565217391304,0.7969882210706519,18.395490987466214,3.2291666666666665,0.771,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_850,1.089749690682402,2.5569620253164556,0.9048379092576863,32.25472086344759,3.6284074605451937,0.952,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_870,1.5044782949790796,3.6886993603411513,1.4783982933658302,36.4072959806923,6.14245810055866,1.493,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_889,1.5306724921768908,3.4890510948905114,1.5244914329065673,38.8768710585469,6.373056994818653,1.509,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_890,1.4094294105307323,3.9886578449905485,1.323085882260903,38.441921517053146,5.396728016359918,1.559,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_891,0.9850034933626111,2.3920118343195265,0.7920615485628653,28.794889479322052,3.211484593837535,0.953,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_907,1.3078282954036156,3.324675324675325,1.1752687100502373,36.98508061922116,4.731793960923623,1.216,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_938,0.9086826347305389,2.237676056338028,0.7153425313913254,24.45672695817029,2.9424,0.569,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_939,1.643246644295302,3.897018970189702,1.7439327008268017,34.63459193459364,7.529166666666667,1.517,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_954,0.9364483246354192,2.480243161094225,0.742737868560441,27.83997825002549,3.037135278514589,0.819,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_963,0.7222965800526147,1.5122235157159487,0.5433400321206395,22.618299391486627,2.381898454746137,0.779,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_967,1.033912939915441,2.8287937743190663,0.8436278720419553,27.522493210260475,3.3989637305699483,0.916,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_980,0.9551759241585546,2.2573529411764706,0.7616263779876016,24.81171951967122,3.1033274956217163,0.631,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1015,1.6081871345029242,3.545454545454546,1.672612419124244,26.714212000488008,7.142857142857143,1.457,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1030,1.0892982172671946,2.6090468497576738,0.9043695483344025,30.307916862783618,3.6266233766233764,1.444,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1034,0.7489464058524175,1.8605174353205851,0.5667269081218987,25.19024567621912,2.4546332046332044,0.75,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1043,1.4119346116027531,3.252830188679245,1.327717601164117,25.152136341607576,5.418269230769231,1.205,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1046,1.1360816427818101,2.564748201438849,0.9579723455646998,29.305861758586204,3.8336557059961316,0.951,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1052,1.3121979595489528,3.1713483146067416,1.1816542770602736,27.670943880275853,4.759615384615385,1.312,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1110,1.4003451503451503,3.667326732673267,1.3092377931950538,36.19656253973224,5.332579185520362,1.301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1111,0.5567588581583917,1.4847094801223242,0.4051631921587659,16.209464273261588,1.974483596597813,0.229,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1120,1.0991953913540278,2.9121725731895225,0.9154830055389869,32.49364388004074,3.6690751445086707,1.213,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1121,1.3771480044345896,3.3897550111358576,1.27447320196495,32.78524742898232,5.173228346456693,1.292,"{""type"":""MultiPoint"",""coordinates"":[]}"
