system:index,cart_estimatefCOVER,estimatefCOVER,rf_estimatefCOVER,.geo
0,596.5,591,588.965,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,509.6666666666667,516,516.0483333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,493.0,490,481.5766666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,558.0,553,563.5633333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,346.0,347,368.02166666666665,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.0,0,0.1450054136805078,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,419.0,415,419.12,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,18.0,6,41.291968760115324,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,474.0,476,481.5250000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,476.0,462,468.00333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,521.0,516,527.9666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,358.0,365,367.79166666666663,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,489.5,493,494.18166666666673,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,548.5,543,547.6783333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,580.0,579,565.0316666666668,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.0,0,0.1450054136805078,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,466.5,473,459.37833333333344,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,461.0,460,460.005,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,589.5,592,589.0816666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,445.0,447,457.385,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,364.0,364,370.93333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,378.5,375,368.405,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,436.6666666666667,436,446.23666666666645,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,338.6666666666667,348,345.60166666666663,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,454.0,455,445.0316666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,476.5,481,487.5449999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,721.0,727,697.5733333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,473.3333333333333,481,480.62000000000006,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,563.0,560,579.5666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,571.0,574,550.2316666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,614.3333333333334,607,600.635,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,527.5,527,517.7166666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,533.5,537,556.5899999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,469.0,474,478.43000000000006,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,447.5,449,445.2633333333332,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,405.0,403,405.7475,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,365.5,368,372.75500000000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,488.5,501,496.56499999999994,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,381.0,391,375.15333333333336,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,639.5,645,653.1916666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,490.0,486,482.15666666666664,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,368.0,372,368.315,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,394.5,398,387.4616666666668,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,525.5,517,535.3033333333335,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,411.3333333333333,413,409.3383333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,438.5,436,427.61333333333346,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,471.0,477,475.76,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,493.0,496,486.0399999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0.0,0,0.1450054136805078,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,580.0,581,565.0216666666665,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,479.5,473,471.9016666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,411.3333333333333,416,410.63,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,326.5,323,322.915,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,519.0,515,522.5433333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0.0,0,0.1450054136805078,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,390.0,390,389.66833333333335,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,379.0,382,376.28,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,0.0,0,0.1450054136805078,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,65.0,56,62.22050876895703,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,589.0,592,578.2766666666668,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,446.6666666666667,447,451.21,"{""type"":""MultiPoint"",""coordinates"":[]}"
