system:index,B8,EVI,GVI,RDVI,SGI,estimatefAPAR,.geo
0_6,1526.0,6.247645951035782,4.226027397260274,31.950405408963146,7.668341708542713,0.381,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_26,1753.0,10.662824207492797,3.317733990147783,32.88077118201739,6.4212454212454215,0.383,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_28,1523.0,9.68975468975469,4.059800664451827,32.54383195381888,8.46111111111111,0.387,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_44,1477.0,5.588235294117647,4.5111940298507465,31.69180710823856,7.9837837837837835,0.391,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_50,1471.0,6.201395812562312,3.729903536977492,30.189195330833243,6.4801762114537445,0.352,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_52,1386.0,5.93011811023622,4.290076335877862,30.440553762006164,7.657458563535911,0.356,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_68,1471.0,9.331395348837209,3.9033333333333333,31.533542368889016,7.866310160427807,0.389,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_70,1648.0,8.849449204406364,4.039755351681957,33.618817124712535,8.158415841584159,0.365,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_87,1625.0,9.971139971139971,3.4520547945205475,31.975666604747854,6.68724279835391,0.386,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_93,1357.0,6.925465838509317,3.2274143302180685,27.88371502287981,5.607438016528926,0.353,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_96,1797.0,5.9019769357495875,2.993333333333333,30.826115901360176,4.936813186813187,0.343,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_106,1505.0,4.408163265306123,4.574074074074074,31.303982545684768,7.2009569377990434,0.385,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_116,1551.0,8.498759305210918,4.204697986577181,32.91899919625657,8.569060773480663,0.389,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_120,1424.0,6.933106575963719,3.8767123287671232,30.33889608052039,7.08457711442786,0.364,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_122,1435.0,5.369098712446352,4.498084291187739,31.09094233842139,7.798913043478261,0.39,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_124,1495.0,7.468643101482327,4.173010380622838,31.960727389064463,8.08108108108108,0.383,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_141,1552.0,7.430167597765363,3.775384615384615,31.577288371936948,6.990990990990991,0.37,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_146,1483.0,8.529032258064516,4.392727272727273,32.604725524388044,9.211180124223603,0.384,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_148,1819.0,4.928986442866366,3.8766756032171585,33.23494163277506,6.22945205479452,0.373,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_166,2115.0,3.861042183622829,2.5546218487394956,30.090464450721505,3.783542039355993,0.271,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_167,1574.0,9.262948207171315,4.194719471947194,33.31833185917212,8.793296089385475,0.392,"{""type"":""MultiPoint"",""coordinates"":[]}"
