system:index,cart_estimatefAPAR,estimatefAPAR,rf_estimatefAPAR,.geo
1001,385.6666666666667,399,388.01829761904753,"{""type"":""MultiPoint"",""coordinates"":[]}"
1002,532.3333333333334,469,502.95566666666656,"{""type"":""MultiPoint"",""coordinates"":[]}"
1003,359.3333333333333,375,366.8306645021645,"{""type"":""MultiPoint"",""coordinates"":[]}"
1004,501.0,502,511.6713373015874,"{""type"":""MultiPoint"",""coordinates"":[]}"
1005,642.0,605,623.1216111111112,"{""type"":""MultiPoint"",""coordinates"":[]}"
1006,370.0,354,361.4550000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1007,429.0,440,435.5015572205573,"{""type"":""MultiPoint"",""coordinates"":[]}"
1008,495.3333333333333,491,490.76052705627694,"{""type"":""MultiPoint"",""coordinates"":[]}"
1009,557.0,547,556.5234047619047,"{""type"":""MultiPoint"",""coordinates"":[]}"
1010,680.5,705,681.6966666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
1011,432.5,440,446.9442380952381,"{""type"":""MultiPoint"",""coordinates"":[]}"
1012,760.6666666666666,783,755.5303333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1014,588.5,576,581.4773611111111,"{""type"":""MultiPoint"",""coordinates"":[]}"
1015,555.5,571,558.0251666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1016,526.0,471,504.6073333333332,"{""type"":""MultiPoint"",""coordinates"":[]}"
1017,526.0,491,504.03983333333315,"{""type"":""MultiPoint"",""coordinates"":[]}"
1018,576.0,620,577.148514069264,"{""type"":""MultiPoint"",""coordinates"":[]}"
1019,689.3333333333334,688,688.8981666666668,"{""type"":""MultiPoint"",""coordinates"":[]}"
1020,575.6666666666666,590,573.9834999999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1021,489.0,498,483.6661208513708,"{""type"":""MultiPoint"",""coordinates"":[]}"
1022,592.0,613,599.2833333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1023,481.6666666666667,473,463.71529300524026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1024,689.3333333333334,684,686.8396428571431,"{""type"":""MultiPoint"",""coordinates"":[]}"
1025,545.0,529,548.3647811355311,"{""type"":""MultiPoint"",""coordinates"":[]}"
1026,667.6666666666666,695,660.6031666666665,"{""type"":""MultiPoint"",""coordinates"":[]}"
1027,0.0,0,1.3623295736964922,"{""type"":""MultiPoint"",""coordinates"":[]}"
1028,443.0,440,446.42372835497844,"{""type"":""MultiPoint"",""coordinates"":[]}"
1029,532.3333333333334,542,527.873,"{""type"":""MultiPoint"",""coordinates"":[]}"
1030,515.0,527,523.9243571428572,"{""type"":""MultiPoint"",""coordinates"":[]}"
1031,737.3333333333334,725,734.3483333333332,"{""type"":""MultiPoint"",""coordinates"":[]}"
1032,435.0,434,430.3026298701301,"{""type"":""MultiPoint"",""coordinates"":[]}"
1033,460.0,480,458.9734558424032,"{""type"":""MultiPoint"",""coordinates"":[]}"
1034,782.5,765,766.75,"{""type"":""MultiPoint"",""coordinates"":[]}"
1035,422.5,411,421.9484518814518,"{""type"":""MultiPoint"",""coordinates"":[]}"
1036,705.5,732,700.1156666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1037,511.0,494,495.40428735153733,"{""type"":""MultiPoint"",""coordinates"":[]}"
1038,760.6666666666666,729,755.2908333333331,"{""type"":""MultiPoint"",""coordinates"":[]}"
1039,611.0,602,611.4395555555554,"{""type"":""MultiPoint"",""coordinates"":[]}"
1040,605.0,561,588.6505,"{""type"":""MultiPoint"",""coordinates"":[]}"
1041,619.5,677,619.8596666666665,"{""type"":""MultiPoint"",""coordinates"":[]}"
1042,545.0,504,524.1106111111111,"{""type"":""MultiPoint"",""coordinates"":[]}"
1043,660.6666666666666,669,664.9196428571429,"{""type"":""MultiPoint"",""coordinates"":[]}"
1044,715.5,702,697.0973333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1045,548.5,537,539.8615906593407,"{""type"":""MultiPoint"",""coordinates"":[]}"
1046,441.5,445,454.8343980463979,"{""type"":""MultiPoint"",""coordinates"":[]}"
1047,543.0,533,517.0480873015874,"{""type"":""MultiPoint"",""coordinates"":[]}"
1048,678.5,675,676.9681666666665,"{""type"":""MultiPoint"",""coordinates"":[]}"
1049,398.6666666666667,405,389.8651190476189,"{""type"":""MultiPoint"",""coordinates"":[]}"
1050,441.5,451,452.78018376068377,"{""type"":""MultiPoint"",""coordinates"":[]}"
1051,737.3333333333334,714,734.4108333333332,"{""type"":""MultiPoint"",""coordinates"":[]}"
1052,356.3333333333333,381,361.7173333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1053,626.5,628,610.9956666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1054,446.3333333333333,444,440.98927150627156,"{""type"":""MultiPoint"",""coordinates"":[]}"
1055,557.5,546,551.6687692307692,"{""type"":""MultiPoint"",""coordinates"":[]}"
1056,502.3333333333333,557,507.61433333333326,"{""type"":""MultiPoint"",""coordinates"":[]}"
1057,403.5,408,417.4301904761904,"{""type"":""MultiPoint"",""coordinates"":[]}"
1058,384.0,375,375.0562619047619,"{""type"":""MultiPoint"",""coordinates"":[]}"
1059,605.0,577,587.1669999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1060,629.0,614,613.2746507936507,"{""type"":""MultiPoint"",""coordinates"":[]}"
1061,468.0,442,435.3396666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1062,739.0,745,737.8956666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1063,489.5,488,504.4923809523807,"{""type"":""MultiPoint"",""coordinates"":[]}"
1064,532.3333333333334,528,522.3998333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
1065,408.5,401,414.85179531579524,"{""type"":""MultiPoint"",""coordinates"":[]}"
1066,583.6666666666666,571,577.2781807359308,"{""type"":""MultiPoint"",""coordinates"":[]}"
1067,621.5,616,613.4448333333331,"{""type"":""MultiPoint"",""coordinates"":[]}"
1068,529.5,504,539.9994999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1069,387.5,388,388.184242063492,"{""type"":""MultiPoint"",""coordinates"":[]}"
1070,598.3333333333334,578,574.8331071428572,"{""type"":""MultiPoint"",""coordinates"":[]}"
1071,428.3333333333333,409,414.90136782661773,"{""type"":""MultiPoint"",""coordinates"":[]}"
1072,481.6666666666667,477,464.73543942826166,"{""type"":""MultiPoint"",""coordinates"":[]}"
1073,530.5,517,517.4148095238094,"{""type"":""MultiPoint"",""coordinates"":[]}"
1074,796.0,794,785.0583333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1075,478.6666666666667,476,487.83148088023086,"{""type"":""MultiPoint"",""coordinates"":[]}"
1076,645.0,627,641.684119047619,"{""type"":""MultiPoint"",""coordinates"":[]}"
1077,534.0,531,530.3499761904761,"{""type"":""MultiPoint"",""coordinates"":[]}"
1078,518.0,499,516.1920119047619,"{""type"":""MultiPoint"",""coordinates"":[]}"
1079,502.5,511,520.1529761904762,"{""type"":""MultiPoint"",""coordinates"":[]}"
1080,629.0,585,614.7985555555555,"{""type"":""MultiPoint"",""coordinates"":[]}"
1081,661.5,664,666.9832196969697,"{""type"":""MultiPoint"",""coordinates"":[]}"
