system:index,cart_estimatefCOVER,estimatefCOVER,rf_estimatefCOVER,.geo
0,647.0,649,624.3733333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,580.6666666666666,573,603.1916666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,762.0,772,763.0583333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,388.0,362,392.4216666666668,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,478.5,473,474.1016666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,388.5,386,378.98166666666657,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,359.0,362,385.5300000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.0,0,1.1789673600609667,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,523.5,528,526.1816666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,426.5,427,425.53166666666664,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,551.0,556,567.2333333333335,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,436.5,436,430.3283333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.0,0,1.1789673600609667,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,460.0,454,461.79166666666674,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,658.5,659,660.5000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,481.3333333333333,484,469.9383333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,467.5,468,473.9599999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.0,0,1.1789673600609667,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,633.3333333333334,642,632.9016666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,654.5,654,667.2816666666668,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,711.0,709,689.6649999999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,617.0,615,604.645,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,495.0,492,498.96833333333336,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,513.0,509,511.88,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,421.5,402,398.3383333333332,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,368.5,368,367.75166666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,420.5,420,406.39500000000015,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,544.0,536,574.2466666666669,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,377.0,379,383.35999999999984,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,520.0,523,519.125,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,435.3333333333333,434,435.855,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,711.6666666666666,714,719.6166666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,677.6666666666666,681,675.8566666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.0,0,1.1789673600609667,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,665.0,663,653.4633333333335,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,610.0,615,592.4850000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,424.0,427,426.48833333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,482.5,492,492.2366666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,610.0,605,591.9316666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,730.5,723,712.6600000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.0,0,1.1789673600609667,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,564.0,547,569.6866666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,578.6666666666666,577,568.8266666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,676.0,679,685.7883333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,412.0,407,408.11333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,516.0,519,529.6333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,656.3333333333334,666,658.8216666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,767.3333333333334,761,766.1466666666669,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,420.3333333333333,412,416.71833333333336,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,560.5,564,545.2299999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,402.0,405,399.71999999999986,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,631.5,633,631.1216666666664,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,386.0,388,388.61000000000007,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,427.0,432,433.8716666666668,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,585.5,580,589.3666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,401.0,402,404.3766666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,522.5,521,512.8683333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,574.0,579,597.86,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,742.3333333333334,742,751.0033333333331,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,580.6666666666666,594,610.31,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,704.5,703,700.3083333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,424.0,421,420.2750000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,469.6666666666667,465,457.52,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,590.0,593,587.7466666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,570.5,580,559.8516666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,518.5,515,512.325,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,526.0,517,524.7116666666668,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,582.5,590,583.4166666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,382.3333333333333,393,395.7366666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,437.0,440,442.34333333333336,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,355.3333333333333,359,358.0816666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,421.0,422,427.8516666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,657.3333333333334,657,671.3383333333335,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,573.5,571,568.4966666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,550.6666666666666,564,539.7099999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,393.3333333333333,400,398.30666666666656,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,613.0,617,599.1000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,558.3333333333334,592,576.8533333333332,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,646.6666666666666,662,647.4816666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,425.0,424,423.51666666666665,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,668.0,656,655.1249999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,642.0,637,643.4116666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,767.3333333333334,759,765.1400000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,651.5,649,644.3433333333332,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,376.5,381,387.37333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,611.3333333333334,614,624.0666666666668,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,388.0,395,401.29333333333335,"{""type"":""MultiPoint"",""coordinates"":[]}"
