system:index,B4,B8,GVI,NDVI3,RDVI,estimateLAI,.geo
0_27,2064.0,3198.0,0.9405339805825244,2064.3545966228894,15.63283099086834,0.107,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_41,2024.0,3041.0,0.8531383302864106,2024.3344294639921,14.28996707252539,0.124,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_61,2242.0,3337.0,0.9583333333333333,2242.3281390470484,14.660066437354942,0.164,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_64,1852.0,2706.0,0.9287241625089095,1852.3155949741315,12.649422840626578,0.016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_77,2017.0,3071.0,0.8782874617737002,2017.34321068056,14.776346260325369,0.15,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_88,2113.0,3452.0,1.0081442699243746,2113.387891077636,17.949319688184378,0.215,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_93,2261.0,3477.0,1.019163763066202,2261.3497267759562,16.052892706251125,0.204,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_112,2298.0,3302.0,0.7498675145733968,2298.304058146578,13.416514344003703,0.079,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_114,1909.0,3161.0,1.0741469816272966,1909.3960771907625,17.58329851272995,0.254,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_138,2083.0,3148.0,0.9987301587301587,2083.3383100381193,14.725065922802951,0.189,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_168,2128.0,3347.0,1.0334143377885785,2128.3642067523156,16.474477285379468,0.255,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_180,1672.0,2465.0,0.9078947368421053,1672.3217038539553,12.329073080582644,0.025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_249,2005.0,3253.0,1.0523659305993691,2005.383645865355,17.210928264643254,0.263,"{""type"":""MultiPoint"",""coordinates"":[]}"
