system:index,cart_estimateLAI,estimateLAI,rf_estimateLAI,.geo
1001,260.3333333333333,85,254.32249999999996,"{""type"":""MultiPoint"",""coordinates"":[]}"
1002,2373.0,2625,2339.883333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1003,-84.5,9,-34.48666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1004,4938.333333333333,4994,4149.54,"{""type"":""MultiPoint"",""coordinates"":[]}"
1005,4473.5,3977,4264.338333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
1006,1897.0,1863,1781.2508333333328,"{""type"":""MultiPoint"",""coordinates"":[]}"
1007,833.0,731,764.1563333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
1008,4473.5,4686,4577.255833333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1009,1284.5,1322,1224.0125,"{""type"":""MultiPoint"",""coordinates"":[]}"
1010,451.0,390,418.36254761904763,"{""type"":""MultiPoint"",""coordinates"":[]}"
1011,-65.33333333333333,-47,-54.38,"{""type"":""MultiPoint"",""coordinates"":[]}"
1012,2911.5,2277,2542.2574999999993,"{""type"":""MultiPoint"",""coordinates"":[]}"
1014,3311.5,2899,3467.367500000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1015,0.0,0,1.0018045939268851,"{""type"":""MultiPoint"",""coordinates"":[]}"
1016,0.0,0,1.0018045939268851,"{""type"":""MultiPoint"",""coordinates"":[]}"
1017,-269.0,-404,-143.895,"{""type"":""MultiPoint"",""coordinates"":[]}"
1018,1882.0,1630,1794.635833333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
1019,2701.5,3114,2765.2241666666655,"{""type"":""MultiPoint"",""coordinates"":[]}"
1020,2239.6666666666665,2484,2362.0024999999996,"{""type"":""MultiPoint"",""coordinates"":[]}"
1021,3167.0,2898,2897.1550000000007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1022,3489.5,3333,3266.749,"{""type"":""MultiPoint"",""coordinates"":[]}"
1023,734.5,738,717.3023333333335,"{""type"":""MultiPoint"",""coordinates"":[]}"
1024,2551.5,2168,2636.182666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1025,3035.0,2553,2783.1875000000014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1026,4738.5,4174,3790.6116666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1027,4133.5,3667,4554.401666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1028,5629.5,5961,4958.916666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
1029,3484.5,3823,3192.343333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
1030,1214.5,1227,1274.144166666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1031,293.0,222,261.54916666666674,"{""type"":""MultiPoint"",""coordinates"":[]}"
1032,1703.3333333333333,1385,1544.2878571428573,"{""type"":""MultiPoint"",""coordinates"":[]}"
1033,308.0,281,325.74866666666674,"{""type"":""MultiPoint"",""coordinates"":[]}"
1034,1589.0,1791,1762.4191666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
1035,1340.5,1158,1245.211666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1036,2899.0,2971,3106.126,"{""type"":""MultiPoint"",""coordinates"":[]}"
1037,1827.6666666666667,1931,1887.2775000000006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1038,1340.5,1311,1369.3883333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1039,-385.0,-271,-153.98166666666668,"{""type"":""MultiPoint"",""coordinates"":[]}"
1040,3035.0,3089,2767.4933333333342,"{""type"":""MultiPoint"",""coordinates"":[]}"
1041,1879.5,2262,1961.6933333333332,"{""type"":""MultiPoint"",""coordinates"":[]}"
1042,-16.5,54,15.688750000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1043,3489.5,3126,3109.813333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1044,0.0,0,1.0018045939268851,"{""type"":""MultiPoint"",""coordinates"":[]}"
1045,2373.0,2467,2367.1158333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1046,2558.5,2391,2320.7666666666664,"{""type"":""MultiPoint"",""coordinates"":[]}"
1047,1862.5,1779,1853.8583333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1048,2695.0,3155,2754.3591666666675,"{""type"":""MultiPoint"",""coordinates"":[]}"
1049,1196.5,1217,1278.8216666666665,"{""type"":""MultiPoint"",""coordinates"":[]}"
1050,-16.5,41,42.00625000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1051,157.66666666666666,282,155.3695634920635,"{""type"":""MultiPoint"",""coordinates"":[]}"
1052,1284.5,1228,1219.5583333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
1053,2914.0,2423,2914.275,"{""type"":""MultiPoint"",""coordinates"":[]}"
1054,4738.5,4772,4378.951666666668,"{""type"":""MultiPoint"",""coordinates"":[]}"
1055,-16.5,12,10.582083333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1056,2978.5,3832,3141.915,"{""type"":""MultiPoint"",""coordinates"":[]}"
1057,717.5,732,677.3066666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1058,2914.0,2109,2715.6443333333327,"{""type"":""MultiPoint"",""coordinates"":[]}"
1059,384.0,460,438.8982564102564,"{""type"":""MultiPoint"",""coordinates"":[]}"
1060,758.0,1079,802.945,"{""type"":""MultiPoint"",""coordinates"":[]}"
1061,640.0,521,496.0416666666668,"{""type"":""MultiPoint"",""coordinates"":[]}"
1062,552.6666666666666,476,541.0734166666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
1063,2409.5,3124,2699.014999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1064,1675.6666666666667,1580,1607.5058333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
1065,1748.3333333333333,1759,1791.9716666666673,"{""type"":""MultiPoint"",""coordinates"":[]}"
1066,0.0,0,1.0018045939268851,"{""type"":""MultiPoint"",""coordinates"":[]}"
1067,-269.0,-137,-135.62500000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1068,1897.0,1637,1747.4808333333335,"{""type"":""MultiPoint"",""coordinates"":[]}"
1069,4133.5,4679,4938.786666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
1070,-269.0,-294,-96.76666666666664,"{""type"":""MultiPoint"",""coordinates"":[]}"
1071,-51.0,-152,-113.17083333333338,"{""type"":""MultiPoint"",""coordinates"":[]}"
1072,3906.5,3597,3709.730833333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1073,0.0,0,1.0018045939268851,"{""type"":""MultiPoint"",""coordinates"":[]}"
1074,3306.0,3132,3234.867666666668,"{""type"":""MultiPoint"",""coordinates"":[]}"
1075,2576.5,2796,2704.6683333333335,"{""type"":""MultiPoint"",""coordinates"":[]}"
1076,3035.0,2415,2861.8175,"{""type"":""MultiPoint"",""coordinates"":[]}"
1077,2264.6666666666665,2855,2314.0866666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
1078,3335.5,2478,3138.146666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
1079,585.0,574,560.78,"{""type"":""MultiPoint"",""coordinates"":[]}"
1080,310.0,515,372.06883333333326,"{""type"":""MultiPoint"",""coordinates"":[]}"
1081,2787.5,3038,2956.1345,"{""type"":""MultiPoint"",""coordinates"":[]}"
1082,2802.0,2736,2560.131833333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
1083,0.0,0,1.0018045939268851,"{""type"":""MultiPoint"",""coordinates"":[]}"
1084,1658.0,1779,1726.2924999999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1085,1624.0,1711,1690.3116666666665,"{""type"":""MultiPoint"",""coordinates"":[]}"
1086,1334.0,1397,1414.6426666666669,"{""type"":""MultiPoint"",""coordinates"":[]}"
1087,0.0,0,1.0018045939268851,"{""type"":""MultiPoint"",""coordinates"":[]}"
1088,1523.0,1743,1623.8183333333336,"{""type"":""MultiPoint"",""coordinates"":[]}"
1089,1764.0,1588,1623.19,"{""type"":""MultiPoint"",""coordinates"":[]}"
1090,2941.0,2502,2686.295,"{""type"":""MultiPoint"",""coordinates"":[]}"
1091,2524.5,3110,2792.7191666666663,"{""type"":""MultiPoint"",""coordinates"":[]}"
1092,5514.0,5749,4795.830833333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
1093,1897.0,1662,1778.6941666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1094,2235.0,2196,2285.6373333333336,"{""type"":""MultiPoint"",""coordinates"":[]}"
1095,3311.5,3182,3462.4283333333337,"{""type"":""MultiPoint"",""coordinates"":[]}"
1096,2412.6666666666665,2757,2870.6233333333325,"{""type"":""MultiPoint"",""coordinates"":[]}"
1097,1029.6666666666667,814,871.2741666666668,"{""type"":""MultiPoint"",""coordinates"":[]}"
1098,312.3333333333333,174,333.92999999999995,"{""type"":""MultiPoint"",""coordinates"":[]}"
1099,3484.5,3033,3364.9666666666676,"{""type"":""MultiPoint"",""coordinates"":[]}"
1100,1229.0,1273,1467.51,"{""type"":""MultiPoint"",""coordinates"":[]}"
1101,1691.3333333333333,1928,1745.6608333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
1102,1358.6666666666667,1189,1256.0599999999997,"{""type"":""MultiPoint"",""coordinates"":[]}"
1103,5023.0,6472,5147.32,"{""type"":""MultiPoint"",""coordinates"":[]}"
1104,3644.6666666666665,3818,4338.926666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
1105,3467.5,3740,3329.8641666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1106,2807.5,2448,2794.1425000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1107,715.0,877,668.6566666666665,"{""type"":""MultiPoint"",""coordinates"":[]}"
1108,4582.5,4829,4734.276666666665,"{""type"":""MultiPoint"",""coordinates"":[]}"
1109,1193.6666666666667,1094,1115.9341666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1110,2807.5,2859,3121.250833333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1111,1298.0,1341,1300.8633333333332,"{""type"":""MultiPoint"",""coordinates"":[]}"
1112,-385.0,-327,-145.54500000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1113,157.66666666666666,466,203.68894444444442,"{""type"":""MultiPoint"",""coordinates"":[]}"
1114,3539.0,2987,3243.0233333333335,"{""type"":""MultiPoint"",""coordinates"":[]}"
1115,1764.0,1778,1684.4716666666668,"{""type"":""MultiPoint"",""coordinates"":[]}"
1116,2570.0,2946,2760.5291666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1117,2914.0,3262,2723.220166666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
1118,734.5,616,665.9226666666669,"{""type"":""MultiPoint"",""coordinates"":[]}"
1119,2701.5,2753,2765.2958333333327,"{""type"":""MultiPoint"",""coordinates"":[]}"
1120,0.0,0,1.0018045939268851,"{""type"":""MultiPoint"",""coordinates"":[]}"
1121,1041.0,873,1035.1278333333335,"{""type"":""MultiPoint"",""coordinates"":[]}"
1122,1562.3333333333333,1992,1766.6891666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
1123,2978.5,2647,2945.4058333333323,"{""type"":""MultiPoint"",""coordinates"":[]}"
1124,4133.5,3836,4476.828333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
1125,0.0,0,1.0018045939268851,"{""type"":""MultiPoint"",""coordinates"":[]}"
1126,2624.0,2903,2560.665,"{""type"":""MultiPoint"",""coordinates"":[]}"
1127,1565.3333333333333,1742,1771.7058333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
1128,3149.5,2835,3019.1883333333335,"{""type"":""MultiPoint"",""coordinates"":[]}"
1129,2973.3333333333335,2484,2710.7383333333337,"{""type"":""MultiPoint"",""coordinates"":[]}"
1130,3644.6666666666665,3679,3681.9449999999993,"{""type"":""MultiPoint"",""coordinates"":[]}"
1131,1041.0,1077,1041.8666666666668,"{""type"":""MultiPoint"",""coordinates"":[]}"
1132,1085.0,1038,1101.4108333333338,"{""type"":""MultiPoint"",""coordinates"":[]}"
1133,2723.5,2869,2638.810833333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
1134,2315.6666666666665,1773,2133.7316666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
1135,4247.5,3466,3958.8641666666676,"{""type"":""MultiPoint"",""coordinates"":[]}"
1136,1298.0,1210,1322.523333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1137,985.0,1164,1097.4678333333331,"{""type"":""MultiPoint"",""coordinates"":[]}"
1138,2807.5,2848,2621.951666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1139,1455.5,1440,1407.3666666666668,"{""type"":""MultiPoint"",""coordinates"":[]}"
1140,451.0,367,422.6763333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
1141,2264.6666666666665,2292,2395.516833333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1142,1808.5,1403,1664.7866666666662,"{""type"":""MultiPoint"",""coordinates"":[]}"
1143,5924.5,4736,5020.0633333333335,"{""type"":""MultiPoint"",""coordinates"":[]}"
1144,2045.6666666666667,1919,1973.3558333333335,"{""type"":""MultiPoint"",""coordinates"":[]}"
1145,2963.3333333333335,3100,2974.9076666666674,"{""type"":""MultiPoint"",""coordinates"":[]}"
1146,713.5,1000,857.21,"{""type"":""MultiPoint"",""coordinates"":[]}"
1147,615.6666666666666,740,636.0043333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1148,3226.5,3084,3391.989333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
1149,3456.5,3027,2980.097,"{""type"":""MultiPoint"",""coordinates"":[]}"
1150,418.5,268,322.98966666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
1151,615.6666666666666,600,617.0509999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1152,1710.0,1384,1530.7286904761904,"{""type"":""MultiPoint"",""coordinates"":[]}"
1153,-54.666666666666664,63,41.76291666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1154,3311.6666666666665,3454,3153.7885000000006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1155,2052.5,2040,2204.7383333333332,"{""type"":""MultiPoint"",""coordinates"":[]}"
1156,3351.0,2800,3385.0323333333345,"{""type"":""MultiPoint"",""coordinates"":[]}"
1157,-69.66666666666667,-77,-106.55166666666668,"{""type"":""MultiPoint"",""coordinates"":[]}"
1158,3261.0,3007,3251.8058333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1159,4368.333333333333,5022,4544.5525,"{""type"":""MultiPoint"",""coordinates"":[]}"
1160,1100.0,954,1065.3058333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1161,5013.666666666667,4285,4759.5008333333335,"{""type"":""MultiPoint"",""coordinates"":[]}"
1162,142.0,61,100.25866666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1163,288.3333333333333,294,267.3185000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1164,2708.5,2406,2831.489333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1165,2524.5,2860,2766.725166666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
1166,-36.666666666666664,-203,-7.783156862745102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1167,1658.0,1808,1743.4258333333335,"{""type"":""MultiPoint"",""coordinates"":[]}"
1168,2315.6666666666665,1819,2083.2716666666665,"{""type"":""MultiPoint"",""coordinates"":[]}"
1169,457.6666666666667,430,488.8815833333332,"{""type"":""MultiPoint"",""coordinates"":[]}"
1170,355.0,440,390.15549999999996,"{""type"":""MultiPoint"",""coordinates"":[]}"
1171,2172.0,2119,2101.318333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1172,670.3333333333334,824,613.7113333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
1173,3010.0,2615,2977.065333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
1174,253.0,277,306.1961666666668,"{""type"":""MultiPoint"",""coordinates"":[]}"
1175,355.0,381,375.71688095238096,"{""type"":""MultiPoint"",""coordinates"":[]}"
1176,289.0,287,349.41433333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1177,2683.5,2321,2567.201833333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
1178,3467.5,3357,3316.8583333333327,"{""type"":""MultiPoint"",""coordinates"":[]}"
1179,2935.0,2461,2735.302499999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1180,2624.6666666666665,3027,2730.788333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1181,19.5,128,67.69208333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
1182,-54.666666666666664,-141,-38.40875,"{""type"":""MultiPoint"",""coordinates"":[]}"
