system:index,cart_estimatefAPAR,estimatefAPAR,rf_estimatefAPAR,.geo
1001,126.0,95,120.166595299177,"{""type"":""MultiPoint"",""coordinates"":[]}"
1002,648.0,683,648.9144354829814,"{""type"":""MultiPoint"",""coordinates"":[]}"
1003,28.5,39,78.03307330141553,"{""type"":""MultiPoint"",""coordinates"":[]}"
1004,845.0,862,813.8362369354754,"{""type"":""MultiPoint"",""coordinates"":[]}"
1005,828.3333333333334,857,847.0132901775803,"{""type"":""MultiPoint"",""coordinates"":[]}"
1006,494.5,562,544.3110708386362,"{""type"":""MultiPoint"",""coordinates"":[]}"
1007,280.5,257,256.54097558439776,"{""type"":""MultiPoint"",""coordinates"":[]}"
1008,886.5,923,864.9828733582885,"{""type"":""MultiPoint"",""coordinates"":[]}"
1009,416.0,462,352.53482016718067,"{""type"":""MultiPoint"",""coordinates"":[]}"
1010,189.0,155,176.94977807440952,"{""type"":""MultiPoint"",""coordinates"":[]}"
1011,85.33333333333333,68,82.07510513165425,"{""type"":""MultiPoint"",""coordinates"":[]}"
1012,683.5,648,670.7757504172031,"{""type"":""MultiPoint"",""coordinates"":[]}"
1014,795.5,725,763.2052019680242,"{""type"":""MultiPoint"",""coordinates"":[]}"
1015,0.0,0,18.10939364119552,"{""type"":""MultiPoint"",""coordinates"":[]}"
1016,0.0,0,18.10939364119552,"{""type"":""MultiPoint"",""coordinates"":[]}"
1017,-31.666666666666668,15,54.57779790528798,"{""type"":""MultiPoint"",""coordinates"":[]}"
1018,600.0,531,575.425954005392,"{""type"":""MultiPoint"",""coordinates"":[]}"
1019,682.3333333333334,707,680.0524712608877,"{""type"":""MultiPoint"",""coordinates"":[]}"
1020,605.0,635,615.3502913947685,"{""type"":""MultiPoint"",""coordinates"":[]}"
1021,749.5,700,714.536773079054,"{""type"":""MultiPoint"",""coordinates"":[]}"
1022,772.0,807,762.8943126814017,"{""type"":""MultiPoint"",""coordinates"":[]}"
1023,250.0,259,253.4708764348345,"{""type"":""MultiPoint"",""coordinates"":[]}"
1024,707.0,638,674.1336788791582,"{""type"":""MultiPoint"",""coordinates"":[]}"
1025,698.5,688,706.2891325506495,"{""type"":""MultiPoint"",""coordinates"":[]}"
1026,766.5,796,770.1322039691971,"{""type"":""MultiPoint"",""coordinates"":[]}"
1027,934.5,871,878.408985897114,"{""type"":""MultiPoint"",""coordinates"":[]}"
1028,891.5,919,880.72683924425,"{""type"":""MultiPoint"",""coordinates"":[]}"
1029,703.3333333333334,759,709.7983236338744,"{""type"":""MultiPoint"",""coordinates"":[]}"
1030,436.0,377,352.2504105375998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1031,134.33333333333334,120,122.18060695145499,"{""type"":""MultiPoint"",""coordinates"":[]}"
1032,437.0,423,487.4612585040865,"{""type"":""MultiPoint"",""coordinates"":[]}"
1033,134.5,109,156.09691320628372,"{""type"":""MultiPoint"",""coordinates"":[]}"
1034,615.5,605,569.0935305427371,"{""type"":""MultiPoint"",""coordinates"":[]}"
1035,421.0,376,376.30641901278466,"{""type"":""MultiPoint"",""coordinates"":[]}"
1036,752.0,722,735.1488905555021,"{""type"":""MultiPoint"",""coordinates"":[]}"
