system:index,B4,EVI2,GVI,NDVI,RDVI,estimatefCOVER,.geo
0_27,2064.0,0.34774182469396264,0.9405339805825244,0.21550741163055873,15.63283099086834,0.059,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_41,2024.0,0.32185173932857364,0.8531383302864106,0.20078973346495557,14.28996707252539,0.052,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_61,2242.0,0.3139766940404643,0.9583333333333333,0.19627173328553504,14.660066437354942,0.032,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_64,1852.0,0.2985262451410834,0.9287241625089095,0.18736287845546293,12.649422840626578,0.011,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_77,2017.0,0.3330047517945607,0.8782874617737002,0.20715408805031446,14.776346260325369,0.068,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_88,2113.0,0.3927054738274559,1.0081442699243746,0.24061096136567833,17.949319688184378,0.084,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_93,2261.0,0.34140424958447513,1.019163763066202,0.2119205298013245,16.052892706251125,0.04,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_112,2298.0,0.28463858837404454,0.7498675145733968,0.1792857142857143,13.416514344003703,0.049,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_114,1909.0,0.40420476264269856,1.0741469816272966,0.24694280078895464,17.58329851272995,0.089,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_138,2083.0,0.32675928425910017,0.9987301587301587,0.20359395909004013,14.725065922802951,0.058,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_168,2128.0,0.36042908506008137,1.0334143377885785,0.22264840182648402,16.474477285379468,0.075,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_180,1672.0,0.3059980243254924,0.9078947368421053,0.19168479574570946,12.329073080582644,0.03,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_211,2250.0,0.263911620294599,0.7703537338573836,0.167129372570794,12.284861555240537,0.019,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_249,2005.0,0.3868088271757997,1.0523659305993691,0.23735260555344237,17.210928264643254,0.086,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_276,1905.0,0.3019815418023887,0.911764705882353,0.18936170212765957,12.981984243312615,0.018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_291,2066.0,0.292809209038128,0.7200229489386116,0.18404423380726698,13.096916656540685,0.016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_296,2162.0,0.3467747604208159,0.904382470119522,0.214960058097313,15.953454446834346,0.047,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_320,2233.0,0.3003986002641885,0.7477284874398717,0.188442667635835,13.979093187269369,0.025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_325,2053.0,0.38786426565979276,1.0138888888888888,0.23793615441722346,17.465226879799772,0.085,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_414,1924.0,0.38309217508347787,0.9185185185185185,0.23529411764705882,16.69096268326419,0.094,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_471,1794.0,0.35419832292194275,0.9330572808833679,0.2191512513601741,14.855480810788162,0.047,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_472,2065.0,0.389009139009139,1.0954460386774798,0.2385693215339233,17.57010819730194,0.078,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_482,1955.0,0.3571428571428571,0.9534438775510203,0.22080510163411718,15.64135712176542,0.053,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_501,2019.0,0.3419835043250855,0.8190866510538641,0.21225126804525946,15.196360736480372,0.083,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_503,2252.0,0.36018464702463454,0.963948973932335,0.22250992577248405,16.93562205296079,0.079,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_505,2057.0,0.27711394722123356,0.8113790970933827,0.1748896911351785,12.349243323778007,0.041,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_535,2218.0,0.34242264738191136,0.8097509273979862,0.21249778093378308,15.948662758292254,0.094,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_542,1879.0,0.3651805522144709,0.9578392621870884,0.22531436817151104,15.69294760111884,0.076,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_543,2258.0,0.34953283592122064,1.0757844878626406,0.21651630811936157,16.438137136943567,0.073,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_560,1585.0,0.3600921073527076,0.984076433121019,0.22246750061319598,14.20485913538634,0.052,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_570,2074.0,0.26295422249289485,0.773365913255956,0.16656620454088808,11.750888628712138,0.023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_582,1729.0,0.36896891672465787,0.926367461430575,0.22743521000893654,15.216078462898956,0.071,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_585,2235.0,0.38135593220338987,1.0802540415704387,0.2343268242548818,17.904164196652083,0.087,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_610,2092.0,0.34163450569188575,1.00373599003736,0.2120527306967985,15.452228796021469,0.058,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_617,2138.0,0.3468108799696725,0.8854700854700854,0.2149807233339453,15.866393006100974,0.092,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_622,2192.0,0.3283493380570576,0.8614694335389792,0.20450009072763564,15.18129119179411,0.05,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_632,2088.0,0.1921026627834408,0.534364261168385,0.12397734424166142,8.559825374785511,0.017,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_655,2108.0,0.3220631486837947,0.9199999999999999,0.20090978013646701,14.593298699905208,0.074,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_657,2215.0,0.320097244732577,0.8720405862457723,0.19978323699421965,14.864732090273504,0.069,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_677,2378.0,0.30819021597710117,0.8607728957120169,0.19294077719328015,14.811268131688102,0.062,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_687,1830.0,0.4178934689507495,1.124913733609386,0.2544306376044001,17.82649338394671,0.085,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_712,2174.0,0.23694070972007936,0.5943753380205516,0.1511128465443186,10.8148667687264,0.041,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_721,2015.0,0.33712121212121215,0.9054388133498146,0.2094939191839937,14.957924511392124,0.033,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_738,2214.0,0.3527995801770558,0.9936452917388792,0.21835834068843776,16.435001290891265,0.057,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_752,1972.0,0.3102223151075002,0.9558232931726907,0.19411524315488354,13.579745247873369,0.035,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_766,2064.0,0.3256047387726777,0.9468749999999999,0.20293492952307396,14.60426687405947,0.047,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_783,1873.0,0.39606511455828336,1.10989010989011,0.24246713852376137,17.050457445182808,0.071,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_796,2402.0,0.2656256838972294,0.8411572052401746,0.16813852813852814,12.777421916118714,0.027,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_806,1929.0,0.35314062786374467,0.9110546378653113,0.21855377759773142,15.356416444859528,0.087,"{""type"":""MultiPoint"",""coordinates"":[]}"
