system:index,cart_estimatefCOVER,estimatefCOVER,rf_estimatefCOVER,.geo
1001,100.5,48,87.45189861331663,"{""type"":""MultiPoint"",""coordinates"":[]}"
1002,681.6666666666666,691,658.790896362678,"{""type"":""MultiPoint"",""coordinates"":[]}"
1003,-4.0,1,41.353599830134215,"{""type"":""MultiPoint"",""coordinates"":[]}"
1004,850.0,870,830.5230100961858,"{""type"":""MultiPoint"",""coordinates"":[]}"
1005,856.0,876,869.1479034313576,"{""type"":""MultiPoint"",""coordinates"":[]}"
1006,511.6666666666667,564,547.9666544596286,"{""type"":""MultiPoint"",""coordinates"":[]}"
1007,264.0,239,229.49893189359508,"{""type"":""MultiPoint"",""coordinates"":[]}"
1008,908.0,946,883.5436085595626,"{""type"":""MultiPoint"",""coordinates"":[]}"
1009,369.0,464,339.1523809545556,"{""type"":""MultiPoint"",""coordinates"":[]}"
1010,160.0,131,158.34296996609532,"{""type"":""MultiPoint"",""coordinates"":[]}"
1011,67.66666666666667,31,47.564613871648255,"{""type"":""MultiPoint"",""coordinates"":[]}"
1012,712.5,674,690.4697576927787,"{""type"":""MultiPoint"",""coordinates"":[]}"
1014,770.0,741,780.7988647088017,"{""type"":""MultiPoint"",""coordinates"":[]}"
1015,0.0,0,23.145350268103385,"{""type"":""MultiPoint"",""coordinates"":[]}"
1016,0.0,0,23.145350268103385,"{""type"":""MultiPoint"",""coordinates"":[]}"
1017,-67.0,-32,26.144424632653973,"{""type"":""MultiPoint"",""coordinates"":[]}"
1018,551.5,531,575.6657106143107,"{""type"":""MultiPoint"",""coordinates"":[]}"
1019,700.6666666666666,720,696.5329606477384,"{""type"":""MultiPoint"",""coordinates"":[]}"
1020,617.0,649,622.3337407906829,"{""type"":""MultiPoint"",""coordinates"":[]}"
1021,769.5,712,733.1325637983807,"{""type"":""MultiPoint"",""coordinates"":[]}"
1022,769.5,822,788.5587550568333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1023,236.5,246,236.31924084086143,"{""type"":""MultiPoint"",""coordinates"":[]}"
1024,727.5,650,693.1257790745499,"{""type"":""MultiPoint"",""coordinates"":[]}"
1025,714.5,710,723.5011644716203,"{""type"":""MultiPoint"",""coordinates"":[]}"
1026,762.5,796,780.0122878066758,"{""type"":""MultiPoint"",""coordinates"":[]}"
1027,929.3333333333334,890,911.2163380044959,"{""type"":""MultiPoint"",""coordinates"":[]}"
1028,894.5,930,904.2683116401998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1029,713.6666666666666,757,727.5540034974665,"{""type"":""MultiPoint"",""coordinates"":[]}"
1030,424.5,369,341.54127610057003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1031,77.5,91,102.61280774008867,"{""type"":""MultiPoint"",""coordinates"":[]}"
1032,441.0,417,489.5761023042004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1033,90.0,60,119.8623202143196,"{""type"":""MultiPoint"",""coordinates"":[]}"
1034,615.0,600,569.2428601063314,"{""type"":""MultiPoint"",""coordinates"":[]}"
1035,410.5,373,368.6206595593212,"{""type"":""MultiPoint"",""coordinates"":[]}"
1036,743.3333333333334,741,754.8136557404316,"{""type"":""MultiPoint"",""coordinates"":[]}"
1037,547.5,563,565.7166739384392,"{""type"":""MultiPoint"",""coordinates"":[]}"
1038,428.5,389,441.288955062565,"{""type"":""MultiPoint"",""coordinates"":[]}"
1039,-67.0,-9,26.101310492967638,"{""type"":""MultiPoint"",""coordinates"":[]}"
1040,714.5,752,726.2912809312478,"{""type"":""MultiPoint"",""coordinates"":[]}"
1041,600.3333333333334,631,603.9460301816631,"{""type"":""MultiPoint"",""coordinates"":[]}"
1042,-4.0,35,46.04651901715635,"{""type"":""MultiPoint"",""coordinates"":[]}"
1043,769.5,823,771.5206012277126,"{""type"":""MultiPoint"",""coordinates"":[]}"
1044,0.0,0,23.145350268103385,"{""type"":""MultiPoint"",""coordinates"":[]}"
1045,681.6666666666666,674,665.2996382578182,"{""type"":""MultiPoint"",""coordinates"":[]}"
1046,674.5,666,633.2832063354258,"{""type"":""MultiPoint"",""coordinates"":[]}"
1047,564.0,569,578.2403954329866,"{""type"":""MultiPoint"",""coordinates"":[]}"
1048,714.5,751,738.4804683380905,"{""type"":""MultiPoint"",""coordinates"":[]}"
1049,385.6666666666667,380,391.69120196858205,"{""type"":""MultiPoint"",""coordinates"":[]}"
1050,30.0,32,50.80113925307348,"{""type"":""MultiPoint"",""coordinates"":[]}"
1051,54.666666666666664,116,75.48701639538857,"{""type"":""MultiPoint"",""coordinates"":[]}"
1052,369.0,399,340.1116087099076,"{""type"":""MultiPoint"",""coordinates"":[]}"
1053,713.6666666666666,666,709.8602000735699,"{""type"":""MultiPoint"",""coordinates"":[]}"
1054,850.0,868,837.2241909153665,"{""type"":""MultiPoint"",""coordinates"":[]}"
1055,-4.0,27,40.8386540706993,"{""type"":""MultiPoint"",""coordinates"":[]}"
1056,768.6666666666666,826,784.3344673946694,"{""type"":""MultiPoint"",""coordinates"":[]}"
1057,201.0,240,218.61292235392065,"{""type"":""MultiPoint"",""coordinates"":[]}"
1058,657.0,627,669.7705513310764,"{""type"":""MultiPoint"",""coordinates"":[]}"
1059,116.5,133,148.61747216071265,"{""type"":""MultiPoint"",""coordinates"":[]}"
1060,220.66666666666666,347,255.1220690796254,"{""type"":""MultiPoint"",""coordinates"":[]}"
1061,209.0,143,184.79775342777896,"{""type"":""MultiPoint"",""coordinates"":[]}"
1062,146.0,142,162.13710312565684,"{""type"":""MultiPoint"",""coordinates"":[]}"
1063,671.0,724,719.6629940914007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1064,517.0,489,531.1502616646219,"{""type"":""MultiPoint"",""coordinates"":[]}"
1065,583.3333333333334,553,576.9167099288773,"{""type"":""MultiPoint"",""coordinates"":[]}"
1066,0.0,0,23.145350268103385,"{""type"":""MultiPoint"",""coordinates"":[]}"
1067,13.0,31,27.42146961815618,"{""type"":""MultiPoint"",""coordinates"":[]}"
1068,511.6666666666667,535,546.7042135671877,"{""type"":""MultiPoint"",""coordinates"":[]}"
1069,925.5,919,909.6936659614854,"{""type"":""MultiPoint"",""coordinates"":[]}"
1070,-67.0,-22,26.144424632653973,"{""type"":""MultiPoint"",""coordinates"":[]}"
1071,-5.5,-37,36.7860874706327,"{""type"":""MultiPoint"",""coordinates"":[]}"
1072,807.0,807,788.7202417511866,"{""type"":""MultiPoint"",""coordinates"":[]}"
1073,0.0,0,23.145350268103385,"{""type"":""MultiPoint"",""coordinates"":[]}"
1074,796.0,767,763.7284122200631,"{""type"":""MultiPoint"",""coordinates"":[]}"
1075,708.5,737,727.1313438128107,"{""type"":""MultiPoint"",""coordinates"":[]}"
1076,735.0,701,733.8367768715393,"{""type"":""MultiPoint"",""coordinates"":[]}"
1077,749.0,762,689.2249041380724,"{""type"":""MultiPoint"",""coordinates"":[]}"
1078,793.0,755,760.0869839488712,"{""type"":""MultiPoint"",""coordinates"":[]}"
1079,190.5,204,178.63315856522212,"{""type"":""MultiPoint"",""coordinates"":[]}"
1080,133.33333333333334,165,140.85123286063774,"{""type"":""MultiPoint"",""coordinates"":[]}"
1081,693.0,694,712.3108567270843,"{""type"":""MultiPoint"",""coordinates"":[]}"
1082,692.5,725,688.0467560518213,"{""type"":""MultiPoint"",""coordinates"":[]}"
1083,0.0,0,23.145350268103385,"{""type"":""MultiPoint"",""coordinates"":[]}"
1084,511.6666666666667,554,549.8794701946183,"{""type"":""MultiPoint"",""coordinates"":[]}"
1085,496.5,523,513.710939390932,"{""type"":""MultiPoint"",""coordinates"":[]}"
1086,450.6666666666667,462,479.25770481975394,"{""type"":""MultiPoint"",""coordinates"":[]}"
