system:index,B4,B8,GVI,NDGI,RDVI,estimatefAPAR,.geo
0_2,928.0,2302.0,1.3418107833163786,0.02878074306645735,24.17605703472198,0.279,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12,131.0,1159.0,3.809128630705394,0.2956989247311828,28.621886784430814,0.344,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_38,795.0,2344.0,2.1253333333333333,-0.02912621359223301,27.647493199504172,0.314,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_39,758.0,2011.0,1.5106117353308366,0.027581783194355357,23.811655633809107,0.321,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_62,453.0,1916.0,2.7865612648221343,0.05526590198123045,30.058118742224284,0.329,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_72,189.0,1200.0,3.6511627906976747,0.15436241610738255,27.12689164906213,0.379,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_127,604.0,2270.0,2.5579937304075235,0.027375201288244767,31.076465283272412,0.354,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_175,759.0,2061.0,1.7590361445783134,-0.00796812749003984,24.518078436385792,0.244,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_180,763.0,2166.0,2.0854700854700856,-0.041638225255972695,25.92375958513067,0.245,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_201,750.0,2304.0,1.965250965250965,0.01768172888015717,28.12007651731912,0.27,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_220,68.0,1177.0,7.173611111111111,0.3584905660377358,31.430180160151775,0.38,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_264,713.0,2646.0,2.4633507853403143,0.034529451591062965,33.352381676591584,0.372,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_301,590.0,2465.0,3.067656765676568,0.013377926421404682,33.92311032430969,0.37,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_379,249.0,1551.0,3.158176943699732,0.19935691318327975,30.688434303496162,0.358,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_421,802.0,2345.0,2.3692528735632186,-0.07076101468624833,27.5053740018775,0.232,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_465,85.0,884.0,5.225352112676056,0.2511013215859031,25.66757801981926,0.312,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_485,641.0,2538.0,2.6782608695652175,0.03681442524417731,33.64511886258927,0.376,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_567,804.0,1413.0,0.8350649350649351,-0.021601016518424398,12.934047336940141,0.176,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_570,67.0,854.0,6.426086956521739,0.26373626373626374,25.932531688650162,0.312,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_574,147.0,1022.0,4.378947368421053,0.12759643916913946,25.591797900117903,0.323,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_627,153.0,1022.0,3.624434389140271,0.18181818181818182,25.35133552233407,0.28,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_630,735.0,2286.0,2.3967310549777117,-0.04403409090909091,28.21866313903829,0.237,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_639,645.0,2399.0,2.736760124610592,-0.002331002331002331,31.79122516311504,0.337,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_666,991.0,1639.0,1.1175710594315245,-0.12294617563739377,12.635636730665915,0.051,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_674,832.0,2098.0,2.1739788199697427,-0.1145344943067649,23.388366759111314,0.187,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_680,1293.0,2193.0,1.0457089552238807,-0.09344608879492601,15.24329372026731,0.119,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_689,477.0,1168.0,2.0656167979002626,-0.11188811188811189,17.037077392529135,0.104,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_742,1070.0,1972.0,0.9409448818897639,-0.02588686481303931,16.35411068282733,0.201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_813,110.0,840.0,3.7191011235955056,0.2361111111111111,23.68432748509133,0.266,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_823,748.0,2519.0,2.7429420505200595,-0.05277973258268825,30.984464446509914,0.323,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_826,1024.0,1807.0,1.2672521957340024,-0.12465678198791873,14.71606940364992,0.14,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_847,1344.0,2432.0,1.0165837479270317,-0.05411764705882353,17.705691893392046,0.251,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_856,1201.0,2491.0,1.5418367346938777,-0.10132966529115085,21.23043360232142,0.243,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_866,158.0,1348.0,4.286274509803921,0.23486682808716708,30.664400285789352,0.378,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_881,739.0,2199.0,2.2674591381872213,-0.046742209631728045,26.9356189788792,0.309,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_886,303.0,1382.0,2.8603351955307263,0.0832072617246596,26.285817728384476,0.337,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_887,581.0,2203.0,2.5135566188197767,0.0380794701986755,30.74087566712453,0.315,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_903,184.0,1264.0,3.6300366300366305,0.19474835886214442,28.381769886292382,0.342,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_920,1214.0,2288.0,1.041034790365745,-0.039828693790149895,18.148728781041108,0.196,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_933,170.0,1210.0,4.148936170212766,0.16049382716049382,27.99585890702461,0.337,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_993,826.0,2713.0,2.6514131897711977,-0.05289993626513703,31.719886075577897,0.338,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1006,560.0,2425.0,2.9303079416531603,0.048428207306711976,34.13553142786335,0.358,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1034,607.0,1708.0,2.3490196078431373,-0.08683974932855863,22.882939970306815,0.171,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1076,678.0,2178.0,2.2801204819277108,-0.010432190760059613,28.06804457119199,0.294,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1082,1083.0,2515.0,1.4276061776061777,-0.022180273714016045,23.87329905992146,0.244,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1096,624.0,2570.0,2.6299435028248586,0.06306306306306306,34.433041026598076,0.37,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1137,73.0,993.0,5.576158940397351,0.3482142857142857,28.177939024257686,0.356,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1143,694.0,1850.0,2.008130081300813,-0.060351413292589765,22.919190827254365,0.171,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1158,88.0,820.0,4.655172413793103,0.2446351931330472,24.292273204558974,0.299,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1182,772.0,2092.0,2.0014347202295553,-0.05105513955071477,24.665358060813883,0.243,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1189,1064.0,1775.0,1.1055753262158956,-0.11588883062401678,13.34402676742851,0.107,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1191,894.0,2631.0,2.3774069319640563,-0.06873879258816497,29.25635773785087,0.265,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1203,707.0,1809.0,1.6839762611275964,-0.02389572773352643,21.969808738936194,0.277,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1213,294.0,860.0,1.4641833810888252,0.08553654743390357,16.661478106287824,0.246,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1226,649.0,2310.0,2.382137628111274,0.025525525525525526,30.53494554814619,0.31,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1232,764.0,2767.0,2.631233595800525,-0.001310615989515072,33.70793055456403,0.334,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1257,81.0,856.0,4.863013698630137,0.28634361233480177,25.318146414911045,0.312,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1273,797.0,2463.0,2.5085470085470085,-0.06337558372248166,29.178717346934047,0.289,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1279,660.0,2640.0,3.0,0.0,34.46737587922817,0.352,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1345,721.0,2708.0,2.5725593667546174,0.025016903313049357,33.93236458008662,0.323,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1346,626.0,2425.0,2.54014598540146,0.04500381388253242,32.56942261406098,0.379,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1356,110.0,1153.0,4.852791878172589,0.28338762214983715,29.348278601116842,0.378,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1401,1099.0,2153.0,1.0504761904761906,-0.02280130293159609,18.482696937970417,0.239,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1415,84.0,851.0,4.525974025974026,0.29411764705882354,25.08358220543239,0.296,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1445,755.0,2019.0,2.1205564142194744,-0.07703281027104136,23.99903867336886,0.173,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1464,88.0,1109.0,6.6482758620689655,0.2446351931330472,29.510642629470883,0.372,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1554,1116.0,2405.0,1.608459869848156,-0.09519136408243375,21.723005132860234,0.236,"{""type"":""MultiPoint"",""coordinates"":[]}"
