system:index,cart_estimatefAPAR,estimatefAPAR,rf_estimatefAPAR,.geo
1003,737.5,744,726.5924305555557,"{""type"":""MultiPoint"",""coordinates"":[]}"
1004,789.0,791,785.9580757575757,"{""type"":""MultiPoint"",""coordinates"":[]}"
1005,669.3333333333334,705,651.5303492063491,"{""type"":""MultiPoint"",""coordinates"":[]}"
1006,715.5,720,704.307880952381,"{""type"":""MultiPoint"",""coordinates"":[]}"
1007,821.0,819,815.5629999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1008,237.0,223,244.88089999999997,"{""type"":""MultiPoint"",""coordinates"":[]}"
1009,661.3333333333334,626,654.8431746031748,"{""type"":""MultiPoint"",""coordinates"":[]}"
1010,694.5,705,671.2213730158729,"{""type"":""MultiPoint"",""coordinates"":[]}"
1011,590.5,527,540.3507575757577,"{""type"":""MultiPoint"",""coordinates"":[]}"
1012,708.5,731,717.1066200854702,"{""type"":""MultiPoint"",""coordinates"":[]}"
1014,547.0,506,537.0972072726382,"{""type"":""MultiPoint"",""coordinates"":[]}"
1015,865.0,867,869.0441666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1016,445.5,478,460.5156111111111,"{""type"":""MultiPoint"",""coordinates"":[]}"
1017,0.0,0,0.028216399075293355,"{""type"":""MultiPoint"",""coordinates"":[]}"
1018,713.3333333333334,747,697.1621212121213,"{""type"":""MultiPoint"",""coordinates"":[]}"
1019,764.0,799,777.3540158730158,"{""type"":""MultiPoint"",""coordinates"":[]}"
1020,732.5,705,720.9044978632478,"{""type"":""MultiPoint"",""coordinates"":[]}"
1021,789.0,810,792.054416666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1022,0.0,0,0.028216399075293355,"{""type"":""MultiPoint"",""coordinates"":[]}"
1023,663.5,699,660.43386002886,"{""type"":""MultiPoint"",""coordinates"":[]}"
1024,0.0,0,0.028216399075293355,"{""type"":""MultiPoint"",""coordinates"":[]}"
1025,665.5,698,671.9320066833749,"{""type"":""MultiPoint"",""coordinates"":[]}"
1026,592.0,641,617.200142857143,"{""type"":""MultiPoint"",""coordinates"":[]}"
1027,0.0,0,0.028216399075293355,"{""type"":""MultiPoint"",""coordinates"":[]}"
1028,0.0,0,0.028216399075293355,"{""type"":""MultiPoint"",""coordinates"":[]}"
1029,758.0,768,773.002409090909,"{""type"":""MultiPoint"",""coordinates"":[]}"
1030,801.0,792,795.8155519480522,"{""type"":""MultiPoint"",""coordinates"":[]}"
