system:index,cart_estimatefCOVER,estimatefCOVER,rf_estimatefCOVER,.geo
0,809.6666666666666,804,809.8999999999997,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,238.66666666666666,239,193.3778947368421,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,238.66666666666666,242,270.61,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.0,0,0.051246297896490586,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,317.0,319,317.9616666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.0,0,0.051246297896490586,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,743.6666666666666,743,745.7116666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,762.0,745,787.1466666666669,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,802.0,801,802.1416666666668,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,705.5,696,716.92,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,721.0,720,724.8416666666665,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,721.5,724,722.0466666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,287.6666666666667,286,301.8183333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,677.3333333333334,694,699.63,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.0,0,0.051246297896490586,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.0,0,0.051246297896490586,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.0,0,0.051246297896490586,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,749.0,743,752.8300000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,710.3333333333334,713,710.6599999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.0,0,0.051246297896490586,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,812.5,814,827.0249999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,575.0,582,592.9183333333335,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,737.5,791,718.8233333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,806.5,808,809.3416666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,789.3333333333334,786,794.0883333333335,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,791.3333333333334,790,782.6883333333336,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,798.0,796,797.8883333333335,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.0,0,0.051246297896490586,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,710.3333333333334,713,710.475,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,791.5,798,809.515,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.0,0,0.051246297896490586,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,737.5,728,737.7966666666669,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.0,0,0.051246297896490586,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,467.0,457,462.15666666666664,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,860.0,860,857.0316666666669,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,761.0,760,771.9016666666668,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,744.5,746,762.9533333333336,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.0,0,0.051246297896490586,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,299.0,302,295.56500000000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,492.0,473,469.7783333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,666.3333333333334,677,667.1783333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,751.5,757,758.1683333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,524.5,529,543.2416666666668,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,677.0,682,682.8083333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,757.5,755,741.4166666666664,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,613.5,620,599.1216666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,716.0,720,722.9716666666668,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,619.5,644,625.7933333333335,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,858.0,853,845.41,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,728.5,722,705.6783333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0.0,0,0.051246297896490586,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,726.0,738,738.015,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0.0,0,0.051246297896490586,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,405.3333333333333,408,394.22166666666664,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,596.0,602,613.9299999999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,776.0,785,766.3866666666665,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,719.3333333333334,739,723.1649999999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,532.5,535,519.1916666666668,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,663.0,664,687.0316666666668,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0.0,0,0.051246297896490586,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,669.3333333333334,703,640.8033333333332,"{""type"":""MultiPoint"",""coordinates"":[]}"
