system:index,EVI2,GI,MSR,RDVI,SGI,estimatefAPAR,.geo
0_9,1.2009646302250805,1.2694736842105263,1.0359919346340096,30.22038526824315,4.145263157894737,0.329,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_31,0.9909733124018839,1.1200631911532386,0.7982789736252333,27.31379291826914,3.2338072669826223,0.288,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_69,0.7994676463972408,0.9625117150890347,0.612102773229012,27.530456619291055,2.598875351452671,0.28,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_90,1.0800396987564946,1.2202797202797202,0.8940466170114684,28.892145949392123,3.5874125874125875,0.299,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_94,0.9453781512605042,1.025028441410694,0.7516447658316823,30.401507822020093,3.068259385665529,0.311,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_106,1.1630111415738202,1.1614100185528757,0.9897697538834457,30.850429027704227,3.9591836734693877,0.319,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_143,1.080865318389581,1.2138836772983115,0.8949919185796483,27.917510869684822,3.5909943714821764,0.294,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_145,0.9502326056950055,1.0196353436185133,0.7565745065880215,27.55121311881878,3.085553997194951,0.252,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_163,0.9428786943701571,0.8707865168539326,0.7492641577626173,23.624522877315677,3.059925093632959,0.285,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_183,1.0334933833001523,0.9354838709677419,0.8431721383010237,27.745005463782633,3.397283531409168,0.277,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_185,1.231842779834805,0.9490445859872612,1.0750258996158175,25.430790196846313,4.305732484076433,0.274,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_231,1.1536050156739812,1.2871287128712872,0.9785983637788935,29.54655976925617,3.9148514851485148,0.32,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_243,1.3231013495633768,1.105263157894737,1.1972144174322745,22.92273020245011,4.827751196172249,0.215,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_298,1.2808729260935146,1.0953947368421053,1.1390787490732646,26.402478206737094,4.5756578947368425,0.255,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_311,1.059747107129526,1.0523415977961432,0.8715648054333142,31.779529784230945,3.502754820936639,0.301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_330,0.9585945473101036,1.1420911528150135,0.765016005972887,28.479857445750905,3.1152815013404824,0.298,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_412,1.3039132541797915,1.081896551724138,1.1705314778993012,23.653489111964248,4.711206896551724,0.206,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_415,1.177351299850279,1.2800875273522976,1.0070989984295038,28.870950222562797,4.028446389496717,0.308,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_427,0.9980726872246695,1.0887290167865706,0.8056001347260645,31.623777869921128,3.260191846522782,0.328,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_469,1.0147153945666236,0.9462962962962963,0.8232043423802156,25.971694359877876,3.324074074074074,0.252,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_470,0.909317389138017,1.0641646489104115,0.7158991600210005,28.136495331719484,2.944309927360775,0.301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_528,1.1400492994291647,1.1724137931034482,0.9626326649904783,28.747807826850003,3.8519269776876266,0.311,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_547,0.9694719471947194,1.0591073582629675,0.7760638769634053,30.433358584788014,3.1544028950542824,0.339,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_566,0.9955117165074892,0.9203539823008849,0.8029801616010209,28.425462874424056,3.2507374631268435,0.317,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_664,1.0393988872762459,0.9630281690140845,0.8495336298341061,27.439698920757277,3.420774647887324,0.317,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_741,1.0247441074279275,0.9269282814614344,0.8337535910658649,30.750113477972544,3.3626522327469552,0.332,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_754,1.115043989978442,1.2110912343470484,0.93360267899449,29.7463861606536,3.738819320214669,0.325,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_787,1.0372006692460525,1.1063829787234043,0.847120489665865,29.454618959048428,3.411854103343465,0.32,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_882,1.3487208008898777,1.3616438356164384,1.2330027697839996,31.127000500900603,4.986301369863014,0.318,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_918,0.9870419113180806,0.9246088193456614,0.7941742296749186,28.644353519267106,3.2190611664295874,0.331,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_936,1.2489762489762493,1.331786542923434,1.09684327982308,30.355418276555277,4.396751740139211,0.314,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_963,1.0681573275862069,1.0,0.8808508712813995,29.78174012938115,3.5376,0.328,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_983,1.154923939151321,0.8860759493670886,0.980282552400483,26.173251510849887,3.921518987341772,0.245,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_986,0.9498829627152651,0.9197247706422018,0.7563776317526653,21.539316779362558,3.084862385321101,0.175,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1006,0.7973048848961257,1.002803738317757,0.6101314742858676,27.483870967741936,2.5925233644859813,0.306,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1018,1.219953009217423,0.978978978978979,1.0599134067341867,25.846493710238573,4.243243243243243,0.257,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1041,1.0663784036461377,1.1525129982668978,0.878917052301159,28.556176932669864,3.5303292894280762,0.303,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1076,1.0640851268101448,1.1635071090047393,0.8765199210821103,24.35860667356752,3.5213270142180093,0.2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1091,0.9921521879501316,1.035014005602241,0.7994708216848747,29.049744240688906,3.238095238095238,0.307,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1104,0.8118851906751111,0.9479638009049773,0.6234982618822976,25.506176271689355,2.6357466063348416,0.3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1137,0.8685389836407937,1.0680272108843538,0.6765015945032328,27.546768540190754,2.810657596371882,0.329,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1139,1.046054261645193,0.927536231884058,0.8567347059060274,27.26651296231765,3.447463768115942,0.266,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1148,0.9518165799630811,1.0702764976958525,0.7581279318880046,30.457993749955325,3.0910138248847927,0.33,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1151,1.0461185175735155,1.2276119402985075,0.8568147979887092,26.87080699302453,3.4477611940298507,0.281,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1164,0.8475825471698115,1.0012642225031605,0.6566915990496142,25.356339577824624,2.7446270543615676,0.254,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1215,1.1672997784108894,1.2525252525252526,0.9949431018948834,29.708693860084306,3.9797979797979797,0.324,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1240,1.0187210331719003,1.1225710014947683,0.8273785613760988,29.04630035974215,3.3393124065769806,0.293,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1253,1.0429754426042261,1.1933333333333334,0.8533752992850638,28.32225174011089,3.435,0.317,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1438,1.2494357386986523,1.368421052631579,1.0974085932448985,31.238320319391843,4.399122807017544,0.331,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1444,1.3358501524611586,1.1485411140583555,1.2146126712858003,31.199327290188286,4.904509283819628,0.268,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1469,0.9203502028614136,1.0310344827586206,0.7267336781919495,29.291952405918206,2.981609195402299,0.292,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1480,1.0446377638334283,1.23,0.8551729479125839,28.378472669779434,3.441666666666667,0.324,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1486,0.866856965834661,0.9711981566820277,0.6749028446959265,27.265578059097898,2.805299539170507,0.257,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1503,1.3290802764486975,1.0,1.205614268070668,22.96046311721166,4.8647342995169085,0.211,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1549,0.8024826651789274,1.0419161676646707,0.6148635952109778,26.794236699931393,2.6077844311377247,0.296,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1664,1.3414503707929262,1.117801047120419,1.2225639644150246,31.595064914131168,4.939790575916231,0.293,"{""type"":""MultiPoint"",""coordinates"":[]}"
