system:index,B4,B8,NDGI,RDVI,SGI,estimatefCOVER,.geo
0_9,475.0,1969.0,0.11873840445269017,30.22038526824315,4.145263157894737,0.322,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_31,633.0,2047.0,0.05663189269746647,27.31379291826914,3.2338072669826223,0.278,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_90,572.0,2052.0,0.09921259842519685,28.892145949392123,3.5874125874125875,0.29,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_106,539.0,2134.0,0.07467811158798283,30.850429027704227,3.9591836734693877,0.311,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_143,533.0,1914.0,0.09661016949152543,27.917510869684822,3.5909943714821764,0.285,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_145,713.0,2200.0,0.009722222222222222,27.55121311881878,3.085553997194951,0.24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_163,534.0,1634.0,-0.06906906906906907,23.624522877315677,3.059925093632959,0.276,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_183,589.0,2001.0,-0.03333333333333333,27.745005463782633,3.397283531409168,0.27,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_185,314.0,1352.0,-0.026143790849673203,25.430790196846313,4.305732484076433,0.266,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_231,505.0,1977.0,0.12554112554112554,29.54655976925617,3.9148514851485148,0.312,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_243,209.0,1009.0,0.05,22.92273020245011,4.827751196172249,0.211,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_298,304.0,1391.0,0.04552590266875981,26.402478206737094,4.5756578947368425,0.246,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_311,726.0,2543.0,0.025503355704697986,31.779529784230945,3.502754820936639,0.293,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_330,746.0,2324.0,0.06633291614518148,28.479857445750905,3.1152815013404824,0.29,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_412,232.0,1093.0,0.039337474120082816,23.653489111964248,4.711206896551724,0.201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_415,457.0,1841.0,0.12284069097888675,28.870950222562797,4.028446389496717,0.299,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_469,540.0,1795.0,-0.02759276879162702,25.971694359877876,3.324074074074074,0.241,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_470,826.0,2432.0,0.031085043988269796,28.136495331719484,2.944309927360775,0.292,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_528,493.0,1899.0,0.07936507936507936,28.747807826850003,3.8519269776876266,0.302,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_566,678.0,2204.0,-0.041474654377880185,28.425462874424056,3.2507374631268435,0.307,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_664,568.0,1943.0,-0.01883408071748879,27.439698920757277,3.420774647887324,0.307,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_741,739.0,2485.0,-0.037921348314606744,30.750113477972544,3.3626522327469552,0.324,"{""type"":""MultiPoint"",""coordinates"":[]}"
