system:index,cart_estimateLAI,estimateLAI,rf_estimateLAI,.geo
1001,1931.0,2132,2124.5101935194093,"{""type"":""MultiPoint"",""coordinates"":[]}"
1002,0.0,0,-0.4556898407306974,"{""type"":""MultiPoint"",""coordinates"":[]}"
1003,1203.5,1369,1329.5780578449328,"{""type"":""MultiPoint"",""coordinates"":[]}"
1004,2315.6666666666665,2180,2206.8815634920634,"{""type"":""MultiPoint"",""coordinates"":[]}"
1005,1966.0,1914,1865.8485634837937,"{""type"":""MultiPoint"",""coordinates"":[]}"
1006,1721.6666666666667,1460,1542.4013525460132,"{""type"":""MultiPoint"",""coordinates"":[]}"
1007,0.0,0,-0.4556898407306974,"{""type"":""MultiPoint"",""coordinates"":[]}"
1008,1931.0,1947,2097.3129673289327,"{""type"":""MultiPoint"",""coordinates"":[]}"
1009,0.0,0,-0.4556898407306974,"{""type"":""MultiPoint"",""coordinates"":[]}"
1010,1728.25,1705,1704.5820151691355,"{""type"":""MultiPoint"",""coordinates"":[]}"
1011,1624.6666666666667,1587,1616.1124452519891,"{""type"":""MultiPoint"",""coordinates"":[]}"
1012,1828.3333333333333,1771,1876.4727741996717,"{""type"":""MultiPoint"",""coordinates"":[]}"
1013,0.0,0,-50.56735650739736,"{""type"":""MultiPoint"",""coordinates"":[]}"
1014,1754.0,1466,1604.0296587560815,"{""type"":""MultiPoint"",""coordinates"":[]}"
1015,0.0,0,-0.4556898407306974,"{""type"":""MultiPoint"",""coordinates"":[]}"
1016,1765.0,1735,1798.2583574303126,"{""type"":""MultiPoint"",""coordinates"":[]}"
1017,0.0,0,-0.4556898407306974,"{""type"":""MultiPoint"",""coordinates"":[]}"
1018,1805.5,1979,1917.3237395764259,"{""type"":""MultiPoint"",""coordinates"":[]}"
1019,1621.5,1527,1562.3189456031855,"{""type"":""MultiPoint"",""coordinates"":[]}"
1020,1486.0,1169,1500.3906275504437,"{""type"":""MultiPoint"",""coordinates"":[]}"
1021,1350.6666666666667,1534,1501.6780763592367,"{""type"":""MultiPoint"",""coordinates"":[]}"
1022,1428.0,1747,1371.7794931950775,"{""type"":""MultiPoint"",""coordinates"":[]}"
1023,1750.0,1683,1685.8166949436206,"{""type"":""MultiPoint"",""coordinates"":[]}"
1024,1863.5,1747,1790.590827967909,"{""type"":""MultiPoint"",""coordinates"":[]}"
1025,1564.0,1668,1619.9065862287803,"{""type"":""MultiPoint"",""coordinates"":[]}"
