system:index,cart_estimatefCOVER,estimatefCOVER,rf_estimatefCOVER,.geo
1001,539.5,554,556.8673333333335,"{""type"":""MultiPoint"",""coordinates"":[]}"
1002,0.0,0,0.047885154800466206,"{""type"":""MultiPoint"",""coordinates"":[]}"
1003,386.6666666666667,414,404.69357765151517,"{""type"":""MultiPoint"",""coordinates"":[]}"
1004,541.0,546,552.8960000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1005,447.6666666666667,483,476.7182619047619,"{""type"":""MultiPoint"",""coordinates"":[]}"
1006,315.0,310,308.2487619047619,"{""type"":""MultiPoint"",""coordinates"":[]}"
1007,0.0,0,0.047885154800466206,"{""type"":""MultiPoint"",""coordinates"":[]}"
1008,538.6666666666666,533,543.5286666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1009,0.0,0,0.047885154800466206,"{""type"":""MultiPoint"",""coordinates"":[]}"
1010,333.3333333333333,345,337.2314146857871,"{""type"":""MultiPoint"",""coordinates"":[]}"
1011,352.5,342,346.8822330245397,"{""type"":""MultiPoint"",""coordinates"":[]}"
1012,424.3333333333333,419,433.31994209956713,"{""type"":""MultiPoint"",""coordinates"":[]}"
1013,0.0,0,0.047885154800466206,"{""type"":""MultiPoint"",""coordinates"":[]}"
1014,459.5,405,445.56668849206346,"{""type"":""MultiPoint"",""coordinates"":[]}"
1015,0.0,0,0.047885154800466206,"{""type"":""MultiPoint"",""coordinates"":[]}"
1016,389.0,371,373.213728311918,"{""type"":""MultiPoint"",""coordinates"":[]}"
1017,0.0,0,0.047885154800466206,"{""type"":""MultiPoint"",""coordinates"":[]}"
1018,474.6666666666667,483,472.3234848484849,"{""type"":""MultiPoint"",""coordinates"":[]}"
1019,430.5,408,424.76144910644916,"{""type"":""MultiPoint"",""coordinates"":[]}"
1020,443.5,359,428.62487966200484,"{""type"":""MultiPoint"",""coordinates"":[]}"
1021,307.6666666666667,288,272.2081666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
1022,226.0,322,231.33806060606054,"{""type"":""MultiPoint"",""coordinates"":[]}"
1023,379.3333333333333,378,381.400195457457,"{""type"":""MultiPoint"",""coordinates"":[]}"
1024,412.3333333333333,407,420.3049232094272,"{""type"":""MultiPoint"",""coordinates"":[]}"
1025,328.6666666666667,349,334.4890940170941,"{""type"":""MultiPoint"",""coordinates"":[]}"
1026,395.5,387,388.6189322617784,"{""type"":""MultiPoint"",""coordinates"":[]}"
1027,420.0,420,418.2850732323234,"{""type"":""MultiPoint"",""coordinates"":[]}"
1028,383.0,387,385.7541935389173,"{""type"":""MultiPoint"",""coordinates"":[]}"
1029,0.0,0,0.047885154800466206,"{""type"":""MultiPoint"",""coordinates"":[]}"
1030,296.0,321,306.74316666666675,"{""type"":""MultiPoint"",""coordinates"":[]}"
1031,420.6666666666667,400,411.50230357142857,"{""type"":""MultiPoint"",""coordinates"":[]}"
1032,454.5,447,454.54984126984135,"{""type"":""MultiPoint"",""coordinates"":[]}"
1033,0.0,0,0.047885154800466206,"{""type"":""MultiPoint"",""coordinates"":[]}"
1034,539.5,537,551.0928333333335,"{""type"":""MultiPoint"",""coordinates"":[]}"
1035,487.0,520,505.19935714285714,"{""type"":""MultiPoint"",""coordinates"":[]}"
1036,380.6666666666667,373,386.9454452493491,"{""type"":""MultiPoint"",""coordinates"":[]}"
1037,601.5,598,593.0569999999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1038,379.3333333333333,371,383.53019545745695,"{""type"":""MultiPoint"",""coordinates"":[]}"
1039,510.0,496,513.1706666666665,"{""type"":""MultiPoint"",""coordinates"":[]}"
1040,0.0,0,0.047885154800466206,"{""type"":""MultiPoint"",""coordinates"":[]}"
1041,458.6666666666667,477,461.80681349206344,"{""type"":""MultiPoint"",""coordinates"":[]}"
1042,367.0,403,367.60014610389607,"{""type"":""MultiPoint"",""coordinates"":[]}"
1043,365.5,353,356.5040651836087,"{""type"":""MultiPoint"",""coordinates"":[]}"
1044,0.0,0,0.047885154800466206,"{""type"":""MultiPoint"",""coordinates"":[]}"
1045,366.0,350,352.06662572474806,"{""type"":""MultiPoint"",""coordinates"":[]}"
1046,378.5,366,363.8339029150925,"{""type"":""MultiPoint"",""coordinates"":[]}"
1047,315.5,356,346.44952056277054,"{""type"":""MultiPoint"",""coordinates"":[]}"
1048,0.0,0,0.047885154800466206,"{""type"":""MultiPoint"",""coordinates"":[]}"
1049,0.0,0,0.047885154800466206,"{""type"":""MultiPoint"",""coordinates"":[]}"
1050,538.6666666666666,545,543.8586666666669,"{""type"":""MultiPoint"",""coordinates"":[]}"
1051,360.0,352,332.7210292207793,"{""type"":""MultiPoint"",""coordinates"":[]}"
1052,487.0,485,486.7605714285713,"{""type"":""MultiPoint"",""coordinates"":[]}"
1053,484.0,500,491.23330952380957,"{""type"":""MultiPoint"",""coordinates"":[]}"
1054,345.3333333333333,370,365.6148665519284,"{""type"":""MultiPoint"",""coordinates"":[]}"
1055,341.5,349,334.25987179487186,"{""type"":""MultiPoint"",""coordinates"":[]}"
1056,384.0,414,402.08937233234604,"{""type"":""MultiPoint"",""coordinates"":[]}"
1057,292.0,324,310.48307692307685,"{""type"":""MultiPoint"",""coordinates"":[]}"
1058,382.3333333333333,404,376.71542310834593,"{""type"":""MultiPoint"",""coordinates"":[]}"
1059,420.0,422,420.4082398989901,"{""type"":""MultiPoint"",""coordinates"":[]}"
1060,0.0,0,0.047885154800466206,"{""type"":""MultiPoint"",""coordinates"":[]}"
1061,371.0,387,371.41279871373837,"{""type"":""MultiPoint"",""coordinates"":[]}"
1062,320.0,360,348.26709894128857,"{""type"":""MultiPoint"",""coordinates"":[]}"
1063,0.0,0,0.047885154800466206,"{""type"":""MultiPoint"",""coordinates"":[]}"
1064,567.0,563,557.9248333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
1065,378.5,368,366.4672362484258,"{""type"":""MultiPoint"",""coordinates"":[]}"
1066,0.0,0,0.047885154800466206,"{""type"":""MultiPoint"",""coordinates"":[]}"
1067,392.0,404,386.1286747419248,"{""type"":""MultiPoint"",""coordinates"":[]}"
1068,242.0,286,260.6339999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1069,140.0,107,210.26000000000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1070,556.5,554,548.8077142857145,"{""type"":""MultiPoint"",""coordinates"":[]}"
1071,391.0,389,384.9616271228772,"{""type"":""MultiPoint"",""coordinates"":[]}"
1072,0.0,0,0.047885154800466206,"{""type"":""MultiPoint"",""coordinates"":[]}"
1073,241.33333333333334,315,259.6210606060606,"{""type"":""MultiPoint"",""coordinates"":[]}"
1074,366.0,374,368.23290702209664,"{""type"":""MultiPoint"",""coordinates"":[]}"
1075,0.0,0,0.047885154800466206,"{""type"":""MultiPoint"",""coordinates"":[]}"
1076,443.5,433,446.01916666666676,"{""type"":""MultiPoint"",""coordinates"":[]}"
1077,354.0,368,356.13489843182737,"{""type"":""MultiPoint"",""coordinates"":[]}"
1078,360.6666666666667,332,340.40471112221115,"{""type"":""MultiPoint"",""coordinates"":[]}"
1079,371.3333333333333,410,387.34446279088564,"{""type"":""MultiPoint"",""coordinates"":[]}"
1080,339.5,358,349.5372375755441,"{""type"":""MultiPoint"",""coordinates"":[]}"
1081,0.0,0,0.047885154800466206,"{""type"":""MultiPoint"",""coordinates"":[]}"
1082,608.0,603,597.4541666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1083,437.5,431,429.9196666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1084,538.6666666666666,525,542.142,"{""type"":""MultiPoint"",""coordinates"":[]}"
1085,0.0,0,0.047885154800466206,"{""type"":""MultiPoint"",""coordinates"":[]}"
1086,333.3333333333333,323,338.4147480191204,"{""type"":""MultiPoint"",""coordinates"":[]}"
1087,412.3333333333333,408,416.20701844752233,"{""type"":""MultiPoint"",""coordinates"":[]}"
1088,0.0,0,0.047885154800466206,"{""type"":""MultiPoint"",""coordinates"":[]}"
1089,395.0,348,376.23481521437714,"{""type"":""MultiPoint"",""coordinates"":[]}"
1090,0.0,0,0.047885154800466206,"{""type"":""MultiPoint"",""coordinates"":[]}"
1091,277.6666666666667,320,282.31249999999994,"{""type"":""MultiPoint"",""coordinates"":[]}"
1092,393.0,373,382.77032804015204,"{""type"":""MultiPoint"",""coordinates"":[]}"
1093,447.0,459,458.8676666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
