system:index,B2,B3,B4,B8,LAI,.geo
0_1,599.0,759.0,884.0,1077.0,0.5472252368927002,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_58,536.0,670.0,777.0,999.0,0.5397634506225586,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_72,577.0,737.0,836.0,1054.0,0.46666204929351807,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_87,785.0,984.0,1107.0,1518.0,0.5676705241203308,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_129,585.0,795.0,843.0,1038.0,0.4309939444065094,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_145,888.0,988.0,1464.0,3025.0,0.44591665267944336,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_172,596.0,765.0,918.0,1141.0,0.5305154323577881,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_174,892.0,1053.0,1609.0,3045.0,0.4674055278301239,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_182,937.0,1107.0,1656.0,3021.0,0.4762134850025177,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_203,806.0,1007.0,1403.0,2312.0,0.5705841779708862,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_223,608.0,688.0,1126.0,2075.0,0.32428354024887085,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_225,827.0,1060.0,1242.0,2231.0,0.27109137177467346,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_226,1083.0,1241.0,1117.0,1312.0,0.4257345199584961,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_233,548.0,709.0,849.0,1167.0,0.38235124945640564,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_236,613.0,794.0,912.0,1153.0,0.5180138945579529,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_240,632.0,716.0,837.0,1051.0,0.3585387170314789,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_267,571.0,676.0,1098.0,1553.0,0.3459798991680145,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_271,550.0,699.0,791.0,988.0,0.45645007491111755,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_282,1024.0,1173.0,1497.0,2594.0,0.46054136753082275,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_297,776.0,925.0,1346.0,2612.0,0.3402031362056732,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_321,805.0,921.0,1354.0,2884.0,0.14202651381492615,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_325,667.0,712.0,1206.0,2756.0,0.31589406728744507,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_340,707.0,839.0,930.0,1215.0,0.3212721049785614,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_355,626.0,786.0,916.0,1147.0,0.4288615882396698,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_361,579.0,698.0,868.0,1115.0,0.41388511657714844,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_367,565.0,671.0,812.0,1021.0,0.5646401643753052,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_369,531.0,687.0,782.0,1019.0,0.49830642342567444,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_380,548.0,725.0,1118.0,1685.0,0.449501633644104,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_407,938.0,1061.0,1595.0,3323.0,0.3275500237941742,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_419,802.0,1089.0,1074.0,1501.0,0.015138309448957443,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_420,863.0,983.0,1474.0,3241.0,0.043950628489255905,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_423,577.0,713.0,865.0,1088.0,0.4761829376220703,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_424,754.0,766.0,1193.0,2254.0,0.11631345003843307,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_431,758.0,805.0,1289.0,2876.0,0.13930818438529968,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_435,483.0,630.0,866.0,1225.0,0.13731496036052704,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_439,610.0,724.0,826.0,1026.0,0.45550912618637085,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_455,720.0,822.0,876.0,1018.0,0.5211339592933655,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_460,650.0,807.0,894.0,1183.0,0.5698190927505493,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_518,575.0,699.0,829.0,1044.0,0.43197163939476013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_532,636.0,806.0,929.0,1214.0,0.5612342357635498,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_538,579.0,771.0,860.0,1193.0,0.4841785430908203,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_550,581.0,712.0,805.0,1036.0,0.4462756812572479,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_557,610.0,876.0,1099.0,1637.0,0.5504457950592041,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_559,697.0,929.0,982.0,1273.0,0.5570970773696899,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_564,465.0,603.0,678.0,1089.0,0.5493988990783691,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_571,928.0,1104.0,1335.0,1893.0,0.5664234757423401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_576,526.0,650.0,728.0,905.0,0.39669498801231384,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_590,551.0,696.0,786.0,997.0,0.4650202989578247,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_593,627.0,819.0,1066.0,1562.0,0.2766377329826355,"{""type"":""MultiPoint"",""coordinates"":[]}"
