system:index,B8,GVI,MSR,NDGI,errorLAI,estimateLAI,.geo
0_62,2447.0,36630.73652694611,202.13728235015623,0.05947660586835845,578.0,1212.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_139,2144.0,29129.434782608696,169.79247063969444,6.798096532970963E-4,604.0,1218.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_208,3221.0,37804.164319248826,184.01227807721267,-0.04963747908533187,466.0,1230.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_253,2402.0,40301.01342281879,192.27737342823065,-0.03793381759483451,512.0,1005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_300,2134.0,32430.61094224924,167.45669940512335,-0.0666666666666667,442.0,724.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_301,2304.0,37956.16639209226,191.15378456610458,-0.013809910641754674,469.0,854.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_347,2232.0,23297.538622129436,156.30547061839428,0.030107526881720397,547.0,1031.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_500,2561.0,27896.60348583878,172.68045336828888,0.03904923599320884,602.0,1256.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_539,2753.0,41397.496240601504,217.62099370574842,0.07171635777598714,619.0,1329.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_702,2427.0,25492.697478991595,168.87790257591175,0.06190741773563866,554.0,1026.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_762,1377.0,24030.413612565448,136.43685418725536,-0.11981566820276504,378.0,471.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_801,2993.0,37411.5,194.26235821333267,0.00946372239747635,485.0,1237.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_815,2875.0,24933.952298352124,139.90767323212248,-0.11341791618608232,360.0,743.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_818,2078.0,27162.398692810457,170.68336350667337,0.04081632653061228,613.0,1092.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_963,2423.0,32920.19565217391,183.345245952994,0.015873015873015848,566.0,1055.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_967,2816.0,34215.28189550425,179.63875335057807,-0.02372479240806645,485.0,1184.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_988,2406.0,34919.17416545718,186.00516097840224,7.262164124909431E-4,535.0,1024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1024,1904.0,33817.82770870337,195.12405886236004,0.06427221172022685,607.0,1168.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1048,2752.0,36594.744680851065,205.5591117977289,0.07659269863994275,565.0,1301.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1084,2955.0,23048.921996879875,153.62136653868785,0.018268467037331242,386.0,839.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1131,3030.0,27444.652173913044,168.55125503366662,0.023169601482854515,469.0,1088.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1146,2060.0,40872.01587301587,182.91830841645904,-0.09433962264150944,577.0,1150.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1182,2197.0,27915.137229987293,168.3560218622065,0.013522215067611107,584.0,1184.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1210,2431.0,25454.49738219895,165.5867388254882,0.043145821955215755,630.0,1249.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1261,3155.0,25966.078189300413,168.74329261602017,0.05194805194805194,485.0,1157.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1413,2744.0,37743.154057771666,209.20655434867703,0.07863501483679523,541.0,1216.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1453,3739.0,26630.05413105413,147.91860093165022,-0.09126213592233011,398.0,859.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1454,2560.0,33463.0522875817,191.4779386685537,0.050824175824175845,507.0,1052.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1455,2579.0,34248.667994687916,193.60415788788802,0.050209205020920585,489.0,1034.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1456,3109.0,39155.17128463476,205.08900406287674,0.04062909567496721,609.0,1355.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1499,2646.0,24274.229357798165,150.2266182274182,-0.029817534490431674,393.0,986.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1500,2587.0,27491.02975557917,166.50692024426337,0.010198604401502945,440.0,913.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1557,2491.0,29133.502923976605,167.53382094623203,-0.012702078521939915,410.0,804.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1562,1779.0,20541.72517321016,126.17203809299932,-0.11902339776195323,276.0,231.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1612,2957.0,38652.59477124183,207.53127851151504,0.058823529411764656,521.0,1296.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1613,2643.0,33454.696202531646,194.29088083811837,0.06540795684423467,483.0,1053.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1614,2695.0,35459.52631578947,196.63089590064794,0.04827586206896546,552.0,1253.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1641,2479.0,41246.92013311148,200.9233179100162,-0.00578990901571546,631.0,1252.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1647,2709.0,31208.677419354837,179.44416353500094,0.02117647058823533,447.0,987.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1648,2424.0,29668.52264381885,171.0379888195325,-0.0012224938875305975,422.0,794.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1649,2474.0,30617.81188118812,175.7409792248921,0.00999999999999994,449.0,911.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1687,3265.0,35031.188841201714,188.73084864706416,0.013594344752582936,470.0,1305.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1695,2753.0,21241.283950617286,130.79182513912454,-0.10031239153071853,338.0,747.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1697,2656.0,32951.85359801489,185.20856382782142,0.025445292620865163,486.0,1036.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
